结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 11:15:36|algorithm0|10noise|Iris|0.02|{0, 1, 3}|4|3|0.9866666666666667|0.02100968360900879|[0.9        1.         1.         0.96666667 0.9       ]|[0.9        1.         1.         0.96666667 0.96666667]|[0.86666667 1.         1.         0.96666667 0.93333333]|0.9533333333333334|0.9666666666666666|0.9533333333333334
2023-05-07 11:15:36|algorithm0|10noise|Iris|0.04|{0, 1, 3}|4|3|0.9866666666666667|0.023027658462524414|[0.9        1.         1.         0.96666667 0.9       ]|[0.9        1.         1.         0.96666667 0.96666667]|[0.86666667 1.         1.         0.96666667 0.93333333]|0.9533333333333334|0.9666666666666666|0.9533333333333334
2023-05-07 11:15:37|algorithm0|10noise|Iris|0.06|{0, 1, 2, 3}|4|4|0.9333333333333333|0.03982114791870117|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 0.96666667 0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9466666666666667
2023-05-07 11:15:37|algorithm0|10noise|Iris|0.08|{0, 1, 2, 3}|4|4|0.88|0.03964042663574219|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 0.96666667 0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9466666666666667
2023-05-07 11:15:37|algorithm0|10noise|Iris|0.1|{0, 1, 2, 3}|4|4|0.74|0.025986671447753906|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 1.         0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9533333333333334
2023-05-07 11:15:37|algorithm0|10noise|Iris|0.12000000000000001|{0, 1, 2, 3}|4|4|0.6066666666666667|0.019666671752929688|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 0.96666667 0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9466666666666667
2023-05-07 11:15:37|algorithm0|10noise|Iris|0.14|{0, 1, 2, 3}|4|4|0.43333333333333335|0.019585847854614258|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 1.         0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9533333333333334
2023-05-07 11:15:37|algorithm0|10noise|Iris|0.16|{0, 1, 2, 3}|4|4|0.32666666666666666|0.02409815788269043|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 1.         0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9533333333333334
2023-05-07 11:15:37|algorithm0|10noise|Iris|0.18|{0, 1, 2, 3}|4|4|0.25333333333333335|0.021502971649169922|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 1.         0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9533333333333334
2023-05-07 11:15:37|algorithm0|10noise|Iris|0.19999999999999998|{0, 1, 2, 3}|4|4|0.18|0.03642868995666504|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 1.         0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9533333333333334
2023-05-07 11:15:37|algorithm0|10noise|Iris|0.21999999999999997|{0, 1, 2, 3}|4|4|0.13333333333333333|0.07798051834106445|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 0.96666667 0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9466666666666667
