结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 11:31:27|algorithm0|10noise|wdbc|0.02|{9, 27, 21}|30|3|1.0|1.103079080581665|[0.89473684 0.90350877 0.95614035 0.94736842 0.95575221]|[0.90350877 0.92982456 0.95614035 0.92982456 0.95575221]|[0.86842105 0.87719298 0.9122807  0.89473684 0.9380531 ]|0.9315013196708586|0.935010091600683|0.8981369352585002
2023-05-07 11:31:28|algorithm0|10noise|wdbc|0.04|{0, 21, 22, 24, 8}|30|5|1.0|1.6059761047363281|[0.97368421 0.97368421 0.95614035 0.94736842 0.95575221]|[0.95614035 0.97368421 0.96491228 0.94736842 0.97345133]|[0.92982456 0.87719298 0.95614035 0.93859649 0.97345133]|0.9613258810743673|0.9631113181183046|0.9350411426797081
2023-05-07 11:31:30|algorithm0|10noise|wdbc|0.06|{17, 21, 22, 24, 8, 9}|30|6|1.0|1.7707641124725342|[0.96491228 0.92982456 0.95614035 0.93859649 0.96460177]|[0.94736842 0.96491228 0.97368421 0.95614035 0.97345133]|[0.92105263 0.88596491 0.95614035 0.92982456 0.95575221]|0.9508150908244062|0.9631113181183046|0.9297469337059463
2023-05-07 11:31:33|algorithm0|10noise|wdbc|0.08|{0, 20, 21, 4, 8, 25, 28}|30|7|1.0|2.8067781925201416|[0.95614035 0.94736842 0.97368421 0.92105263 0.95575221]|[0.96491228 0.96491228 0.98245614 0.92105263 0.97345133]|[0.94736842 0.94736842 0.95614035 0.89473684 0.96460177]|0.9507995652848937|0.9613569321533924|0.9420431609998448
2023-05-07 11:31:36|algorithm0|10noise|wdbc|0.1|{1, 20, 9, 24, 25, 27, 28, 8}|30|8|1.0|2.8714652061462402|[0.93859649 0.92105263 0.96491228 0.94736842 0.98230088]|[0.96491228 0.97368421 0.97368421 0.93859649 0.95575221]|[0.92982456 0.96491228 0.93859649 0.94736842 0.96460177]|0.9508461419034312|0.9613258810743673|0.9490607048594939
2023-05-07 11:31:39|algorithm0|10noise|wdbc|0.12000000000000001|{0, 1, 8, 9, 11, 22, 24, 25, 27, 28}|30|10|1.0|3.490891456604004|[0.95614035 0.93859649 0.96491228 0.95614035 0.98230088]|[0.97368421 0.97368421 0.97368421 0.96491228 0.97345133]|[0.9122807  0.88596491 0.96491228 0.93859649 0.92035398]|0.9596180717279925|0.971883247942866|0.9244216736531594
2023-05-07 11:31:44|algorithm0|10noise|wdbc|0.14|{0, 1, 4, 7, 8, 9, 11, 21, 24, 25, 27, 28}|30|12|1.0|4.449326992034912|[0.95614035 0.94736842 0.94736842 0.95614035 0.98230088]|[0.95614035 0.96491228 0.95614035 0.96491228 0.97345133]|[0.92982456 0.90350877 0.95614035 0.9122807  0.95575221]|0.9578636857630801|0.9631113181183046|0.9315013196708586
2023-05-07 11:31:49|algorithm0|10noise|wdbc|0.16|{0, 1, 4, 7, 8, 9, 11, 14, 18, 21, 24, 25, 26, 27, 28}|30|15|1.0|5.246833801269531|[0.95614035 0.95614035 0.95614035 0.94736842 0.98230088]|[0.93859649 0.96491228 0.97368421 0.96491228 0.97345133]|[0.92982456 0.90350877 0.95614035 0.9122807  0.95575221]|0.9596180717279925|0.9631113181183046|0.9315013196708586
2023-05-07 11:31:54|algorithm0|10noise|wdbc|0.18|{0, 1, 2, 4, 5, 8, 9, 11, 14, 15, 18, 21, 24, 25, 26, 27, 28}|30|17|0.9982425307557118|4.946068286895752|[0.95614035 0.95614035 0.95614035 0.94736842 0.95575221]|[0.93859649 0.96491228 0.97368421 0.96491228 0.97345133]|[0.92982456 0.92105263 0.96491228 0.90350877 0.95575221]|0.9543083372147182|0.9631113181183046|0.935010091600683
2023-05-07 11:32:00|algorithm0|10noise|wdbc|0.19999999999999998|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 17, 18, 21, 24, 25, 26, 27, 28, 29}|30|23|0.9912126537785588|5.731223821640015|[0.96491228 0.96491228 0.93859649 0.94736842 0.99115044]|[0.96491228 0.96491228 0.96491228 0.97368421 0.99115044]|[0.92105263 0.92105263 0.96491228 0.9122807  0.96460177]|0.9613879832324173|0.9719142990218911|0.9367800031051079
