结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 11:36:26|algorithm0|20noise|College|0.02|{8, 11, 4, 5}|17|4|1.0|1.7377088069915771|[0.90384615 0.86538462 0.87096774 0.88387097 0.86451613]|[0.91666667 0.85897436 0.87096774 0.88387097 0.8516129 ]|[0.8974359  0.92307692 0.89677419 0.87741935 0.90322581]|0.8777171215880892|0.8764185277088503|0.899586435070306
2023-05-07 11:36:29|algorithm0|20noise|College|0.04|{16, 2, 3, 7, 12}|17|5|1.0|2.4876794815063477|[0.93589744 0.90384615 0.92258065 0.92258065 0.91612903]|[0.92948718 0.92948718 0.93548387 0.93548387 0.92903226]|[0.93589744 0.90384615 0.90967742 0.9483871  0.89677419]|0.920206782464847|0.9317948717948719|0.9189164598842018
2023-05-07 11:36:31|algorithm0|20noise|College|0.06|{16, 4, 7, 12, 14}|17|5|1.0|2.4609572887420654|[0.87820513 0.84615385 0.90967742 0.89032258 0.86451613]|[0.86538462 0.8525641  0.88387097 0.89032258 0.89032258]|[0.82692308 0.85897436 0.87741935 0.89677419 0.84516129]|0.8777750206782464|0.8764929693961954|0.8610504549214226
2023-05-07 11:36:35|algorithm0|20noise|College|0.08|{1, 3, 4, 8, 12, 13, 14}|17|7|1.0|3.2944836616516113|[0.87820513 0.8525641  0.89677419 0.93548387 0.87741935]|[0.90384615 0.86538462 0.89677419 0.90967742 0.89032258]|[0.92948718 0.85897436 0.86451613 0.89032258 0.85806452]|0.8880893300248139|0.8932009925558312|0.8802729528535981
2023-05-07 11:36:39|algorithm0|20noise|College|0.1|{4, 5, 7, 8, 10, 11, 12, 14}|17|8|1.0|3.771775245666504|[0.92948718 0.91025641 0.92258065 0.93548387 0.91612903]|[0.94230769 0.91666667 0.93548387 0.93548387 0.93548387]|[0.90384615 0.90384615 0.92903226 0.92903226 0.89032258]|0.9227874276261373|0.933085194375517|0.9112158808933003
2023-05-07 11:36:43|algorithm0|20noise|College|0.12000000000000001|{4, 5, 7, 8, 9, 10, 12, 14, 16}|17|9|1.0|4.40537166595459|[0.93589744 0.89102564 0.94193548 0.93548387 0.89677419]|[0.93589744 0.92307692 0.92258065 0.92903226 0.9483871 ]|[0.91025641 0.8974359  0.92258065 0.93548387 0.89032258]|0.9202233250620347|0.9317948717948719|0.9112158808933003
2023-05-07 11:36:47|algorithm0|20noise|College|0.14|{4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 16}|17|11|1.0|3.9477956295013428|[0.93589744 0.91666667 0.92903226 0.94193548 0.93548387]|[0.94871795 0.91666667 0.94193548 0.92258065 0.92903226]|[0.90384615 0.90384615 0.92903226 0.94193548 0.89032258]|0.9318031430934657|0.9317866004962779|0.9137965260545906
2023-05-07 11:36:53|algorithm0|20noise|College|0.16|{2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 16}|17|12|0.9974259974259975|5.422559499740601|[0.93589744 0.91666667 0.92903226 0.92903226 0.90967742]|[0.93589744 0.91666667 0.94193548 0.91612903 0.92258065]|[0.94230769 0.90384615 0.90322581 0.9483871  0.88387097]|0.9240612076095948|0.9266418527708851|0.9163275434243177
2023-05-07 11:36:58|algorithm0|20noise|College|0.18|{0, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16}|17|15|0.990990990990991|5.486788749694824|[0.94871795 0.92307692 0.94193548 0.93548387 0.92903226]|[0.94230769 0.92948718 0.94193548 0.91612903 0.93548387]|[0.91025641 0.91025641 0.92258065 0.9483871  0.89032258]|0.9356492969396195|0.9330686517783292|0.9163606286186932
2023-05-07 11:37:06|algorithm0|20noise|College|0.19999999999999998|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16}|17|17|0.9678249678249679|7.19091796875|[0.94871795 0.92307692 0.93548387 0.93548387 0.94193548]|[0.94230769 0.92307692 0.94193548 0.92903226 0.93548387]|[0.90384615 0.8974359  0.91612903 0.92903226 0.90322581]|0.9369396195202647|0.9343672456575682|0.909933829611249
2023-05-07 11:37:13|algorithm0|20noise|College|0.21999999999999997|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16}|17|17|0.8893178893178894|6.7795493602752686|[0.94871795 0.92307692 0.93548387 0.93548387 0.94193548]|[0.94230769 0.92307692 0.94193548 0.92903226 0.93548387]|[0.90384615 0.87820513 0.92258065 0.92903226 0.88387097]|0.9369396195202647|0.9343672456575682|0.9035070306038049
