结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 11:15:53|algorithm0|20noise|GlaucomaM|0.02|{0, 46, 6}|62|3|1.0|0.3263373374938965|[0.775      0.82051282 0.82051282 0.74358974 0.87179487]|[0.75       0.79487179 0.84615385 0.79487179 0.82051282]|[0.725      0.79487179 0.79487179 0.76923077 0.76923077]|0.8062820512820512|0.8012820512820513|0.7706410256410255
2023-05-07 11:15:54|algorithm0|20noise|GlaucomaM|0.04|{0, 59, 44, 21}|62|4|1.0|0.49436044692993164|[0.775      0.71794872 0.82051282 0.79487179 0.82051282]|[0.825      0.71794872 0.82051282 0.74358974 0.84615385]|[0.75       0.79487179 0.84615385 0.76923077 0.84615385]|0.7857692307692308|0.7906410256410257|0.8012820512820513
2023-05-07 11:15:54|algorithm0|20noise|GlaucomaM|0.06|{1, 18, 51, 53}|62|4|1.0|0.52748703956604|[0.65       0.64102564 0.66666667 0.69230769 0.69230769]|[0.8        0.69230769 0.71794872 0.71794872 0.69230769]|[0.55       0.48717949 0.51282051 0.66666667 0.66666667]|0.6684615384615386|0.7241025641025642|0.5766666666666667
2023-05-07 11:15:55|algorithm0|20noise|GlaucomaM|0.08|{0, 17, 53, 10, 46}|62|5|1.0|0.7157108783721924|[0.775      0.82051282 0.87179487 0.87179487 0.87179487]|[0.825      0.79487179 0.79487179 0.87179487 0.94871795]|[0.675      0.69230769 0.79487179 0.76923077 0.84615385]|0.8421794871794873|0.847051282051282|0.7555128205128205
2023-05-07 11:15:56|algorithm0|20noise|GlaucomaM|0.1|{16, 0, 53, 54, 59, 46}|62|6|1.0|0.7247536182403564|[0.85       0.82051282 0.84615385 0.87179487 0.8974359 ]|[0.85       0.76923077 0.84615385 0.82051282 0.92307692]|[0.8        0.71794872 0.79487179 0.79487179 0.76923077]|0.8571794871794871|0.8417948717948718|0.7753846153846153
2023-05-07 11:15:57|algorithm0|20noise|GlaucomaM|0.12000000000000001|{18, 51, 52, 53, 8, 46}|62|6|1.0|0.770432710647583|[0.825      0.74358974 0.82051282 0.79487179 0.79487179]|[0.85       0.74358974 0.87179487 0.82051282 0.8974359 ]|[0.825      0.69230769 0.79487179 0.82051282 0.82051282]|0.7957692307692307|0.8366666666666667|0.7906410256410256
2023-05-07 11:15:58|algorithm0|20noise|GlaucomaM|0.14|{1, 46, 49, 23, 53, 55}|62|6|1.0|0.9845287799835205|[0.8        0.82051282 0.82051282 0.74358974 0.76923077]|[0.8        0.79487179 0.79487179 0.82051282 0.84615385]|[0.75       0.79487179 0.76923077 0.79487179 0.82051282]|0.7907692307692308|0.8112820512820512|0.7858974358974358
2023-05-07 11:15:59|algorithm0|20noise|GlaucomaM|0.16|{6, 46, 16, 49, 48, 17, 52, 55}|62|8|1.0|1.1730413436889648|[0.825      0.74358974 0.84615385 0.79487179 0.84615385]|[0.875      0.79487179 0.84615385 0.82051282 0.8974359 ]|[0.725      0.74358974 0.87179487 0.87179487 0.84615385]|0.811153846153846|0.8467948717948719|0.8116666666666668
2023-05-07 11:16:01|algorithm0|20noise|GlaucomaM|0.18|{0, 6, 9, 46, 16, 48, 50, 55, 23}|62|9|1.0|2.3122313022613525|[0.825      0.74358974 0.87179487 0.87179487 0.74358974]|[0.85       0.84615385 0.87179487 0.82051282 0.84615385]|[0.675      0.71794872 0.79487179 0.87179487 0.79487179]|0.8111538461538462|0.8469230769230768|0.7708974358974359
2023-05-07 11:16:04|algorithm0|20noise|GlaucomaM|0.19999999999999998|{1, 46, 47, 23, 21, 53, 55, 54, 61}|62|9|1.0|2.744475841522217|[0.775      0.76923077 0.87179487 0.79487179 0.82051282]|[0.85       0.74358974 0.82051282 0.79487179 0.84615385]|[0.8        0.69230769 0.79487179 0.74358974 0.79487179]|0.8062820512820512|0.811025641025641|0.7651282051282051
2023-05-07 11:16:07|algorithm0|20noise|GlaucomaM|0.21999999999999997|{1, 2, 46, 49, 50, 23, 53, 22, 55, 61}|62|10|1.0|2.551537036895752|[0.75       0.79487179 0.82051282 0.76923077 0.79487179]|[0.825      0.82051282 0.84615385 0.82051282 0.84615385]|[0.775      0.84615385 0.79487179 0.74358974 0.84615385]|0.7858974358974358|0.8316666666666667|0.8011538461538461
2023-05-07 11:16:09|algorithm0|20noise|GlaucomaM|0.23999999999999996|{1, 7, 8, 43, 46, 47, 16, 23, 53, 54, 55, 22, 61}|62|13|1.0|1.9127826690673828|[0.775      0.66666667 0.84615385 0.87179487 0.84615385]|[0.875      0.74358974 0.84615385 0.74358974 0.87179487]|[0.8        0.69230769 0.79487179 0.84615385 0.84615385]|0.8011538461538461|0.816025641025641|0.7958974358974359
2023-05-07 11:16:11|algorithm0|20noise|GlaucomaM|0.25999999999999995|{0, 2, 6, 43, 17, 51, 20, 55, 54, 23, 53, 25, 56}|62|13|0.9897959183673469|2.5778586864471436|[0.85       0.69230769 0.82051282 0.82051282 0.84615385]|[0.8        0.64102564 0.87179487 0.82051282 0.87179487]|[0.8        0.53846154 0.8974359  0.71794872 0.87179487]|0.8058974358974357|0.801025641025641|0.7651282051282051
2023-05-07 11:16:14|algorithm0|20noise|GlaucomaM|0.27999999999999997|{1, 8, 9, 43, 12, 16, 49, 17, 51, 52, 21, 23, 55, 56, 53, 54}|62|16|0.9897959183673469|2.965763807296753|[0.825      0.71794872 0.84615385 0.76923077 0.79487179]|[0.875      0.61538462 0.84615385 0.74358974 0.87179487]|[0.8        0.53846154 0.74358974 0.76923077 0.82051282]|0.7906410256410256|0.7903846153846155|0.7343589743589745
2023-05-07 11:16:17|algorithm0|20noise|GlaucomaM|0.3|{4, 8, 17, 20, 23, 25, 31, 43, 46, 50, 53, 54, 55, 56, 61}|62|15|0.9897959183673469|2.721909284591675|[0.8        0.71794872 0.84615385 0.87179487 0.84615385]|[0.85       0.74358974 0.87179487 0.82051282 0.87179487]|[0.65       0.74358974 0.79487179 0.76923077 0.79487179]|0.8164102564102563|0.8315384615384616|0.7505128205128204
2023-05-07 11:16:21|algorithm0|20noise|GlaucomaM|0.32|{0, 1, 8, 16, 17, 18, 19, 20, 23, 25, 33, 43, 46, 48, 50, 53, 54, 55}|62|18|0.9897959183673469|3.908926486968994|[0.8        0.79487179 0.87179487 0.87179487 0.79487179]|[0.85       0.74358974 0.87179487 0.79487179 0.82051282]|[0.8        0.61538462 0.84615385 0.84615385 0.76923077]|0.8266666666666668|0.8161538461538461|0.7753846153846153
