结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 11:17:14|algorithm0|20noise|accent|0.02|{0, 1, 2}|12|3|1.0|0.24210166931152344|[0.48484848 0.45454545 0.45454545 0.40909091 0.41538462]|[0.5        0.5        0.5        0.5        0.50769231]|[0.56060606 0.43939394 0.34848485 0.39393939 0.56923077]|0.4436829836829837|0.5015384615384615|0.46233100233100244
2023-05-07 11:17:14|algorithm0|20noise|accent|0.04|{0, 1, 2, 11}|12|4|1.0|0.27080225944519043|[0.60606061 0.43939394 0.51515152 0.42424242 0.50769231]|[0.5        0.5        0.5        0.5        0.50769231]|[0.51515152 0.21212121 0.39393939 0.39393939 0.58461538]|0.4985081585081585|0.5015384615384615|0.41995337995338
2023-05-07 11:17:14|algorithm0|20noise|accent|0.06|{0, 1, 2, 6, 7}|12|5|1.0|0.33748459815979004|[0.48484848 0.57575758 0.57575758 0.54545455 0.64615385]|[0.5        0.5        0.5        0.5        0.50769231]|[0.56060606 0.57575758 0.51515152 0.42424242 0.56923077]|0.5655944055944055|0.5015384615384615|0.528997668997669
2023-05-07 11:17:15|algorithm0|20noise|accent|0.08|{0, 1, 2, 3, 4, 6}|12|6|1.0|0.40308165550231934|[0.57575758 0.51515152 0.54545455 0.56060606 0.56923077]|[0.5        0.5        0.5        0.5        0.50769231]|[0.34848485 0.42424242 0.40909091 0.51515152 0.58461538]|0.5532400932400933|0.5015384615384615|0.4563170163170163
2023-05-07 11:17:15|algorithm0|20noise|accent|0.1|{0, 1, 2, 3, 4, 8, 9}|12|7|1.0|0.4994997978210449|[0.59090909 0.63636364 0.5        0.56060606 0.67692308]|[0.5        0.5        0.5        0.5        0.50769231]|[0.36363636 0.54545455 0.45454545 0.40909091 0.61538462]|0.5929603729603731|0.5015384615384615|0.4776223776223777
2023-05-07 11:17:16|algorithm0|20noise|accent|0.12000000000000001|{0, 1, 2, 3, 4, 5, 6, 8, 9}|12|9|1.0|0.5159716606140137|[0.63636364 0.66666667 0.63636364 0.56060606 0.69230769]|[0.5        0.5        0.5        0.5        0.50769231]|[0.42424242 0.59090909 0.46969697 0.45454545 0.64615385]|0.6384615384615385|0.5015384615384615|0.5171095571095571
2023-05-07 11:17:17|algorithm0|20noise|accent|0.14|{0, 1, 2, 3, 4, 5, 6, 7, 8, 11}|12|10|1.0|0.5665032863616943|[0.66666667 0.60606061 0.68181818 0.66666667 0.73846154]|[0.5        0.5        0.5        0.51515152 0.50769231]|[0.5        0.53030303 0.43939394 0.48484848 0.67692308]|0.671934731934732|0.5045687645687645|0.5262937062937063
2023-05-07 11:17:17|algorithm0|20noise|accent|0.16|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|12|12|0.9908814589665653|0.5759921073913574|[0.63636364 0.6969697  0.72727273 0.66666667 0.70769231]|[0.56060606 0.51515152 0.53030303 0.51515152 0.50769231]|[0.53030303 0.57575758 0.59090909 0.46969697 0.64615385]|0.686993006993007|0.5257808857808858|0.5625641025641025
2023-05-07 11:17:18|algorithm0|20noise|accent|0.18|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|12|12|0.9604863221884499|0.6625525951385498|[0.63636364 0.6969697  0.72727273 0.66666667 0.70769231]|[0.56060606 0.51515152 0.53030303 0.51515152 0.50769231]|[0.54545455 0.60606061 0.59090909 0.48484848 0.64615385]|0.686993006993007|0.5257808857808858|0.5746853146853146
2023-05-07 11:17:19|algorithm0|20noise|accent|0.19999999999999998|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|12|12|0.9118541033434651|0.7066957950592041|[0.63636364 0.6969697  0.72727273 0.66666667 0.70769231]|[0.56060606 0.51515152 0.53030303 0.51515152 0.50769231]|[0.54545455 0.57575758 0.59090909 0.48484848 0.64615385]|0.686993006993007|0.5257808857808858|0.5686247086247086
