结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 11:35:44|algorithm0|20noise|pima|0.02|{1, 2, 6, 7}|8|4|1.0|0.5092799663543701|[0.71428571 0.75974026 0.75974026 0.73202614 0.75816993]|[0.76623377 0.78571429 0.73376623 0.71895425 0.75816993]|[0.68831169 0.74675325 0.69480519 0.67320261 0.76470588]|0.7447924624395212|0.7525676937441643|0.7135557253204311
2023-05-07 11:35:45|algorithm0|20noise|pima|0.04|{0, 1, 2, 5, 6}|8|5|1.0|0.5623164176940918|[0.75324675 0.75974026 0.72727273 0.7124183  0.77124183]|[0.77922078 0.79220779 0.74675325 0.71895425 0.80392157]|[0.72077922 0.75324675 0.69480519 0.67320261 0.74509804]|0.7447839741957389|0.7682115270350565|0.717426364485188
2023-05-07 11:35:46|algorithm0|20noise|pima|0.06|{0, 1, 2, 3, 4, 5, 6}|8|7|1.0|0.7497701644897461|[0.71428571 0.74025974 0.72727273 0.71895425 0.76470588]|[0.77922078 0.79220779 0.76623377 0.7124183  0.81045752]|[0.72077922 0.75974026 0.68831169 0.67320261 0.74509804]|0.7330956625074272|0.7721076309311604|0.717426364485188
2023-05-07 11:35:47|algorithm0|20noise|pima|0.08|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.9973958333333334|1.2105069160461426|[0.74025974 0.70779221 0.72727273 0.70588235 0.73202614]|[0.78571429 0.78571429 0.75974026 0.7124183  0.80392157]|[0.74675325 0.74675325 0.68831169 0.69281046 0.74509804]|0.7226466344113402|0.7695017400899754|0.7239453357100416
2023-05-07 11:35:49|algorithm0|20noise|pima|0.1|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.98828125|1.380319595336914|[0.74025974 0.70779221 0.72727273 0.70588235 0.73202614]|[0.78571429 0.78571429 0.75974026 0.7124183  0.80392157]|[0.72727273 0.74675325 0.68831169 0.69281046 0.74509804]|0.7226466344113402|0.7695017400899754|0.7200492318139377
2023-05-07 11:35:50|algorithm0|20noise|pima|0.12000000000000001|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.94140625|1.150735855102539|[0.74025974 0.70779221 0.72727273 0.70588235 0.73202614]|[0.78571429 0.78571429 0.75974026 0.7124183  0.80392157]|[0.73376623 0.75324675 0.68831169 0.69281046 0.74509804]|0.7226466344113402|0.7695017400899754|0.7226466344113402
2023-05-07 11:35:52|algorithm0|20noise|pima|0.14|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.8658854166666666|1.4798781871795654|[0.74025974 0.70779221 0.72727273 0.70588235 0.73202614]|[0.78571429 0.78571429 0.75974026 0.7124183  0.80392157]|[0.72727273 0.75324675 0.68831169 0.69281046 0.74509804]|0.7226466344113402|0.7695017400899754|0.721347933112639
2023-05-07 11:35:54|algorithm0|20noise|pima|0.16|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.7408854166666666|1.880784273147583|[0.74025974 0.70779221 0.72727273 0.70588235 0.73202614]|[0.78571429 0.78571429 0.75974026 0.7124183  0.80392157]|[0.74675325 0.74675325 0.68831169 0.69281046 0.74509804]|0.7226466344113402|0.7695017400899754|0.7239453357100416
2023-05-07 11:35:56|algorithm0|20noise|pima|0.18|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.5859375|2.0566015243530273|[0.74025974 0.70779221 0.72727273 0.70588235 0.73202614]|[0.78571429 0.78571429 0.75974026 0.7124183  0.80392157]|[0.74675325 0.74675325 0.68831169 0.69281046 0.74509804]|0.7226466344113402|0.7695017400899754|0.7239453357100416
2023-05-07 11:35:58|algorithm0|20noise|pima|0.19999999999999998|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.4388020833333333|2.2117366790771484|[0.74025974 0.70779221 0.72727273 0.70588235 0.73202614]|[0.78571429 0.78571429 0.75974026 0.7124183  0.80392157]|[0.73376623 0.74675325 0.68831169 0.69281046 0.74509804]|0.7226466344113402|0.7695017400899754|0.721347933112639
2023-05-07 11:36:01|algorithm0|20noise|pima|0.21999999999999997|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.3333333333333333|2.512610912322998|[0.74025974 0.70779221 0.72727273 0.70588235 0.73202614]|[0.78571429 0.78571429 0.75974026 0.7124183  0.80392157]|[0.73376623 0.74675325 0.68831169 0.69281046 0.74509804]|0.7226466344113402|0.7695017400899754|0.721347933112639
2023-05-07 11:36:04|algorithm0|20noise|pima|0.23999999999999996|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.24348958333333334|2.7070393562316895|[0.74025974 0.70779221 0.72727273 0.70588235 0.73202614]|[0.78571429 0.78571429 0.75974026 0.7124183  0.80392157]|[0.75324675 0.75324675 0.68831169 0.69934641 0.74509804]|0.7226466344113402|0.7695017400899754|0.7278499278499279
2023-05-07 11:36:07|algorithm0|20noise|pima|0.25999999999999995|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.17447916666666666|2.819697618484497|[0.74025974 0.70779221 0.72727273 0.70588235 0.73202614]|[0.78571429 0.78571429 0.75974026 0.7124183  0.80392157]|[0.73376623 0.75324675 0.68831169 0.69934641 0.74509804]|0.7226466344113402|0.7695017400899754|0.7239538239538239
2023-05-07 11:36:10|algorithm0|20noise|pima|0.27999999999999997|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.13020833333333334|2.9771273136138916|[0.74025974 0.70779221 0.72727273 0.70588235 0.73202614]|[0.78571429 0.78571429 0.75974026 0.7124183  0.80392157]|[0.72727273 0.75324675 0.68831169 0.69281046 0.74509804]|0.7226466344113402|0.7695017400899754|0.721347933112639
2023-05-07 11:36:13|algorithm0|20noise|pima|0.3|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.09505208333333333|3.277775764465332|[0.74025974 0.70779221 0.72727273 0.70588235 0.73202614]|[0.78571429 0.78571429 0.75974026 0.7124183  0.80392157]|[0.74675325 0.75324675 0.68831169 0.69281046 0.74509804]|0.7226466344113402|0.7695017400899754|0.725244037008743
