结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 11:15:42|algorithm0|20noise|wine|0.02|{0, 1, 3}|13|3|1.0|0.09372448921203613|[0.86111111 0.83333333 0.77777778 0.82857143 0.8       ]|[0.88888889 0.75       0.72222222 0.82857143 0.77142857]|[0.75       0.75       0.72222222 0.85714286 0.77142857]|0.8201587301587303|0.7922222222222223|0.7701587301587302
2023-05-07 11:15:42|algorithm0|20noise|wine|0.04|{0, 9, 5}|13|3|1.0|0.10348153114318848|[0.94444444 0.97222222 0.88888889 0.8        0.94285714]|[0.88888889 1.         0.83333333 0.77142857 0.88571429]|[0.91666667 1.         0.91666667 0.88571429 0.8       ]|0.9096825396825396|0.8758730158730159|0.9038095238095238
2023-05-07 11:15:42|algorithm0|20noise|wine|0.06|{0, 9, 5, 7}|13|4|1.0|0.13384532928466797|[1.         0.94444444 0.83333333 0.8        0.88571429]|[0.94444444 1.         0.83333333 0.77142857 0.82857143]|[0.91666667 0.97222222 0.91666667 0.88571429 0.85714286]|0.8926984126984128|0.8755555555555554|0.9096825396825396
2023-05-07 11:15:42|algorithm0|20noise|wine|0.08|{1, 2, 7, 9, 12}|13|5|1.0|0.13569402694702148|[1.         0.91666667 0.80555556 0.85714286 0.91428571]|[1.         0.83333333 0.86111111 0.82857143 0.91428571]|[0.97222222 0.91666667 0.86111111 0.8        0.74285714]|0.8987301587301587|0.8874603174603175|0.8585714285714285
2023-05-07 11:15:42|algorithm0|20noise|wine|0.1|{1, 2, 3, 7, 9, 11}|13|6|1.0|0.14242887496948242|[0.91666667 0.83333333 0.94444444 0.77142857 0.88571429]|[0.88888889 0.91666667 0.97222222 0.77142857 0.91428571]|[0.94444444 0.94444444 0.97222222 0.8        0.85714286]|0.8703174603174603|0.8926984126984128|0.9036507936507936
2023-05-07 11:15:43|algorithm0|20noise|wine|0.12000000000000001|{0, 1, 2, 7, 9, 12}|13|6|1.0|0.13004350662231445|[1.         0.91666667 0.80555556 0.91428571 0.94285714]|[1.         0.91666667 0.80555556 0.85714286 0.91428571]|[0.97222222 0.91666667 0.75       0.77142857 0.74285714]|0.9158730158730158|0.8987301587301587|0.8306349206349207
2023-05-07 11:15:43|algorithm0|20noise|wine|0.14|{0, 1, 2, 3, 7, 9, 11}|13|7|1.0|0.15345549583435059|[0.97222222 1.         0.86111111 0.88571429 0.97142857]|[0.97222222 1.         0.97222222 0.88571429 0.97142857]|[0.97222222 1.         0.83333333 0.8        0.85714286]|0.9380952380952381|0.9603174603174602|0.8925396825396825
2023-05-07 11:15:43|algorithm0|20noise|wine|0.16|{0, 1, 2, 5, 7, 9, 11}|13|7|1.0|0.14820122718811035|[0.97222222 0.94444444 0.88888889 0.88571429 0.97142857]|[0.94444444 0.91666667 0.91666667 0.82857143 0.94285714]|[0.97222222 0.94444444 0.80555556 0.85714286 0.94285714]|0.9325396825396824|0.9098412698412698|0.9044444444444444
2023-05-07 11:15:43|algorithm0|20noise|wine|0.18|{0, 1, 2, 5, 7, 8, 9, 11}|13|8|1.0|0.17568135261535645|[0.94444444 0.94444444 0.88888889 0.88571429 0.97142857]|[0.88888889 0.94444444 0.91666667 0.91428571 0.94285714]|[0.91666667 0.94444444 0.80555556 0.82857143 0.91428571]|0.9269841269841269|0.9214285714285714|0.881904761904762
2023-05-07 11:15:43|algorithm0|20noise|wine|0.19999999999999998|{0, 1, 3, 4, 7, 8, 9, 11, 12}|13|9|1.0|0.17876362800598145|[1.         1.         0.86111111 0.88571429 0.94285714]|[1.         1.         0.91666667 0.91428571 0.94285714]|[0.91666667 0.94444444 0.88888889 0.77142857 0.82857143]|0.937936507936508|0.9547619047619047|0.8699999999999999
2023-05-07 11:15:44|algorithm0|20noise|wine|0.21999999999999997|{0, 2, 4, 5, 7, 8, 9, 10, 11, 12}|13|10|1.0|0.4044196605682373|[1.         0.97222222 0.86111111 0.91428571 0.94285714]|[0.97222222 0.97222222 0.91666667 0.94285714 0.97142857]|[0.94444444 0.97222222 0.80555556 0.82857143 0.88571429]|0.9380952380952381|0.9550793650793651|0.8873015873015874
2023-05-07 11:15:44|algorithm0|20noise|wine|0.23999999999999996|{0, 1, 2, 4, 5, 7, 8, 9, 10, 11, 12}|13|11|1.0|0.29486942291259766|[1.         0.97222222 0.91666667 0.94285714 0.97142857]|[0.97222222 1.         0.94444444 0.97142857 0.97142857]|[0.91666667 0.94444444 0.83333333 0.8        0.88571429]|0.9606349206349206|0.971904761904762|0.8760317460317459
2023-05-07 11:15:45|algorithm0|20noise|wine|0.25999999999999995|{0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12}|13|12|1.0|0.3154640197753906|[1.         1.         0.91666667 0.91428571 0.97142857]|[1.         1.         0.97222222 0.94285714 0.97142857]|[0.94444444 0.97222222 0.80555556 0.82857143 0.88571429]|0.9604761904761905|0.9773015873015873|0.8873015873015874
2023-05-07 11:15:45|algorithm0|20noise|wine|0.27999999999999997|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12}|13|13|0.9662921348314607|0.3139157295227051|[1.         0.97222222 0.91666667 0.91428571 0.97142857]|[1.         1.         0.97222222 0.94285714 0.97142857]|[0.97222222 0.91666667 0.80555556 0.88571429 0.85714286]|0.954920634920635|0.9773015873015873|0.8874603174603175
2023-05-07 11:15:45|algorithm0|20noise|wine|0.3|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12}|13|13|0.949438202247191|0.3148326873779297|[1.         0.97222222 0.91666667 0.91428571 0.97142857]|[1.         1.         0.97222222 0.94285714 0.97142857]|[0.97222222 0.91666667 0.75       0.88571429 0.85714286]|0.954920634920635|0.9773015873015873|0.8763492063492062
2023-05-07 11:15:46|algorithm0|20noise|wine|0.32|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12}|13|13|0.9044943820224719|0.3195919990539551|[1.         0.97222222 0.91666667 0.91428571 0.97142857]|[1.         1.         0.97222222 0.94285714 0.97142857]|[0.94444444 0.91666667 0.77777778 0.85714286 0.85714286]|0.954920634920635|0.9773015873015873|0.8706349206349205
2023-05-07 11:15:46|algorithm0|20noise|wine|0.34|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12}|13|13|0.8651685393258427|0.270916223526001|[1.         0.97222222 0.91666667 0.91428571 0.97142857]|[1.         1.         0.97222222 0.94285714 0.97142857]|[0.91666667 0.91666667 0.77777778 0.85714286 0.85714286]|0.954920634920635|0.9773015873015873|0.865079365079365
2023-05-07 11:15:46|algorithm0|20noise|wine|0.36000000000000004|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12}|13|13|0.8426966292134831|0.3294355869293213|[1.         0.97222222 0.91666667 0.91428571 0.97142857]|[1.         1.         0.97222222 0.94285714 0.97142857]|[0.97222222 0.91666667 0.80555556 0.88571429 0.85714286]|0.954920634920635|0.9773015873015873|0.8874603174603175
2023-05-07 11:15:47|algorithm0|20noise|wine|0.38000000000000006|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12}|13|13|0.7415730337078652|0.35181188583374023|[1.         0.97222222 0.91666667 0.91428571 0.97142857]|[1.         1.         0.97222222 0.94285714 0.97142857]|[0.94444444 0.91666667 0.77777778 0.88571429 0.85714286]|0.954920634920635|0.9773015873015873|0.8763492063492062
2023-05-07 11:15:47|algorithm0|20noise|wine|0.4000000000000001|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12}|13|13|0.6629213483146067|0.36812496185302734|[1.         0.97222222 0.91666667 0.91428571 0.97142857]|[1.         1.         0.97222222 0.94285714 0.97142857]|[0.94444444 0.91666667 0.77777778 0.91428571 0.85714286]|0.954920634920635|0.9773015873015873|0.882063492063492
