结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 08:46:04|algorithm0|2fold|accent|0.02|{0, 1, 5}|12|3|1.0|0.16975092887878418|[0.56060606 0.54545455 0.51515152 0.46969697 0.56923077]|[0.5        0.5        0.5        0.5        0.50769231]|[0.56060606 0.51515152 0.45454545 0.53030303 0.58461538]|0.5320279720279719|0.5015384615384615|0.529044289044289
2023-05-11 08:46:04|algorithm0|2fold|accent|0.04|{0, 1, 2, 5}|12|4|1.0|0.22347784042358398|[0.57575758 0.57575758 0.51515152 0.43939394 0.53846154]|[0.5        0.5        0.5        0.5        0.50769231]|[0.43939394 0.51515152 0.43939394 0.53030303 0.58461538]|0.5289044289044289|0.5015384615384615|0.5017715617715618
2023-05-11 08:46:05|algorithm0|2fold|accent|0.06|{0, 1, 2, 8, 10}|12|5|1.0|0.27680468559265137|[0.68181818 0.68181818 0.60606061 0.43939394 0.6       ]|[0.51515152 0.5        0.51515152 0.5        0.50769231]|[0.51515152 0.53030303 0.43939394 0.36363636 0.52307692]|0.6018181818181818|0.5075990675990676|0.4743123543123543
2023-05-11 08:46:05|algorithm0|2fold|accent|0.08|{0, 1, 2, 3, 10}|12|5|1.0|0.3089313507080078|[0.65151515 0.66666667 0.62121212 0.45454545 0.64615385]|[0.54545455 0.51515152 0.51515152 0.5        0.50769231]|[0.56060606 0.56060606 0.46969697 0.40909091 0.36923077]|0.608018648018648|0.5166899766899766|0.47384615384615386
2023-05-11 08:46:06|algorithm0|2fold|accent|0.1|{0, 1, 2, 3, 4, 10}|12|6|1.0|0.37122130393981934|[0.66666667 0.59090909 0.59090909 0.60606061 0.67692308]|[0.54545455 0.51515152 0.53030303 0.5        0.50769231]|[0.48484848 0.53030303 0.45454545 0.5        0.56923077]|0.6262937062937063|0.5197202797202797|0.5077855477855477
2023-05-11 08:46:06|algorithm0|2fold|accent|0.12000000000000001|{0, 1, 2, 3, 8, 9, 10}|12|7|1.0|0.4327273368835449|[0.60606061 0.68181818 0.63636364 0.46969697 0.70769231]|[0.56060606 0.51515152 0.51515152 0.5        0.50769231]|[0.53030303 0.53030303 0.54545455 0.39393939 0.55384615]|0.6203263403263404|0.5197202797202797|0.5107692307692308
2023-05-11 08:46:07|algorithm0|2fold|accent|0.14|{0, 1, 2, 3, 4, 8, 10, 11}|12|8|1.0|0.46974658966064453|[0.63636364 0.6969697  0.6969697  0.59090909 0.70769231]|[0.57575758 0.51515152 0.51515152 0.5        0.50769231]|[0.63636364 0.51515152 0.54545455 0.43939394 0.67692308]|0.6657808857808858|0.5227505827505827|0.5626573426573426
2023-05-11 08:46:07|algorithm0|2fold|accent|0.16|{0, 1, 2, 3, 4, 7, 8, 9, 10, 11}|12|10|1.0|0.5322766304016113|[0.62121212 0.6969697  0.72727273 0.66666667 0.69230769]|[0.54545455 0.51515152 0.53030303 0.51515152 0.50769231]|[0.53030303 0.51515152 0.59090909 0.48484848 0.69230769]|0.6808857808857809|0.5227505827505827|0.5627039627039627
2023-05-11 08:46:08|algorithm0|2fold|accent|0.18|{0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11}|12|11|0.9885931558935361|0.5077691078186035|[0.66666667 0.72727273 0.6969697  0.63636364 0.69230769]|[0.56060606 0.51515152 0.54545455 0.53030303 0.50769231]|[0.54545455 0.53030303 0.56060606 0.48484848 0.63076923]|0.6839160839160838|0.5318414918414918|0.5503962703962704
2023-05-11 08:46:09|algorithm0|2fold|accent|0.19999999999999998|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|12|12|0.9619771863117871|0.5568199157714844|[0.63636364 0.6969697  0.72727273 0.66666667 0.70769231]|[0.56060606 0.51515152 0.53030303 0.51515152 0.50769231]|[0.54545455 0.59090909 0.56060606 0.48484848 0.66153846]|0.686993006993007|0.5257808857808858|0.5686713286713286
2023-05-11 08:46:09|algorithm0|2fold|accent|0.21999999999999997|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|12|12|0.9163498098859315|0.607795238494873|[0.63636364 0.6969697  0.72727273 0.66666667 0.70769231]|[0.56060606 0.51515152 0.53030303 0.51515152 0.50769231]|[0.51515152 0.56060606 0.56060606 0.48484848 0.64615385]|0.686993006993007|0.5257808857808858|0.5534731934731935
2023-05-11 08:46:10|algorithm0|2fold|accent|0.23999999999999996|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|12|12|0.8365019011406845|0.6282851696014404|[0.63636364 0.6969697  0.72727273 0.66666667 0.70769231]|[0.56060606 0.51515152 0.53030303 0.51515152 0.50769231]|[0.54545455 0.53030303 0.59090909 0.48484848 0.64615385]|0.686993006993007|0.5257808857808858|0.5595337995337994
