结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 08:45:33|algorithm0|3fold|Sonar|0.02|{0, 22, 15}|60|3|1.0|0.5774178504943848|[0.71428571 0.61904762 0.4047619  0.63414634 0.63414634]|[0.54761905 0.57142857 0.33333333 0.3902439  0.58536585]|[0.69047619 0.78571429 0.52380952 0.6097561  0.56097561]|0.6012775842044136|0.4855981416957027|0.6341463414634146
2023-05-11 08:45:33|algorithm0|3fold|Sonar|0.04|{4, 44, 20}|60|3|1.0|0.5109081268310547|[0.69047619 0.71428571 0.5        0.65853659 0.80487805]|[0.80952381 0.76190476 0.4047619  0.63414634 0.75609756]|[0.64285714 0.71428571 0.5952381  0.6097561  0.68292683]|0.6736353077816493|0.6732868757259002|0.6490127758420442
2023-05-11 08:45:34|algorithm0|3fold|Sonar|0.06|{0, 44, 29, 36}|60|4|1.0|0.6609177589416504|[0.64285714 0.61904762 0.66666667 0.58536585 0.65853659]|[0.64285714 0.73809524 0.66666667 0.70731707 0.65853659]|[0.47619048 0.64285714 0.69047619 0.68292683 0.6097561 ]|0.6344947735191637|0.6826945412311265|0.6204413472706156
2023-05-11 08:45:35|algorithm0|3fold|Sonar|0.08|{27, 9, 35, 53}|60|4|1.0|0.7061877250671387|[0.5952381  0.69047619 0.80952381 0.6097561  0.85365854]|[0.73809524 0.57142857 0.66666667 0.51219512 0.75609756]|[0.4047619  0.57142857 0.78571429 0.80487805 0.56097561]|0.7117305458768872|0.6488966318234611|0.6255516840882694
2023-05-11 08:45:36|algorithm0|3fold|Sonar|0.1|{27, 18, 35, 53}|60|4|1.0|0.7138857841491699|[0.5        0.66666667 0.64285714 0.53658537 0.6097561 ]|[0.5        0.76190476 0.64285714 0.46341463 0.75609756]|[0.5952381  0.57142857 0.69047619 0.58536585 0.43902439]|0.5911730545876888|0.6248548199767712|0.5763066202090592
2023-05-11 08:45:37|algorithm0|3fold|Sonar|0.12000000000000001|{0, 18, 35, 53, 27}|60|5|1.0|1.0023095607757568|[0.54761905 0.64285714 0.57142857 0.56097561 0.63414634]|[0.5952381  0.80952381 0.71428571 0.53658537 0.80487805]|[0.71428571 0.64285714 0.76190476 0.53658537 0.53658537]|0.5914053426248549|0.692102206736353|0.6384436701509872
2023-05-11 08:45:38|algorithm0|3fold|Sonar|0.14|{33, 20, 53, 10, 14}|60|5|1.0|0.9376482963562012|[0.71428571 0.69047619 0.57142857 0.63414634 0.70731707]|[0.76190476 0.57142857 0.54761905 0.53658537 0.87804878]|[0.64285714 0.64285714 0.52380952 0.70731707 0.80487805]|0.6635307781649245|0.6591173054587689|0.6643437862950059
2023-05-11 08:45:39|algorithm0|3fold|Sonar|0.16|{16, 0, 20, 36, 53, 23}|60|6|1.0|1.107788324356079|[0.5952381  0.73809524 0.52380952 0.58536585 0.51219512]|[0.69047619 0.78571429 0.47619048 0.65853659 0.6097561 ]|[0.71428571 0.5        0.52380952 0.56097561 0.65853659]|0.5909407665505226|0.6441347270615564|0.591521486643438
2023-05-11 08:45:40|algorithm0|3fold|Sonar|0.18|{16, 36, 53, 21, 10, 29}|60|6|1.0|1.1319453716278076|[0.69047619 0.69047619 0.52380952 0.53658537 0.65853659]|[0.73809524 0.52380952 0.54761905 0.73170732 0.63414634]|[0.76190476 0.61904762 0.76190476 0.80487805 0.63414634]|0.6199767711962834|0.635075493612079|0.7163763066202091
2023-05-11 08:45:41|algorithm0|3fold|Sonar|0.19999999999999998|{18, 35, 53, 24, 10, 27}|60|6|1.0|1.1685993671417236|[0.5        0.42857143 0.71428571 0.6097561  0.75609756]|[0.64285714 0.64285714 0.69047619 0.6097561  0.90243902]|[0.52380952 0.54761905 0.73809524 0.56097561 0.85365854]|0.6017421602787456|0.6976771196283391|0.6448315911730547
