结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 09:00:10|algorithm0|3fold|australian|0.02|{1, 2, 4, 9, 12}|14|5|1.0|1.2797253131866455|[0.71014493 0.73188406 0.7173913  0.65942029 0.71014493]|[0.77536232 0.77536232 0.7173913  0.70289855 0.74637681]|[0.80434783 0.80434783 0.74637681 0.75362319 0.75362319]|0.7057971014492754|0.7434782608695653|0.772463768115942
2023-05-11 09:00:12|algorithm0|3fold|australian|0.04|{1, 2, 3, 4, 7, 9, 12}|14|7|1.0|2.0025432109832764|[0.86231884 0.86231884 0.84782609 0.85507246 0.86231884]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.81884058 0.87681159 0.84782609 0.86231884 0.83333333]|0.8579710144927537|0.8550724637681159|0.8478260869565217
2023-05-11 09:00:15|algorithm0|3fold|australian|0.06|{0, 1, 2, 3, 4, 5, 6, 7, 11, 12}|14|10|1.0|2.2470290660858154|[0.83333333 0.84057971 0.83333333 0.89130435 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.80434783 0.81884058 0.88405797 0.86231884 0.85507246]|0.8492753623188406|0.8550724637681159|0.8449275362318842
2023-05-11 09:00:17|algorithm0|3fold|australian|0.08|{0, 1, 2, 3, 4, 5, 7, 10, 11, 12, 13}|14|11|1.0|2.1737520694732666|[0.81884058 0.83333333 0.83333333 0.86956522 0.87681159]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.79710145 0.84782609 0.8115942  0.86231884 0.84057971]|0.846376811594203|0.8550724637681159|0.8318840579710145
2023-05-11 09:00:20|algorithm0|3fold|australian|0.1|{0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13}|14|13|0.9963768115942029|2.342275381088257|[0.84057971 0.87681159 0.80434783 0.86956522 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.7826087  0.84782609 0.82608696 0.82608696 0.8115942 ]|0.8478260869565217|0.8550724637681159|0.8188405797101449
2023-05-11 09:00:22|algorithm0|3fold|australian|0.12000000000000001|{0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13}|14|13|0.9909420289855072|2.636162281036377|[0.84057971 0.87681159 0.80434783 0.86956522 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.79710145 0.84782609 0.81884058 0.81884058 0.8115942 ]|0.8478260869565217|0.8550724637681159|0.8188405797101449
2023-05-11 09:00:25|algorithm0|3fold|australian|0.14|{0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13}|14|13|0.980072463768116|2.799957036972046|[0.84057971 0.87681159 0.80434783 0.86956522 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.79710145 0.84782609 0.8115942  0.82608696 0.80434783]|0.8478260869565217|0.8550724637681159|0.8173913043478261
2023-05-11 09:00:29|algorithm0|3fold|australian|0.16|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13}|14|14|0.9692028985507246|2.9546589851379395|[0.84057971 0.87681159 0.80434783 0.86956522 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.79710145 0.84782609 0.81884058 0.81884058 0.82608696]|0.8478260869565217|0.8550724637681159|0.8217391304347826
2023-05-11 09:00:32|algorithm0|3fold|australian|0.18|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13}|14|14|0.9619565217391305|3.083082914352417|[0.84057971 0.87681159 0.80434783 0.86956522 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.79710145 0.84782609 0.8115942  0.8115942  0.8115942 ]|0.8478260869565217|0.8550724637681159|0.8159420289855073
2023-05-11 09:00:35|algorithm0|3fold|australian|0.19999999999999998|{0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13}|14|13|0.9384057971014492|3.122859001159668|[0.84057971 0.87681159 0.80434783 0.86956522 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.79710145 0.84782609 0.81884058 0.82608696 0.8115942 ]|0.8478260869565217|0.8550724637681159|0.8202898550724637
2023-05-11 09:00:39|algorithm0|3fold|australian|0.21999999999999997|{0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13}|14|13|0.927536231884058|3.153857946395874|[0.84057971 0.87681159 0.80434783 0.86956522 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.79710145 0.84782609 0.81884058 0.83333333 0.8115942 ]|0.8478260869565217|0.8550724637681159|0.8217391304347826
2023-05-11 09:00:42|algorithm0|3fold|australian|0.23999999999999996|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13}|14|14|0.9166666666666666|3.283581018447876|[0.84057971 0.87681159 0.80434783 0.86956522 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.7826087  0.84782609 0.8115942  0.8115942  0.82608696]|0.8478260869565217|0.8550724637681159|0.8159420289855073
2023-05-11 09:00:46|algorithm0|3fold|australian|0.25999999999999995|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13}|14|14|0.8840579710144928|3.598926067352295|[0.84057971 0.87681159 0.80434783 0.86956522 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.7826087  0.84782609 0.81884058 0.81884058 0.8115942 ]|0.8478260869565217|0.8550724637681159|0.8159420289855074
2023-05-11 09:00:50|algorithm0|3fold|australian|0.27999999999999997|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13}|14|14|0.8623188405797102|3.6910665035247803|[0.84057971 0.87681159 0.80434783 0.86956522 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.7826087  0.84782609 0.8115942  0.81884058 0.81884058]|0.8478260869565217|0.8550724637681159|0.8159420289855073
2023-05-11 09:00:53|algorithm0|3fold|australian|0.3|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12}|14|13|0.8387681159420289|3.238508939743042|[0.84057971 0.87681159 0.80434783 0.86956522 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.79710145 0.89130435 0.85507246 0.83333333 0.82608696]|0.8478260869565217|0.8550724637681159|0.8405797101449275
