结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 09:08:13|algorithm0|3fold|data_banknote|0.02|{0, 1, 2}|4|3|1.0|0.4771575927734375|[0.99636364 1.         1.         0.98175182 0.99635036]|[0.98909091 0.97090909 0.98905109 0.97080292 0.97080292]|[0.97090909 0.98181818 0.97810219 0.96350365 0.97445255]|0.9948931652289316|0.978131386861314|0.9737571333775714
2023-05-11 09:08:14|algorithm0|3fold|data_banknote|0.04|{0, 1, 2, 3}|4|4|1.0|0.5902795791625977|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-11 09:08:15|algorithm0|3fold|data_banknote|0.06|{0, 1, 2, 3}|4|4|1.0|0.7296338081359863|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-11 09:08:16|algorithm0|3fold|data_banknote|0.08|{0, 1, 2, 3}|4|4|0.9872495446265938|0.871790885925293|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-11 09:08:18|algorithm0|3fold|data_banknote|0.1|{0, 1, 2, 3}|4|4|0.970856102003643|1.0920743942260742|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95620438 0.97445255]|0.998542800265428|0.9795912408759124|0.9744817518248174
2023-05-11 09:08:19|algorithm0|3fold|data_banknote|0.12000000000000001|{0, 1, 2, 3}|4|4|0.9590163934426229|1.184908390045166|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-11 09:08:21|algorithm0|3fold|data_banknote|0.14|{0, 1, 2, 3}|4|4|0.9107468123861566|1.362206220626831|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-11 09:08:23|algorithm0|3fold|data_banknote|0.16|{0, 1, 2, 3}|4|4|0.8497267759562842|1.5163311958312988|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-11 09:08:24|algorithm0|3fold|data_banknote|0.18|{0, 1, 2, 3}|4|4|0.7586520947176685|1.6846716403961182|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-11 09:08:27|algorithm0|3fold|data_banknote|0.19999999999999998|{0, 1, 2, 3}|4|4|0.6539162112932605|1.8270809650421143|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95620438 0.97445255]|0.998542800265428|0.9795912408759124|0.9744817518248174
