结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 08:59:59|algorithm0|3fold|diamonds_filter|0.02|{0, 1, 2, 3}|4|4|1.0|0.1341547966003418|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1. 1. 1. 1. 1.]|0.9298879551820729|0.891470588235294|1.0
2023-05-11 09:00:00|algorithm0|3fold|diamonds_filter|0.04|{0, 1, 2, 3}|4|4|0.9853862212943633|0.1492466926574707|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9966666666666667
2023-05-11 09:00:00|algorithm0|3fold|diamonds_filter|0.06|{0, 1, 2, 3}|4|4|0.9686847599164927|0.16214656829833984|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         1.         1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-11 09:00:00|algorithm0|3fold|diamonds_filter|0.08|{0, 1, 2, 3}|4|4|0.8663883089770354|0.19748973846435547|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         1.         1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-11 09:00:01|algorithm0|3fold|diamonds_filter|0.1|{0, 1, 2, 3}|4|4|0.7682672233820459|0.20639920234680176|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         1.         1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-11 09:00:01|algorithm0|3fold|diamonds_filter|0.12000000000000001|{0, 1, 2, 3}|4|4|0.6784968684759917|0.2344837188720703|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1.         1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-11 09:00:01|algorithm0|3fold|diamonds_filter|0.14|{0, 1, 2, 3}|4|4|0.6179540709812108|0.25725317001342773|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1.         1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-11 09:00:02|algorithm0|3fold|diamonds_filter|0.16|{0, 1, 2, 3}|4|4|0.5052192066805845|0.30493950843811035|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1. 1. 1. 1. 1.]|0.9298879551820729|0.891470588235294|1.0
2023-05-11 09:00:02|algorithm0|3fold|diamonds_filter|0.18|{0, 1, 2, 3}|4|4|0.40083507306889354|0.32526373863220215|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1. 1. 1. 1. 1.]|0.9298879551820729|0.891470588235294|1.0
2023-05-11 09:00:03|algorithm0|3fold|diamonds_filter|0.19999999999999998|{0, 1, 2, 3}|4|4|0.3569937369519833|0.33385658264160156|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1.         1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
