结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 09:03:57|algorithm0|4fold|Vehicle|0.02|{0, 1, 15}|18|3|1.0|0.9891679286956787|[0.56470588 0.46745562 0.44970414 0.56213018 0.50295858]|[0.47058824 0.44970414 0.38461538 0.46745562 0.40236686]|[0.54705882 0.5147929  0.4852071  0.5739645  0.4556213 ]|0.5093908806126001|0.43494604942568743|0.515328924469196
2023-05-11 09:03:59|algorithm0|4fold|Vehicle|0.04|{0, 17, 14, 15}|18|4|1.0|1.477475881576538|[0.52941176 0.5147929  0.52071006 0.52662722 0.4852071 ]|[0.41764706 0.41420118 0.4260355  0.4260355  0.39053254]|[0.51176471 0.50295858 0.5147929  0.53254438 0.53254438]|0.5153498085624781|0.414890358510268|0.5189209885137488
2023-05-11 09:04:01|algorithm0|4fold|Vehicle|0.06|{0, 17, 2, 1, 9, 14}|18|6|1.0|2.0725040435791016|[0.68235294 0.65680473 0.65088757 0.65680473 0.61538462]|[0.58823529 0.52071006 0.55029586 0.53846154 0.50887574]|[0.57647059 0.55621302 0.6035503  0.59763314 0.5739645 ]|0.6524469195962409|0.5413156978767838|0.5815663069961713
2023-05-11 09:04:04|algorithm0|4fold|Vehicle|0.08|{0, 17, 5, 6, 14, 15}|18|6|1.0|2.5940303802490234|[0.62352941 0.58579882 0.6035503  0.56804734 0.55621302]|[0.57647059 0.53846154 0.52071006 0.60946746 0.5443787 ]|[0.67647059 0.68047337 0.66863905 0.69230769 0.71005917]|0.5874277758440654|0.5578976679429168|0.6855899756352246
2023-05-11 09:04:08|algorithm0|4fold|Vehicle|0.1|{0, 3, 6, 9, 14, 15, 17}|18|7|1.0|3.423731803894043|[0.71176471 0.62721893 0.63313609 0.61538462 0.6035503 ]|[0.64117647 0.60946746 0.59763314 0.65680473 0.57988166]|[0.67647059 0.59171598 0.56804734 0.63313609 0.59171598]|0.6382109293421511|0.6169926905673513|0.6122171945701358
2023-05-11 09:04:11|algorithm0|4fold|Vehicle|0.12000000000000001|{0, 1, 2, 3, 9, 14, 15, 17}|18|8|1.0|3.3404622077941895|[0.68823529 0.63905325 0.65680473 0.63313609 0.6035503 ]|[0.61176471 0.60946746 0.59171598 0.59171598 0.5739645 ]|[0.61176471 0.58579882 0.56804734 0.65088757 0.65088757]|0.6441559345631743|0.5957257222415594|0.6134772015315002
2023-05-11 09:04:16|algorithm0|4fold|Vehicle|0.14|{0, 1, 2, 3, 6, 7, 9, 11, 14, 15, 17}|18|11|1.0|4.3501434326171875|[0.69411765 0.70414201 0.67455621 0.67455621 0.61538462]|[0.70588235 0.66272189 0.65088757 0.69822485 0.66272189]|[0.64705882 0.62721893 0.59171598 0.68639053 0.63313609]|0.6725513400626523|0.6760877131917857|0.63710407239819
2023-05-11 09:04:21|algorithm0|4fold|Vehicle|0.16|{0, 2, 3, 8, 9, 10, 11, 12, 14, 15, 17}|18|11|0.9970457902511078|4.64943790435791|[0.72941176 0.67455621 0.68639053 0.65680473 0.63905325]|[0.70588235 0.65680473 0.61538462 0.67455621 0.62721893]|[0.65294118 0.62130178 0.59763314 0.68639053 0.68047337]|0.6772432996867386|0.6559693699965193|0.6477479986077271
2023-05-11 09:04:27|algorithm0|4fold|Vehicle|0.18|{0, 1, 2, 3, 7, 8, 9, 10, 12, 14, 15, 16, 17}|18|13|0.9955686853766618|5.1839964389801025|[0.72941176 0.69230769 0.67455621 0.68639053 0.63313609]|[0.72941176 0.71005917 0.69230769 0.77514793 0.66863905]|[0.62352941 0.63313609 0.61538462 0.66863905 0.65680473]|0.6831604594500521|0.7151131221719457|0.6394987817612252
2023-05-11 09:04:32|algorithm0|4fold|Vehicle|0.19999999999999998|{0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17}|18|17|0.983751846381093|5.532687187194824|[0.72941176 0.71005917 0.67455621 0.65680473 0.66272189]|[0.77058824 0.73964497 0.71597633 0.78698225 0.69822485]|[0.67647059 0.62721893 0.61538462 0.70414201 0.69230769]|0.6867107553080404|0.7422833275321963|0.6631047685346327
