结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 11:33:37|algorithm0|ori|data_banknote|0.02|{0, 1, 2}|4|3|1.0|0.5385892391204834|[0.99636364 1.         1.         0.98175182 0.99635036]|[0.98909091 0.97090909 0.98905109 0.97080292 0.97080292]|[0.97090909 0.98181818 0.97810219 0.96350365 0.97445255]|0.9948931652289316|0.978131386861314|0.9737571333775714
2023-05-07 11:33:38|algorithm0|ori|data_banknote|0.04|{0, 1, 2, 3}|4|4|1.0|0.7766022682189941|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-07 11:33:39|algorithm0|ori|data_banknote|0.06|{0, 1, 2, 3}|4|4|1.0|0.9485642910003662|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-07 11:33:40|algorithm0|ori|data_banknote|0.08|{0, 1, 2, 3}|4|4|0.989067055393586|1.154675006866455|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95620438 0.97445255]|0.998542800265428|0.9795912408759124|0.9744817518248174
2023-05-07 11:33:42|algorithm0|ori|data_banknote|0.1|{0, 1, 2, 3}|4|4|0.9752186588921283|1.3603384494781494|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-07 11:33:44|algorithm0|ori|data_banknote|0.12000000000000001|{0, 1, 2, 3}|4|4|0.9657434402332361|1.568411111831665|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-07 11:33:46|algorithm0|ori|data_banknote|0.14|{0, 1, 2, 3}|4|4|0.9176384839650146|1.7455897331237793|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95620438 0.97445255]|0.998542800265428|0.9795912408759124|0.9744817518248174
2023-05-07 11:33:48|algorithm0|ori|data_banknote|0.16|{0, 1, 2, 3}|4|4|0.8564139941690962|1.921928882598877|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-07 11:33:50|algorithm0|ori|data_banknote|0.18|{0, 1, 2, 3}|4|4|0.7645772594752187|2.0882151126861572|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-07 11:33:53|algorithm0|ori|data_banknote|0.19999999999999998|{0, 1, 2, 3}|4|4|0.6494169096209913|2.3353681564331055|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
