结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 11:25:57|algorithm0|ori|diabetes|0.02|{0, 1, 5, 7}|8|4|1.0|0.598116397857666|[0.81818182 0.71428571 0.78571429 0.76470588 0.68627451]|[0.81168831 0.74025974 0.7987013  0.75163399 0.67973856]|[0.80519481 0.74025974 0.73376623 0.73856209 0.64052288]|0.7538324420677363|0.7564043799337916|0.7316611493082081
2023-05-07 11:25:58|algorithm0|ori|diabetes|0.04|{0, 1, 2, 5, 6}|8|5|1.0|0.7749016284942627|[0.77272727 0.7012987  0.74675325 0.79084967 0.71895425]|[0.84415584 0.72077922 0.81168831 0.76470588 0.70588235]|[0.77272727 0.70779221 0.75974026 0.70588235 0.67320261]|0.7461166284695697|0.7694423223834989|0.7238689415160003
2023-05-07 11:25:59|algorithm0|ori|diabetes|0.06|{0, 1, 2, 3, 5, 7}|8|6|1.0|0.7069675922393799|[0.80519481 0.72727273 0.72727273 0.74509804 0.66666667]|[0.81818182 0.73376623 0.7987013  0.76470588 0.68627451]|[0.81818182 0.79220779 0.74025974 0.7254902  0.66013072]|0.7343009931245226|0.7603259485612426|0.747254053136406
2023-05-07 11:26:00|algorithm0|ori|diabetes|0.08|{0, 1, 2, 3, 4, 6, 7}|8|7|0.9986979166666666|0.8127143383026123|[0.7987013  0.67532468 0.73376623 0.77124183 0.67320261]|[0.81168831 0.72727273 0.76623377 0.75816993 0.67973856]|[0.74675325 0.67532468 0.77272727 0.69934641 0.59477124]|0.7304473304473305|0.7486206603853663|0.6977845683728037
2023-05-07 11:26:01|algorithm0|ori|diabetes|0.1|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.99609375|0.9868407249450684|[0.7987013  0.69480519 0.73376623 0.75816993 0.70588235]|[0.82467532 0.72077922 0.80519481 0.76470588 0.67973856]|[0.82467532 0.69480519 0.77272727 0.7124183  0.69281046]|0.7382650029708853|0.7590187590187589|0.7394873100755455
2023-05-07 11:26:02|algorithm0|ori|diabetes|0.12000000000000001|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.9817708333333334|1.1621475219726562|[0.7987013  0.69480519 0.73376623 0.75816993 0.70588235]|[0.82467532 0.72077922 0.80519481 0.76470588 0.67973856]|[0.82467532 0.69480519 0.77272727 0.7124183  0.69281046]|0.7382650029708853|0.7590187590187589|0.7394873100755455
2023-05-07 11:26:03|algorithm0|ori|diabetes|0.14|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.9427083333333334|1.2034921646118164|[0.7987013  0.69480519 0.73376623 0.75816993 0.70588235]|[0.82467532 0.72077922 0.80519481 0.76470588 0.67973856]|[0.82467532 0.68831169 0.77272727 0.71895425 0.69281046]|0.7382650029708853|0.7590187590187589|0.7394957983193278
2023-05-07 11:26:05|algorithm0|ori|diabetes|0.16|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.85546875|1.278822422027588|[0.7987013  0.69480519 0.73376623 0.75816993 0.70588235]|[0.82467532 0.72077922 0.80519481 0.76470588 0.67973856]|[0.82467532 0.68831169 0.77272727 0.71895425 0.69281046]|0.7382650029708853|0.7590187590187589|0.7394957983193278
2023-05-07 11:26:07|algorithm0|ori|diabetes|0.18|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.7252604166666666|1.9559252262115479|[0.7987013  0.69480519 0.73376623 0.75816993 0.70588235]|[0.82467532 0.72077922 0.80519481 0.76470588 0.67973856]|[0.82467532 0.69480519 0.77272727 0.7124183  0.69281046]|0.7382650029708853|0.7590187590187589|0.7394873100755455
2023-05-07 11:26:09|algorithm0|ori|diabetes|0.19999999999999998|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.56640625|2.2042746543884277|[0.7987013  0.69480519 0.73376623 0.75816993 0.70588235]|[0.82467532 0.72077922 0.80519481 0.76470588 0.67973856]|[0.82467532 0.69480519 0.77272727 0.7124183  0.69281046]|0.7382650029708853|0.7590187590187589|0.7394873100755455
2023-05-07 11:26:11|algorithm0|ori|diabetes|0.21999999999999997|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.43359375|1.7531332969665527|[0.7987013  0.69480519 0.73376623 0.75816993 0.70588235]|[0.82467532 0.72077922 0.80519481 0.76470588 0.67973856]|[0.82467532 0.68831169 0.77272727 0.71895425 0.69281046]|0.7382650029708853|0.7590187590187589|0.7394957983193278
2023-05-07 11:26:13|algorithm0|ori|diabetes|0.23999999999999996|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.31640625|2.273703098297119|[0.7987013  0.69480519 0.73376623 0.75816993 0.70588235]|[0.82467532 0.72077922 0.80519481 0.76470588 0.67973856]|[0.82467532 0.68831169 0.77272727 0.7124183  0.69281046]|0.7382650029708853|0.7590187590187589|0.7381886087768441
2023-05-07 11:26:16|algorithm0|ori|diabetes|0.25999999999999995|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.23177083333333334|2.0558602809906006|[0.7987013  0.69480519 0.73376623 0.75816993 0.70588235]|[0.82467532 0.72077922 0.80519481 0.76470588 0.67973856]|[0.82467532 0.69480519 0.77272727 0.7124183  0.69281046]|0.7382650029708853|0.7590187590187589|0.7394873100755455
2023-05-07 11:26:18|algorithm0|ori|diabetes|0.27999999999999997|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.1796875|2.1747262477874756|[0.7987013  0.69480519 0.73376623 0.75816993 0.70588235]|[0.82467532 0.72077922 0.80519481 0.76470588 0.67973856]|[0.82467532 0.69480519 0.77272727 0.7124183  0.69281046]|0.7382650029708853|0.7590187590187589|0.7394873100755455
2023-05-07 11:26:21|algorithm0|ori|diabetes|0.3|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.12630208333333334|2.7792279720306396|[0.7987013  0.69480519 0.73376623 0.75816993 0.70588235]|[0.82467532 0.72077922 0.80519481 0.76470588 0.67973856]|[0.82467532 0.69480519 0.77272727 0.7124183  0.69281046]|0.7382650029708853|0.7590187590187589|0.7394873100755455
2023-05-07 11:26:23|algorithm0|ori|diabetes|0.32|{3}|8|1|0.0013020833333333333|1.6799468994140625|[0.64285714 0.62987013 0.61038961 0.63398693 0.65359477]|[0.64935065 0.64935065 0.64935065 0.65359477 0.65359477]|[0.64935065 0.63636364 0.61038961 0.64705882 0.64705882]|0.6341397164926577|0.6510482981071216|0.6380443086325439
2023-05-07 11:26:25|algorithm0|ori|diabetes|0.34|{3}|8|1|0.0013020833333333333|1.6884596347808838|[0.64285714 0.62987013 0.61038961 0.63398693 0.65359477]|[0.64935065 0.64935065 0.64935065 0.65359477 0.65359477]|[0.64935065 0.63636364 0.61038961 0.64705882 0.64705882]|0.6341397164926577|0.6510482981071216|0.6380443086325439
2023-05-07 11:26:26|algorithm0|ori|diabetes|0.36000000000000004|{3}|8|1|0.0013020833333333333|1.7212731838226318|[0.64285714 0.62987013 0.61038961 0.63398693 0.65359477]|[0.64935065 0.64935065 0.64935065 0.65359477 0.65359477]|[0.64935065 0.63636364 0.61038961 0.64705882 0.64705882]|0.6341397164926577|0.6510482981071216|0.6380443086325439
2023-05-07 11:26:28|algorithm0|ori|diabetes|0.38000000000000006|{3}|8|1|0.0013020833333333333|1.7572579383850098|[0.64285714 0.62987013 0.61038961 0.63398693 0.65359477]|[0.64935065 0.64935065 0.64935065 0.65359477 0.65359477]|[0.64935065 0.63636364 0.61038961 0.64705882 0.64705882]|0.6341397164926577|0.6510482981071216|0.6380443086325439
2023-05-07 11:26:30|algorithm0|ori|diabetes|0.4000000000000001|{0, 3}|8|2|0.0013020833333333333|1.6411058902740479|[0.66883117 0.62987013 0.64935065 0.67320261 0.64052288]|[0.64935065 0.64935065 0.64935065 0.65359477 0.65359477]|[0.68181818 0.68181818 0.63636364 0.66666667 0.63398693]|0.6523554876496053|0.6510482981071216|0.6601307189542484
