结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 11:10:17|algorithm0|ori|seeds|0.02|{0, 5}|7|2|1.0|0.03273344039916992|[0.92857143 0.76190476 0.92857143 0.92857143 0.95238095]|[0.92857143 0.66666667 0.9047619  0.97619048 0.92857143]|[0.95238095 0.69047619 0.85714286 0.92857143 0.97619048]|0.9|0.880952380952381|0.880952380952381
2023-05-07 11:10:17|algorithm0|ori|seeds|0.04|{0, 5, 6}|7|3|1.0|0.03493833541870117|[0.95238095 0.83333333 0.95238095 0.95238095 0.95238095]|[0.95238095 0.88095238 0.95238095 0.95238095 0.95238095]|[0.95238095 0.83333333 0.9047619  0.95238095 0.95238095]|0.9285714285714286|0.9380952380952381|0.919047619047619
2023-05-07 11:10:17|algorithm0|ori|seeds|0.06|{0, 4, 5, 6}|7|4|1.0|0.0436251163482666|[0.97619048 0.78571429 0.95238095 0.97619048 0.97619048]|[0.95238095 0.83333333 0.92857143 0.97619048 0.95238095]|[0.9047619  0.78571429 0.92857143 0.95238095 0.9047619 ]|0.9333333333333333|0.9285714285714286|0.8952380952380953
2023-05-07 11:10:17|algorithm0|ori|seeds|0.08|{0, 4, 5, 6}|7|4|1.0|0.05678677558898926|[0.97619048 0.78571429 0.95238095 0.97619048 0.97619048]|[0.95238095 0.83333333 0.92857143 0.97619048 0.95238095]|[0.9047619  0.78571429 0.92857143 0.95238095 0.9047619 ]|0.9333333333333333|0.9285714285714286|0.8952380952380953
2023-05-07 11:10:17|algorithm0|ori|seeds|0.1|{0, 1, 2, 3, 5, 6}|7|6|0.9857142857142858|0.05687069892883301|[0.97619048 0.85714286 0.92857143 0.95238095 0.92857143]|[0.95238095 0.80952381 0.9047619  0.97619048 0.95238095]|[0.88095238 0.80952381 0.92857143 0.95238095 0.92857143]|0.9285714285714286|0.919047619047619|0.9
2023-05-07 11:10:17|algorithm0|ori|seeds|0.12000000000000001|{1, 2, 3, 5, 6}|7|5|0.9761904761904762|0.06723737716674805|[0.95238095 0.80952381 0.92857143 0.95238095 0.95238095]|[0.95238095 0.80952381 0.9047619  0.97619048 0.95238095]|[0.83333333 0.71428571 0.92857143 0.85714286 0.9047619 ]|0.9190476190476191|0.919047619047619|0.8476190476190476
2023-05-07 11:10:18|algorithm0|ori|seeds|0.14|{0, 1, 2, 3, 4, 5, 6}|7|7|0.9714285714285714|0.06978249549865723|[0.97619048 0.80952381 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.97619048]|[0.9047619  0.76190476 0.92857143 0.95238095 0.85714286]|0.9238095238095239|0.9428571428571428|0.8809523809523808
2023-05-07 11:10:18|algorithm0|ori|seeds|0.16|{0, 1, 2, 3, 4, 5, 6}|7|7|0.9428571428571428|0.07968902587890625|[0.97619048 0.80952381 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.97619048]|[0.88095238 0.80952381 0.92857143 0.95238095 0.83333333]|0.9238095238095239|0.9428571428571428|0.8809523809523808
2023-05-07 11:10:18|algorithm0|ori|seeds|0.18|{0, 1, 2, 3, 4, 5, 6}|7|7|0.9095238095238095|0.07674002647399902|[0.97619048 0.80952381 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.97619048]|[0.9047619  0.66666667 0.92857143 0.95238095 0.88095238]|0.9238095238095239|0.9428571428571428|0.8666666666666668
2023-05-07 11:10:18|algorithm0|ori|seeds|0.19999999999999998|{0, 1, 2, 3, 4, 5, 6}|7|7|0.8714285714285714|0.08066105842590332|[0.97619048 0.80952381 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.97619048]|[0.9047619  0.69047619 0.92857143 0.95238095 0.85714286]|0.9238095238095239|0.9428571428571428|0.8666666666666666
