结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 14:14:48|algorithm1|10noise|BreastTissue|0.02|{1, 2}|9|2|0.37735849056603776|1.252336025238037|[0.68181818 0.66666667 0.52380952 0.61904762 0.52380952]|[0.54545455 0.52380952 0.47619048 0.47619048 0.42857143]|[0.45454545 0.66666667 0.57142857 0.61904762 0.52380952]|0.603030303030303|0.49004329004329|0.5670995670995671
2023-05-07 14:14:50|algorithm1|10noise|BreastTissue|0.04|{1, 2, 7}|9|3|0.3113207547169811|1.5918490886688232|[0.72727273 0.61904762 0.61904762 0.57142857 0.61904762]|[0.59090909 0.57142857 0.47619048 0.47619048 0.42857143]|[0.72727273 0.57142857 0.76190476 0.76190476 0.61904762]|0.6311688311688312|0.5086580086580087|0.6883116883116883
2023-05-07 14:14:51|algorithm1|10noise|BreastTissue|0.06|{1, 2}|9|2|0.33962264150943394|1.015868902206421|[0.68181818 0.66666667 0.52380952 0.61904762 0.52380952]|[0.54545455 0.52380952 0.47619048 0.47619048 0.42857143]|[0.45454545 0.66666667 0.57142857 0.61904762 0.52380952]|0.603030303030303|0.49004329004329|0.5670995670995671
2023-05-07 14:14:52|algorithm1|10noise|BreastTissue|0.08|{0, 2}|9|2|0.3584905660377358|1.2230589389801025|[0.68181818 0.57142857 0.52380952 0.61904762 0.52380952]|[0.59090909 0.61904762 0.52380952 0.52380952 0.47619048]|[0.5        0.61904762 0.66666667 0.66666667 0.33333333]|0.5839826839826839|0.5467532467532468|0.5571428571428572
2023-05-07 14:14:53|algorithm1|10noise|BreastTissue|0.1|{0, 3}|9|2|0.3584905660377358|1.208519458770752|[0.59090909 0.61904762 0.61904762 0.66666667 0.61904762]|[0.45454545 0.42857143 0.42857143 0.38095238 0.47619048]|[0.59090909 0.52380952 0.52380952 0.61904762 0.52380952]|0.6229437229437229|0.4337662337662337|0.5562770562770563
2023-05-07 14:14:55|algorithm1|10noise|BreastTissue|0.12000000000000001|{1, 2, 7}|9|3|0.33962264150943394|1.2181305885314941|[0.72727273 0.61904762 0.61904762 0.57142857 0.61904762]|[0.59090909 0.57142857 0.47619048 0.47619048 0.42857143]|[0.72727273 0.57142857 0.76190476 0.66666667 0.66666667]|0.6311688311688312|0.5086580086580087|0.6787878787878787
2023-05-07 14:14:56|algorithm1|10noise|BreastTissue|0.14|{0, 2, 3, 6}|9|4|0.3584905660377358|1.319091558456421|[0.68181818 0.57142857 0.61904762 0.71428571 0.52380952]|[0.59090909 0.61904762 0.52380952 0.52380952 0.47619048]|[0.5        0.61904762 0.66666667 0.66666667 0.57142857]|0.6220779220779221|0.5467532467532468|0.6047619047619047
2023-05-07 14:14:58|algorithm1|10noise|BreastTissue|0.16|{1, 3, 4, 6}|9|4|0.3490566037735849|1.6369376182556152|[0.63636364 0.66666667 0.61904762 0.66666667 0.57142857]|[0.5        0.66666667 0.42857143 0.42857143 0.47619048]|[0.59090909 0.61904762 0.66666667 0.71428571 0.61904762]|0.6320346320346321|0.5|0.641991341991342
2023-05-07 14:14:59|algorithm1|10noise|BreastTissue|0.18|{1, 3, 4, 6}|9|4|0.3867924528301887|1.7221364974975586|[0.63636364 0.66666667 0.61904762 0.66666667 0.57142857]|[0.5        0.66666667 0.42857143 0.42857143 0.47619048]|[0.59090909 0.61904762 0.66666667 0.76190476 0.61904762]|0.6320346320346321|0.5|0.6515151515151515
2023-05-07 14:15:01|algorithm1|10noise|BreastTissue|0.19999999999999998|{0, 2, 3, 4}|9|4|0.36792452830188677|1.7136032581329346|[0.68181818 0.57142857 0.61904762 0.61904762 0.52380952]|[0.63636364 0.61904762 0.52380952 0.52380952 0.47619048]|[0.59090909 0.57142857 0.61904762 0.71428571 0.47619048]|0.603030303030303|0.5558441558441558|0.5943722943722944
2023-05-07 14:15:03|algorithm1|10noise|BreastTissue|0.21999999999999997|{0, 2, 3, 4, 8}|9|5|0.37735849056603776|1.8452568054199219|[0.68181818 0.52380952 0.61904762 0.66666667 0.52380952]|[0.63636364 0.61904762 0.57142857 0.52380952 0.47619048]|[0.59090909 0.57142857 0.61904762 0.76190476 0.47619048]|0.603030303030303|0.5653679653679654|0.6038961038961039
