结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 17:24:38|algorithm1|10noise|german|0.02|{0, 1, 10, 6}|20|4|0.478|9.682535171508789|[0.71  0.72  0.715 0.69  0.665]|[0.7 0.7 0.7 0.7 0.7]|[0.675 0.695 0.73  0.7   0.71 ]|0.7|0.7|0.702
2023-05-07 17:24:48|algorithm1|10noise|german|0.04|{0, 1, 10, 6}|20|4|0.482|9.992202281951904|[0.71  0.72  0.715 0.69  0.665]|[0.7 0.7 0.7 0.7 0.7]|[0.675 0.695 0.73  0.7   0.705]|0.7|0.7|0.701
2023-05-07 17:24:59|algorithm1|10noise|german|0.06|{0, 1, 6, 7, 18}|20|5|0.484|10.585946559906006|[0.735 0.745 0.72  0.74  0.72 ]|[0.725 0.7   0.7   0.7   0.715]|[0.675 0.705 0.725 0.665 0.715]|0.732|0.708|0.697
2023-05-07 17:25:11|algorithm1|10noise|german|0.08|{0, 1, 6, 11, 18}|20|5|0.481|11.123147010803223|[0.75  0.715 0.72  0.705 0.68 ]|[0.71 0.7  0.7  0.7  0.72]|[0.705 0.725 0.725 0.685 0.66 ]|0.714|0.7059999999999998|0.7
2023-05-07 17:25:25|algorithm1|10noise|german|0.1|{0, 3, 6, 11, 18}|20|5|0.505|14.50259256362915|[0.74  0.73  0.71  0.735 0.69 ]|[0.7 0.7 0.7 0.7 0.7]|[0.705 0.72  0.715 0.695 0.65 ]|0.7209999999999999|0.7|0.6969999999999998
2023-05-07 17:25:40|algorithm1|10noise|german|0.12000000000000001|{0, 6, 10, 11, 12}|20|5|0.486|14.219823837280273|[0.69  0.755 0.685 0.705 0.695]|[0.7 0.7 0.7 0.7 0.7]|[0.69  0.72  0.69  0.695 0.645]|0.706|0.7|0.688
2023-05-07 17:25:55|algorithm1|10noise|german|0.14|{0, 4, 6, 7, 11, 18}|20|6|0.464|14.574432611465454|[0.725 0.75  0.72  0.75  0.71 ]|[0.7 0.7 0.7 0.7 0.7]|[0.66  0.71  0.705 0.705 0.685]|0.7310000000000001|0.7|0.6930000000000001
2023-05-07 17:26:09|algorithm1|10noise|german|0.16|{0, 5, 6, 10, 11}|20|5|0.46|14.123682498931885|[0.735 0.7   0.69  0.7   0.705]|[0.7 0.7 0.7 0.7 0.7]|[0.715 0.73  0.715 0.7   0.665]|0.7060000000000001|0.7|0.7049999999999998
2023-05-07 17:26:24|algorithm1|10noise|german|0.18|{0, 5, 6, 10, 11}|20|5|0.46|14.160476207733154|[0.735 0.7   0.69  0.7   0.705]|[0.7 0.7 0.7 0.7 0.7]|[0.715 0.73  0.715 0.7   0.665]|0.7060000000000001|0.7|0.7049999999999998
2023-05-07 17:26:38|algorithm1|10noise|german|0.19999999999999998|{0, 5, 6, 10, 11}|20|5|0.46|14.071244716644287|[0.735 0.7   0.69  0.7   0.705]|[0.7 0.7 0.7 0.7 0.7]|[0.715 0.73  0.715 0.7   0.665]|0.7060000000000001|0.7|0.7049999999999998
