结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 14:27:16|algorithm1|10noise|seeds|0.02|{1}|7|1|0.4666666666666667|0.6082360744476318|[0.95238095 0.73809524 0.83333333 0.9047619  0.92857143]|[0.92857143 0.69047619 0.92857143 0.88095238 0.85714286]|[0.95238095 0.71428571 0.80952381 0.9047619  0.83333333]|0.8714285714285713|0.8571428571428571|0.8428571428571429
2023-05-07 14:27:17|algorithm1|10noise|seeds|0.04|{5, 6}|7|2|0.5428571428571428|0.865994930267334|[0.9047619  0.80952381 0.9047619  0.83333333 0.88095238]|[0.9047619  0.80952381 0.88095238 0.83333333 0.85714286]|[0.83333333 0.69047619 0.85714286 0.83333333 0.83333333]|0.8666666666666668|0.8571428571428571|0.8095238095238095
2023-05-07 14:27:18|algorithm1|10noise|seeds|0.06|{3, 5, 6}|7|3|0.5476190476190477|1.159677505493164|[0.92857143 0.88095238 0.95238095 0.92857143 0.9047619 ]|[0.92857143 0.85714286 0.92857143 0.9047619  0.92857143]|[0.83333333 0.80952381 0.9047619  0.78571429 0.83333333]|0.9190476190476191|0.9095238095238095|0.8333333333333333
2023-05-07 14:27:19|algorithm1|10noise|seeds|0.08|{3, 5, 6}|7|3|0.7|1.2428598403930664|[0.92857143 0.88095238 0.95238095 0.92857143 0.9047619 ]|[0.92857143 0.85714286 0.92857143 0.9047619  0.92857143]|[0.83333333 0.80952381 0.9047619  0.78571429 0.83333333]|0.9190476190476191|0.9095238095238095|0.8333333333333333
2023-05-07 14:27:20|algorithm1|10noise|seeds|0.1|{3, 5, 6}|7|3|0.6952380952380952|1.0961518287658691|[0.92857143 0.88095238 0.95238095 0.92857143 0.9047619 ]|[0.92857143 0.85714286 0.92857143 0.9047619  0.92857143]|[0.83333333 0.80952381 0.9047619  0.78571429 0.83333333]|0.9190476190476191|0.9095238095238095|0.8333333333333333
2023-05-07 14:27:22|algorithm1|10noise|seeds|0.12000000000000001|{0, 3, 5, 6}|7|4|0.7285714285714285|1.3470439910888672|[0.95238095 0.83333333 0.95238095 0.95238095 0.95238095]|[0.95238095 0.83333333 0.92857143 0.95238095 0.97619048]|[0.95238095 0.80952381 0.92857143 0.97619048 0.9047619 ]|0.9285714285714286|0.9285714285714286|0.9142857142857144
2023-05-07 14:27:23|algorithm1|10noise|seeds|0.14|{2, 3, 4, 5}|7|4|0.7047619047619048|1.452439785003662|[0.92857143 0.76190476 0.92857143 0.97619048 0.92857143]|[0.92857143 0.69047619 0.9047619  0.97619048 0.95238095]|[0.9047619  0.76190476 0.85714286 0.83333333 0.80952381]|0.9047619047619048|0.8904761904761905|0.8333333333333334
2023-05-07 14:27:25|algorithm1|10noise|seeds|0.16|{1, 2, 3, 4, 5}|7|5|0.7238095238095238|1.5090577602386475|[0.92857143 0.76190476 0.92857143 0.97619048 0.92857143]|[0.92857143 0.73809524 0.9047619  0.97619048 0.95238095]|[0.9047619  0.73809524 0.88095238 0.88095238 0.83333333]|0.9047619047619048|0.9|0.8476190476190476
2023-05-07 14:27:27|algorithm1|10noise|seeds|0.18|{1, 2, 3, 4, 5, 6}|7|6|0.7|1.6541244983673096|[0.97619048 0.80952381 0.95238095 0.97619048 0.92857143]|[0.97619048 0.80952381 0.92857143 0.97619048 0.95238095]|[0.88095238 0.83333333 0.88095238 0.85714286 0.9047619 ]|0.9285714285714286|0.9285714285714286|0.8714285714285716
2023-05-07 14:27:29|algorithm1|10noise|seeds|0.19999999999999998|{0, 1, 2, 3, 4, 5, 6}|7|7|0.6761904761904762|1.6701693534851074|[0.97619048 0.80952381 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.97619048]|[0.9047619  0.76190476 0.92857143 0.97619048 0.9047619 ]|0.9238095238095239|0.9428571428571428|0.8952380952380953
2023-05-07 14:27:30|algorithm1|10noise|seeds|0.21999999999999997|{0, 1, 2, 3, 4, 5, 6}|7|7|0.6|1.6028547286987305|[0.97619048 0.80952381 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.97619048]|[0.9047619  0.80952381 0.92857143 0.95238095 0.92857143]|0.9238095238095239|0.9428571428571428|0.9047619047619049
2023-05-07 14:27:32|algorithm1|10noise|seeds|0.23999999999999996|{0, 2, 3, 4, 5, 6}|7|6|0.5285714285714286|1.6087977886199951|[0.97619048 0.78571429 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.95238095]|[0.9047619  0.69047619 0.92857143 0.97619048 0.85714286]|0.9190476190476191|0.9380952380952381|0.8714285714285713
2023-05-07 14:27:34|algorithm1|10noise|seeds|0.25999999999999995|{0, 2, 3, 4, 5, 6}|7|6|0.5142857142857142|1.5809311866760254|[0.97619048 0.78571429 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.95238095]|[0.88095238 0.69047619 0.92857143 0.97619048 0.88095238]|0.9190476190476191|0.9380952380952381|0.8714285714285716
2023-05-07 14:27:35|algorithm1|10noise|seeds|0.27999999999999997|{0, 2, 3, 4, 5, 6}|7|6|0.5|1.6474452018737793|[0.97619048 0.78571429 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.95238095]|[0.88095238 0.66666667 0.92857143 0.97619048 0.88095238]|0.9190476190476191|0.9380952380952381|0.8666666666666668
2023-05-07 14:27:37|algorithm1|10noise|seeds|0.3|{0, 1, 2, 3, 4, 5, 6}|7|7|0.47619047619047616|1.5996506214141846|[0.97619048 0.80952381 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.97619048]|[0.9047619  0.76190476 0.92857143 0.97619048 0.85714286]|0.9238095238095239|0.9428571428571428|0.8857142857142856
