结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 12:54:29|algorithm1|1fold|waveform|0.02|{12, 13, 7}|21|3|0.4925|113.06502389907837|[0.647 0.606 0.633 0.641 0.594]|[0.672 0.647 0.662 0.665 0.654]|[0.645 0.634 0.652 0.653 0.649]|0.6242|0.6599999999999999|0.6466000000000001
2023-05-11 12:56:27|algorithm1|1fold|waveform|0.04|{10, 4, 14}|21|3|0.5755|114.44635128974915|[0.729 0.72  0.723 0.72  0.722]|[0.755 0.725 0.769 0.738 0.733]|[0.722 0.717 0.749 0.717 0.718]|0.7227999999999999|0.744|0.7246
2023-05-11 12:58:39|algorithm1|1fold|waveform|0.06|{10, 11, 4, 14}|21|4|0.6055|129.5313744544983|[0.742 0.736 0.749 0.731 0.735]|[0.775 0.768 0.791 0.742 0.748]|[0.739 0.738 0.757 0.713 0.726]|0.7385999999999999|0.7647999999999999|0.7346
2023-05-11 13:00:58|algorithm1|1fold|waveform|0.08|{10, 11, 4, 14}|21|4|0.564|135.06818532943726|[0.742 0.736 0.749 0.731 0.735]|[0.775 0.768 0.791 0.742 0.748]|[0.739 0.738 0.757 0.713 0.726]|0.7385999999999999|0.7647999999999999|0.7346
2023-05-11 13:03:35|algorithm1|1fold|waveform|0.1|{1, 4, 9, 11, 14}|21|5|0.613|153.6895773410797|[0.722 0.756 0.754 0.744 0.733]|[0.756 0.766 0.78  0.767 0.751]|[0.735 0.748 0.747 0.725 0.715]|0.7418|0.764|0.734
2023-05-11 13:06:21|algorithm1|1fold|waveform|0.12000000000000001|{1, 4, 9, 11, 15, 19}|21|6|0.555|162.45183062553406|[0.718 0.743 0.737 0.742 0.734]|[0.75  0.746 0.753 0.782 0.756]|[0.71  0.716 0.697 0.743 0.7  ]|0.7348|0.7574|0.7132
2023-05-11 13:09:13|algorithm1|1fold|waveform|0.14|{1, 3, 9, 12, 15, 19}|21|6|0.545|167.46995091438293|[0.725 0.714 0.681 0.712 0.707]|[0.741 0.737 0.733 0.751 0.734]|[0.705 0.684 0.689 0.702 0.704]|0.7078|0.7392|0.6968
2023-05-11 13:13:06|algorithm1|1fold|waveform|0.16|{0, 1, 6, 9, 11, 16, 20}|21|7|0.57325|229.52774214744568|[0.718 0.751 0.735 0.737 0.746]|[0.755 0.757 0.751 0.774 0.772]|[0.709 0.733 0.716 0.715 0.743]|0.7373999999999999|0.7618|0.7232
2023-05-11 13:17:42|algorithm1|1fold|waveform|0.18|{0, 1, 6, 8, 10, 11, 16, 19}|21|8|0.575|272.45251750946045|[0.763 0.741 0.766 0.732 0.763]|[0.791 0.782 0.803 0.769 0.776]|[0.731 0.738 0.755 0.756 0.733]|0.7529999999999999|0.7842|0.7425999999999999
2023-05-11 13:22:19|algorithm1|1fold|waveform|0.19999999999999998|{0, 1, 6, 10, 11, 12, 16, 20}|21|8|0.60625|274.137558221817|[0.756 0.751 0.776 0.748 0.768]|[0.802 0.769 0.791 0.783 0.789]|[0.766 0.728 0.768 0.764 0.746]|0.7598|0.7868|0.7544
2023-05-11 13:27:13|algorithm1|1fold|waveform|0.21999999999999997|{0, 1, 4, 6, 9, 10, 12, 16, 20}|21|9|0.62675|290.5258266925812|[0.775 0.745 0.795 0.768 0.784]|[0.81  0.8   0.804 0.793 0.816]|[0.767 0.718 0.761 0.745 0.762]|0.7734|0.8046000000000001|0.7506
2023-05-11 13:29:49|algorithm1|1fold|waveform|0.23999999999999996|{0}|21|1|0.0|147.55879497528076|[0.346 0.342 0.358 0.338 0.325]|[0.339 0.339 0.339 0.339 0.34 ]|[0.322 0.332 0.329 0.314 0.343]|0.3418|0.33920000000000006|0.328
2023-05-11 13:32:29|algorithm1|1fold|waveform|0.25999999999999995|{0}|21|1|0.0|152.40577149391174|[0.346 0.342 0.358 0.338 0.325]|[0.339 0.339 0.339 0.339 0.34 ]|[0.322 0.332 0.329 0.314 0.343]|0.3418|0.33920000000000006|0.328
2023-05-11 13:35:14|algorithm1|1fold|waveform|0.27999999999999997|{0}|21|1|0.0|156.33949613571167|[0.346 0.342 0.358 0.338 0.325]|[0.339 0.339 0.339 0.339 0.34 ]|[0.322 0.332 0.329 0.314 0.343]|0.3418|0.33920000000000006|0.328
2023-05-11 13:38:02|algorithm1|1fold|waveform|0.3|{0}|21|1|0.0|159.44617080688477|[0.346 0.342 0.358 0.338 0.325]|[0.339 0.339 0.339 0.339 0.34 ]|[0.322 0.332 0.329 0.314 0.343]|0.3418|0.33920000000000006|0.328
2023-05-11 13:40:53|algorithm1|1fold|waveform|0.32|{0}|21|1|0.0|162.83841705322266|[0.346 0.342 0.358 0.338 0.325]|[0.339 0.339 0.339 0.339 0.34 ]|[0.322 0.332 0.329 0.314 0.343]|0.3418|0.33920000000000006|0.328
2023-05-11 13:43:47|algorithm1|1fold|waveform|0.34|{0}|21|1|0.0|166.1734881401062|[0.346 0.342 0.358 0.338 0.325]|[0.339 0.339 0.339 0.339 0.34 ]|[0.322 0.332 0.329 0.314 0.343]|0.3418|0.33920000000000006|0.328
2023-05-11 13:46:45|algorithm1|1fold|waveform|0.36000000000000004|{0}|21|1|0.0|170.20211052894592|[0.346 0.342 0.358 0.338 0.325]|[0.339 0.339 0.339 0.339 0.34 ]|[0.322 0.332 0.329 0.314 0.343]|0.3418|0.33920000000000006|0.328
2023-05-11 13:49:44|algorithm1|1fold|waveform|0.38000000000000006|{0}|21|1|0.0|170.69499468803406|[0.346 0.342 0.358 0.338 0.325]|[0.339 0.339 0.339 0.339 0.34 ]|[0.322 0.332 0.329 0.314 0.343]|0.3418|0.33920000000000006|0.328
2023-05-11 13:52:46|algorithm1|1fold|waveform|0.4000000000000001|{0}|21|1|0.0|173.86834597587585|[0.346 0.342 0.358 0.338 0.325]|[0.339 0.339 0.339 0.339 0.34 ]|[0.322 0.332 0.329 0.314 0.343]|0.3418|0.33920000000000006|0.328
