结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 17:13:18|algorithm1|20noise|diabetes|0.02|{0, 5, 7}|8|3|0.3828125|4.120892524719238|[0.69480519 0.70779221 0.66233766 0.64705882 0.64052288]|[0.65584416 0.64935065 0.68181818 0.65359477 0.62745098]|[0.67532468 0.70779221 0.64285714 0.7254902  0.68627451]|0.670503352856294|0.6536117477293948|0.6875477463712757
2023-05-07 17:13:22|algorithm1|20noise|diabetes|0.04|{0, 1, 6}|8|3|0.4947916666666667|4.207522869110107|[0.79220779 0.69480519 0.77272727 0.73202614 0.7124183 ]|[0.81168831 0.71428571 0.77272727 0.78431373 0.68627451]|[0.77922078 0.62987013 0.74675325 0.75163399 0.67320261]|0.7408369408369408|0.7538579067990833|0.7161361514302691
2023-05-07 17:13:27|algorithm1|20noise|diabetes|0.06|{0, 2, 3, 5}|8|4|0.4635416666666667|5.075111150741577|[0.66883117 0.61688312 0.62987013 0.64705882 0.63398693]|[0.66233766 0.64935065 0.65584416 0.65359477 0.63398693]|[0.67532468 0.64935065 0.62987013 0.64705882 0.64705882]|0.6393260334436806|0.6510228333757746|0.6497326203208555
2023-05-07 17:13:33|algorithm1|20noise|diabetes|0.08|{0, 1, 3, 5, 7}|8|5|0.3684895833333333|5.249360799789429|[0.7987013  0.74025974 0.75324675 0.75816993 0.7124183 ]|[0.80519481 0.74025974 0.77922078 0.75163399 0.68627451]|[0.7987013  0.74025974 0.73376623 0.7254902  0.66666667]|0.752559205500382|0.7525167642814703|0.7329768270944741
2023-05-07 17:13:39|algorithm1|20noise|diabetes|0.1|{0, 1, 2, 4, 5}|8|5|0.40625|5.845985174179077|[0.81168831 0.73376623 0.71428571 0.73202614 0.7254902 ]|[0.81818182 0.73376623 0.79220779 0.77124183 0.68627451]|[0.78571429 0.72077922 0.75324675 0.66013072 0.67973856]|0.7434513199219082|0.760334436805025|0.7199219081572024
2023-05-07 17:13:45|algorithm1|20noise|diabetes|0.12000000000000001|{0, 1, 2, 3, 5, 6}|8|6|0.4361979166666667|6.067161321640015|[0.7987013  0.66883117 0.75324675 0.76470588 0.69934641]|[0.83116883 0.72077922 0.81168831 0.76470588 0.70588235]|[0.77272727 0.71428571 0.75974026 0.73856209 0.64705882]|0.7369663016721841|0.7668449197860963|0.7264748323571852
2023-05-07 17:13:52|algorithm1|20noise|diabetes|0.14|{0, 1, 2, 3, 5, 6}|8|6|0.43359375|6.423816204071045|[0.7987013  0.66883117 0.75324675 0.76470588 0.69934641]|[0.83116883 0.72077922 0.81168831 0.76470588 0.70588235]|[0.77272727 0.70779221 0.75974026 0.73202614 0.65359477]|0.7369663016721841|0.7668449197860963|0.725176131058484
2023-05-07 17:13:59|algorithm1|20noise|diabetes|0.16|{0, 1, 2, 3, 5, 6, 7}|8|7|0.41796875|7.070913791656494|[0.81168831 0.69480519 0.72727273 0.78431373 0.69281046]|[0.83116883 0.72077922 0.80519481 0.76470588 0.69934641]|[0.82467532 0.72077922 0.77922078 0.7124183  0.68627451]|0.742178083354554|0.7642390289449112|0.7446736270265684
2023-05-07 17:14:06|algorithm1|20noise|diabetes|0.18|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.375|6.73130989074707|[0.7987013  0.69480519 0.73376623 0.75816993 0.70588235]|[0.82467532 0.72077922 0.80519481 0.76470588 0.67973856]|[0.82467532 0.69480519 0.77272727 0.71895425 0.69281046]|0.7382650029708853|0.7590187590187589|0.7407944996180291
2023-05-07 17:14:13|algorithm1|20noise|diabetes|0.19999999999999998|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.3763020833333333|6.900916337966919|[0.7987013  0.69480519 0.73376623 0.75816993 0.70588235]|[0.82467532 0.72077922 0.80519481 0.76470588 0.67973856]|[0.82467532 0.69480519 0.77272727 0.71895425 0.69281046]|0.7382650029708853|0.7590187590187589|0.7407944996180291
