结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 12:52:07|algorithm1|2fold|diabetes|0.02|{1, 7}|8|2|0.5521172638436482|3.4844658374786377|[0.83766234 0.7012987  0.76623377 0.73856209 0.68627451]|[0.80519481 0.71428571 0.77272727 0.73202614 0.68627451]|[0.79220779 0.68831169 0.71428571 0.68627451 0.69934641]|0.746006281300399|0.7421016891605128|0.716085221967575
2023-05-11 12:52:11|algorithm1|2fold|diabetes|0.04|{1, 5, 7}|8|3|0.5195439739413681|3.6323859691619873|[0.81168831 0.72727273 0.77272727 0.77777778 0.73202614]|[0.80519481 0.74675325 0.7987013  0.73856209 0.7254902 ]|[0.81168831 0.74025974 0.73376623 0.73856209 0.67973856]|0.7642984466513878|0.76294032764621|0.7408029878618114
2023-05-11 12:52:15|algorithm1|2fold|diabetes|0.06|{1, 5, 7}|8|3|0.5390879478827362|3.739636182785034|[0.81168831 0.72727273 0.77272727 0.77777778 0.73202614]|[0.80519481 0.74675325 0.7987013  0.73856209 0.7254902 ]|[0.81168831 0.74025974 0.74675325 0.73856209 0.67973856]|0.7642984466513878|0.76294032764621|0.743400390459214
2023-05-11 12:52:20|algorithm1|2fold|diabetes|0.08|{1, 3, 5, 7}|8|4|0.5895765472312704|4.576153755187988|[0.81818182 0.73376623 0.77272727 0.75816993 0.73856209]|[0.81168831 0.74675325 0.7987013  0.73856209 0.7254902 ]|[0.81168831 0.74025974 0.73376623 0.7254902  0.66666667]|0.7642814701638232|0.7642390289449114|0.7355742296918767
2023-05-11 12:52:25|algorithm1|2fold|diabetes|0.1|{1, 3, 4, 5, 7}|8|5|0.5521172638436482|4.6551244258880615|[0.7987013  0.74675325 0.75324675 0.73202614 0.73202614]|[0.80519481 0.74025974 0.80519481 0.74509804 0.7254902 ]|[0.82467532 0.72727273 0.74025974 0.7254902  0.63398693]|0.7525507172565996|0.7642475171886937|0.7303369832781598
2023-05-11 12:52:30|algorithm1|2fold|diabetes|0.12000000000000001|{0, 1, 3, 5, 7}|8|5|0.5765472312703583|4.677522420883179|[0.7987013  0.74025974 0.75324675 0.75816993 0.7124183 ]|[0.80519481 0.74025974 0.77922078 0.75163399 0.68627451]|[0.7987013  0.74025974 0.73376623 0.7254902  0.66666667]|0.752559205500382|0.7525167642814703|0.7329768270944741
2023-05-11 12:52:35|algorithm1|2fold|diabetes|0.14|{0, 1, 3, 5, 7}|8|5|0.5651465798045603|4.734081268310547|[0.7987013  0.74025974 0.75324675 0.75816993 0.7124183 ]|[0.80519481 0.74025974 0.77922078 0.75163399 0.68627451]|[0.7987013  0.74025974 0.73376623 0.7254902  0.66666667]|0.752559205500382|0.7525167642814703|0.7329768270944741
2023-05-11 12:52:40|algorithm1|2fold|diabetes|0.16|{1, 2, 3, 4, 5, 6, 7}|8|7|0.501628664495114|4.962384462356567|[0.84415584 0.68831169 0.77272727 0.78431373 0.70588235]|[0.80519481 0.71428571 0.82467532 0.76470588 0.73856209]|[0.82467532 0.68831169 0.77922078 0.71895425 0.67973856]|0.7590781767252356|0.7694847636024107|0.7381801205330618
2023-05-11 12:52:45|algorithm1|2fold|diabetes|0.18|{0, 1, 2, 3, 5, 6, 7}|8|7|0.5130293159609121|4.860693693161011|[0.81168831 0.69480519 0.72727273 0.78431373 0.69281046]|[0.83116883 0.72077922 0.80519481 0.76470588 0.69934641]|[0.82467532 0.72077922 0.77922078 0.71895425 0.68627451]|0.742178083354554|0.7642390289449112|0.745980816569052
2023-05-11 12:52:50|algorithm1|2fold|diabetes|0.19999999999999998|{0, 1, 2, 3, 5, 6, 7}|8|7|0.5293159609120521|4.826089382171631|[0.81168831 0.69480519 0.72727273 0.78431373 0.69281046]|[0.83116883 0.72077922 0.80519481 0.76470588 0.69934641]|[0.82467532 0.72077922 0.77922078 0.71895425 0.68627451]|0.742178083354554|0.7642390289449112|0.745980816569052
2023-05-11 12:52:55|algorithm1|2fold|diabetes|0.21999999999999997|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.48534201954397393|4.993793964385986|[0.7987013  0.69480519 0.73376623 0.75816993 0.70588235]|[0.82467532 0.72077922 0.80519481 0.76470588 0.67973856]|[0.82467532 0.69480519 0.77272727 0.7124183  0.69281046]|0.7382650029708853|0.7590187590187589|0.7394873100755455
