结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 11:58:23|algorithm1|2fold|musk|0.02|{129, 75, 69}|166|3|0.5511811023622047|55.86716103553772|[0.69791667 0.69473684 0.63157895 0.67368421 0.65263158]|[0.44791667 0.56842105 0.46315789 0.56842105 0.50526316]|[0.54166667 0.73684211 0.69473684 0.73684211 0.67368421]|0.6701096491228069|0.5106359649122807|0.6767543859649122
2023-05-11 11:59:20|algorithm1|2fold|musk|0.04|{161, 3, 134}|166|3|0.5354330708661418|56.27216696739197|[0.59375    0.52631579 0.66315789 0.8        0.64210526]|[0.53125    0.62105263 0.70526316 0.71578947 0.71578947]|[0.5625     0.53684211 0.72631579 0.70526316 0.72631579]|0.6450657894736841|0.6578289473684211|0.6514473684210527
2023-05-11 12:00:46|algorithm1|2fold|musk|0.06|{66, 35, 67, 139, 91}|166|5|0.6141732283464567|86.10933756828308|[0.55208333 0.65263158 0.75789474 0.77894737 0.75789474]|[0.53125    0.62105263 0.74736842 0.73684211 0.89473684]|[0.65625    0.6        0.68421053 0.69473684 0.71578947]|0.6998903508771931|0.70625|0.6701973684210526
2023-05-11 12:02:32|algorithm1|2fold|musk|0.08|{3, 103, 108, 13, 144, 21, 151}|166|7|0.5879265091863517|105.29754710197449|[0.625      0.65263158 0.68421053 0.72631579 0.67368421]|[0.54166667 0.58947368 0.46315789 0.49473684 0.66315789]|[0.5625     0.68421053 0.68421053 0.71578947 0.61052632]|0.6723684210526316|0.5504385964912281|0.6514473684210527
2023-05-11 12:03:46|algorithm1|2fold|musk|0.1|{3, 91, 67, 37}|166|4|0.6194225721784777|73.3056948184967|[0.66666667 0.44210526 0.66315789 0.6        0.68421053]|[0.625      0.69473684 0.64210526 0.64210526 0.71578947]|[0.65625    0.64210526 0.75789474 0.66315789 0.71578947]|0.6112280701754386|0.6639473684210526|0.6870394736842105
2023-05-11 12:05:14|algorithm1|2fold|musk|0.12000000000000001|{96, 0, 67, 41, 45}|166|5|0.6587926509186351|87.17301678657532|[0.63541667 0.48421053 0.65263158 0.69473684 0.6       ]|[0.47916667 0.62105263 0.62105263 0.62105263 0.63157895]|[0.67708333 0.58947368 0.63157895 0.70526316 0.56842105]|0.6133991228070176|0.594780701754386|0.6343640350877193
2023-05-11 12:06:52|algorithm1|2fold|musk|0.14|{160, 67, 49, 118, 88, 91}|166|6|0.6167979002624672|97.26698398590088|[0.625      0.62105263 0.74736842 0.73684211 0.72631579]|[0.58333333 0.56842105 0.71578947 0.67368421 0.82105263]|[0.65625    0.65263158 0.71578947 0.77894737 0.74736842]|0.6913157894736843|0.6724561403508772|0.7101973684210525
2023-05-11 12:08:51|algorithm1|2fold|musk|0.16|{3, 67, 5, 163, 43, 21, 91, 156}|166|8|0.6771653543307087|118.8741455078125|[0.57291667 0.6        0.68421053 0.71578947 0.6       ]|[0.625      0.72631579 0.61052632 0.65263158 0.73684211]|[0.60416667 0.63157895 0.76842105 0.77894737 0.71578947]|0.6345833333333333|0.6702631578947369|0.6997807017543859
2023-05-11 12:10:42|algorithm1|2fold|musk|0.18|{96, 67, 101, 103, 73, 113, 152}|166|7|0.6640419947506562|110.20847845077515|[0.625      0.6        0.70526316 0.77894737 0.61052632]|[0.67708333 0.62105263 0.56842105 0.66315789 0.67368421]|[0.55208333 0.55789474 0.64210526 0.70526316 0.57894737]|0.6639473684210527|0.6406798245614035|0.6072587719298246
2023-05-11 12:13:02|algorithm1|2fold|musk|0.19999999999999998|{64, 160, 9, 73, 111, 92, 18, 56, 124, 152}|166|10|0.6509186351706037|139.31289076805115|[0.63541667 0.68421053 0.71578947 0.74736842 0.72631579]|[0.51041667 0.63157895 0.67368421 0.67368421 0.76842105]|[0.47916667 0.69473684 0.68421053 0.78947368 0.68421053]|0.7018201754385964|0.6515570175438595|0.666359649122807
2023-05-11 12:15:18|algorithm1|2fold|musk|0.21999999999999997|{161, 129, 67, 73, 108, 12, 112, 60, 159}|166|9|0.7165354330708661|135.4659481048584|[0.59375    0.71578947 0.72631579 0.88421053 0.68421053]|[0.54166667 0.68421053 0.70526316 0.68421053 0.72631579]|[0.73958333 0.6        0.76842105 0.82105263 0.67368421]|0.7208552631578947|0.6683333333333333|0.7205482456140351
2023-05-11 12:17:45|algorithm1|2fold|musk|0.23999999999999996|{128, 2, 67, 101, 108, 140, 112, 156, 58, 60}|166|10|0.7007874015748031|146.26754212379456|[0.70833333 0.74736842 0.77894737 0.75789474 0.66315789]|[0.63541667 0.66315789 0.68421053 0.64210526 0.77894737]|[0.6875     0.61052632 0.71578947 0.70526316 0.65263158]|0.731140350877193|0.680767543859649|0.6743421052631579
2023-05-11 12:20:31|algorithm1|2fold|musk|0.25999999999999995|{2, 66, 101, 134, 135, 108, 15, 80, 49, 53, 150, 88}|166|12|0.6929133858267716|165.2562713623047|[0.64583333 0.73684211 0.73684211 0.8        0.73684211]|[0.55208333 0.56842105 0.64210526 0.71578947 0.66315789]|[0.625      0.63157895 0.62105263 0.77894737 0.77894737]|0.7312719298245614|0.6283114035087719|0.6871052631578947
2023-05-11 12:23:01|algorithm1|2fold|musk|0.27999999999999997|{161, 2, 67, 134, 8, 12, 82, 54, 28, 29}|166|10|0.7532808398950132|149.39477920532227|[0.70833333 0.87368421 0.86315789 0.82105263 0.76842105]|[0.57291667 0.64210526 0.66315789 0.68421053 0.85263158]|[0.69791667 0.63157895 0.76842105 0.86315789 0.69473684]|0.8069298245614036|0.6830043859649122|0.7311622807017544
2023-05-11 12:25:52|algorithm1|2fold|musk|0.3|{161, 98, 67, 35, 75, 79, 48, 49, 20, 21, 150, 58, 59}|166|13|0.7244094488188977|170.27987003326416|[0.66666667 0.77894737 0.82105263 0.87368421 0.72631579]|[0.64583333 0.64210526 0.76842105 0.74736842 0.8       ]|[0.625      0.65263158 0.71578947 0.73684211 0.63157895]|0.7733333333333333|0.7207456140350876|0.6723684210526315
