结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 14:23:19|algorithm1|30noise|Sonar|0.02|{24, 50}|60|2|0.47596153846153844|9.14968490600586|[0.5952381  0.52380952 0.61904762 0.70731707 0.58536585]|[0.35714286 0.5        0.52380952 0.58536585 0.58536585]|[0.5952381  0.54761905 0.57142857 0.63414634 0.58536585]|0.6061556329849013|0.5103368176538908|0.5867595818815331
2023-05-07 14:23:27|algorithm1|30noise|Sonar|0.04|{32, 12}|60|2|0.5528846153846154|7.909013032913208|[0.57142857 0.64285714 0.64285714 0.6097561  0.70731707]|[0.47619048 0.64285714 0.69047619 0.43902439 0.85365854]|[0.47619048 0.64285714 0.57142857 0.63414634 0.65853659]|0.6348432055749129|0.6204413472706156|0.5966318234610918
2023-05-07 14:23:36|algorithm1|30noise|Sonar|0.06|{33, 15}|60|2|0.46634615384615385|8.57718539237976|[0.5952381  0.45238095 0.52380952 0.48780488 0.63414634]|[0.45238095 0.69047619 0.61904762 0.46341463 0.6097561 ]|[0.52380952 0.38095238 0.54761905 0.46341463 0.48780488]|0.5386759581881534|0.5670150987224158|0.4807200929152149
2023-05-07 14:23:47|algorithm1|30noise|Sonar|0.08|{33, 13, 53}|60|3|0.5192307692307693|11.382240295410156|[0.5952381  0.57142857 0.5        0.36585366 0.53658537]|[0.52380952 0.69047619 0.57142857 0.36585366 0.73170732]|[0.57142857 0.5952381  0.4047619  0.34146341 0.34146341]|0.5138211382113821|0.5766550522648084|0.4508710801393728
2023-05-07 14:23:58|algorithm1|30noise|Sonar|0.1|{34, 28, 22}|60|3|0.4855769230769231|10.732416152954102|[0.42857143 0.54761905 0.5        0.51219512 0.34146341]|[0.52380952 0.57142857 0.57142857 0.3902439  0.53658537]|[0.5        0.64285714 0.47619048 0.43902439 0.53658537]|0.4659698025551684|0.51869918699187|0.518931475029036
2023-05-07 14:24:09|algorithm1|30noise|Sonar|0.12000000000000001|{34, 44, 28}|60|3|0.47596153846153844|10.672026872634888|[0.64285714 0.5952381  0.5952381  0.6097561  0.68292683]|[0.66666667 0.57142857 0.64285714 0.63414634 0.63414634]|[0.52380952 0.54761905 0.42857143 0.58536585 0.51219512]|0.6252032520325204|0.629849012775842|0.5195121951219512
2023-05-07 14:24:22|algorithm1|30noise|Sonar|0.14|{32, 8, 19, 11}|60|4|0.5336538461538461|12.692346334457397|[0.64285714 0.57142857 0.71428571 0.73170732 0.90243902]|[0.5952381  0.61904762 0.64285714 0.68292683 0.87804878]|[0.66666667 0.5952381  0.76190476 0.82926829 0.92682927]|0.7125435540069687|0.683623693379791|0.7559814169570267
2023-05-07 14:24:36|algorithm1|30noise|Sonar|0.16|{0, 33, 53, 22, 58}|60|5|0.4567307692307692|14.027689456939697|[0.57142857 0.54761905 0.47619048 0.48780488 0.46341463]|[0.5952381  0.66666667 0.42857143 0.41463415 0.73170732]|[0.71428571 0.61904762 0.57142857 0.51219512 0.41463415]|0.5092915214866435|0.567363530778165|0.5663182346109175
2023-05-07 14:24:51|algorithm1|30noise|Sonar|0.18|{33, 7, 11, 46, 18}|60|5|0.46634615384615385|14.5867338180542|[0.64285714 0.52380952 0.64285714 0.75609756 0.82926829]|[0.5952381  0.61904762 0.69047619 0.80487805 0.82926829]|[0.5952381  0.66666667 0.61904762 0.7804878  0.75609756]|0.6789779326364693|0.7077816492450639|0.6835075493612079
2023-05-07 14:25:07|algorithm1|30noise|Sonar|0.19999999999999998|{35, 39, 20, 22, 58}|60|5|0.44711538461538464|15.30547308921814|[0.57142857 0.76190476 0.5        0.58536585 0.58536585]|[0.69047619 0.76190476 0.5        0.58536585 0.85365854]|[0.57142857 0.52380952 0.64285714 0.6097561  0.73170732]|0.6008130081300813|0.6782810685249709|0.615911730545877
