结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 17:36:42|algorithm1|30noise|data_banknote|0.02|{0, 1, 3}|4|3|0.49198250728862974|3.9241411685943604|[0.97454545 0.97090909 0.98540146 0.97445255 0.95985401]|[0.89090909 0.89818182 0.88321168 0.88686131 0.85036496]|[0.93818182 0.93090909 0.94525547 0.93065693 0.91240876]|0.9730325149303252|0.8819057730590577|0.9314824153948242
2023-05-07 17:36:46|algorithm1|30noise|data_banknote|0.04|{0, 1, 2, 3}|4|4|0.5269679300291545|3.900404453277588|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95620438 0.97445255]|0.998542800265428|0.9795912408759124|0.9744817518248174
2023-05-07 17:36:51|algorithm1|30noise|data_banknote|0.06|{0, 1, 2, 3}|4|4|0.33746355685131196|3.8531787395477295|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95620438 0.97445255]|0.998542800265428|0.9795912408759124|0.9744817518248174
2023-05-07 17:36:55|algorithm1|30noise|data_banknote|0.08|{0, 1, 2, 3}|4|4|0.17711370262390672|3.995439291000366|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95620438 0.97445255]|0.998542800265428|0.9795912408759124|0.9744817518248174
2023-05-07 17:36:59|algorithm1|30noise|data_banknote|0.1|{0, 1, 2, 3}|4|4|0.08163265306122448|4.188960552215576|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95620438 0.97445255]|0.998542800265428|0.9795912408759124|0.9744817518248174
2023-05-07 17:37:04|algorithm1|30noise|data_banknote|0.12000000000000001|{0, 1, 2, 3}|4|4|0.06924198250728864|4.232712030410767|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-07 17:37:08|algorithm1|30noise|data_banknote|0.14|{0, 1, 2, 3}|4|4|0.03644314868804665|4.271414756774902|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-07 17:37:12|algorithm1|30noise|data_banknote|0.16|{0}|4|1|0.0|3.2442305088043213|[0.82909091 0.83636364 0.83941606 0.86861314 0.80656934]|[0.82909091 0.86545455 0.82846715 0.88321168 0.82116788]|[0.83272727 0.85454545 0.83941606 0.87591241 0.80656934]|0.8360106171201063|0.8454784339747844|0.8418341074983411
2023-05-07 17:37:16|algorithm1|30noise|data_banknote|0.18|{0}|4|1|0.0|3.281048059463501|[0.82909091 0.83636364 0.83941606 0.86861314 0.80656934]|[0.82909091 0.86545455 0.82846715 0.88321168 0.82116788]|[0.83272727 0.85454545 0.83941606 0.87591241 0.80656934]|0.8360106171201063|0.8454784339747844|0.8418341074983411
2023-05-07 17:37:19|algorithm1|30noise|data_banknote|0.19999999999999998|{0}|4|1|0.0|3.265221357345581|[0.82909091 0.83636364 0.83941606 0.86861314 0.80656934]|[0.82909091 0.86545455 0.82846715 0.88321168 0.82116788]|[0.83272727 0.85454545 0.83941606 0.87591241 0.80656934]|0.8360106171201063|0.8454784339747844|0.8418341074983411
