结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 10:39:05|algorithm1|3fold|Glass|0.02|{2, 3, 5}|9|3|0.39766081871345027|2.246030330657959|[0.72093023 0.62790698 0.6744186  0.60465116 0.42857143]|[0.55813953 0.62790698 0.46511628 0.55813953 0.52380952]|[0.69767442 0.62790698 0.6744186  0.62790698 0.42857143]|0.6112956810631229|0.5466223698781838|0.6112956810631229
2023-05-11 10:39:08|algorithm1|3fold|Glass|0.04|{0, 2, 5, 6, 7}|9|5|0.5847953216374269|2.9274117946624756|[0.76744186 0.62790698 0.6744186  0.69767442 0.47619048]|[0.55813953 0.55813953 0.46511628 0.65116279 0.61904762]|[0.6744186  0.6744186  0.6744186  0.69767442 0.52380952]|0.6487264673311185|0.5703211517165006|0.6489479512735327
2023-05-11 10:39:11|algorithm1|3fold|Glass|0.06|{0, 2, 4, 5, 6, 7}|9|6|0.5730994152046783|3.4369959831237793|[0.76744186 0.62790698 0.69767442 0.62790698 0.54761905]|[0.55813953 0.55813953 0.46511628 0.44186047 0.54761905]|[0.6744186  0.69767442 0.62790698 0.69767442 0.47619048]|0.6537098560354375|0.5141749723145072|0.6347729789590255
2023-05-11 10:39:15|algorithm1|3fold|Glass|0.08|{0, 2, 3, 5, 6, 7, 8}|9|7|0.45614035087719296|3.2481045722961426|[0.58139535 0.60465116 0.58139535 0.6744186  0.52380952]|[0.65116279 0.6744186  0.51162791 0.48837209 0.47619048]|[0.6744186  0.55813953 0.6744186  0.69767442 0.64285714]|0.5931339977851605|0.5603543743078627|0.6495016611295681
2023-05-11 10:39:18|algorithm1|3fold|Glass|0.1|{0, 1, 2, 4, 5, 7, 8}|9|7|0.43859649122807015|3.2015135288238525|[0.65116279 0.51162791 0.60465116 0.62790698 0.42857143]|[0.51162791 0.53488372 0.41860465 0.53488372 0.5       ]|[0.53488372 0.65116279 0.65116279 0.6744186  0.5       ]|0.5647840531561461|0.5|0.6023255813953489
2023-05-11 10:39:21|algorithm1|3fold|Glass|0.12000000000000001|{0, 2, 3, 6, 7, 8}|9|6|0.30409356725146197|2.9695146083831787|[0.58139535 0.62790698 0.58139535 0.65116279 0.52380952]|[0.60465116 0.65116279 0.53488372 0.48837209 0.47619048]|[0.62790698 0.53488372 0.62790698 0.65116279 0.5       ]|0.5931339977851605|0.5510520487264674|0.5883720930232558
2023-05-11 10:39:24|algorithm1|3fold|Glass|0.14|{0, 2, 3, 4, 7, 8}|9|6|0.3684210526315789|2.996309757232666|[0.55813953 0.55813953 0.55813953 0.62790698 0.5       ]|[0.58139535 0.60465116 0.51162791 0.48837209 0.5       ]|[0.60465116 0.60465116 0.62790698 0.65116279 0.5       ]|0.5604651162790697|0.5372093023255814|0.5976744186046512
2023-05-11 10:39:27|algorithm1|3fold|Glass|0.16|{0, 1, 2, 3, 5, 7, 8}|9|7|0.3216374269005848|3.0659799575805664|[0.58139535 0.60465116 0.58139535 0.69767442 0.52380952]|[0.58139535 0.6744186  0.51162791 0.58139535 0.47619048]|[0.65116279 0.55813953 0.60465116 0.69767442 0.66666667]|0.5977851605758582|0.5650055370985604|0.6356589147286822
2023-05-11 10:39:31|algorithm1|3fold|Glass|0.18|{1, 2, 4, 5, 6, 7, 8}|9|7|0.3391812865497076|3.156158924102783|[0.65116279 0.60465116 0.60465116 0.58139535 0.33333333]|[0.51162791 0.51162791 0.39534884 0.51162791 0.42857143]|[0.51162791 0.62790698 0.6744186  0.60465116 0.47619048]|0.5550387596899224|0.47176079734219273|0.5789590254706534
2023-05-11 10:39:32|algorithm1|3fold|Glass|0.19999999999999998|{4, 7}|9|2|0.16374269005847952|1.5416181087493896|[0.62790698 0.46511628 0.44186047 0.51162791 0.45238095]|[0.41860465 0.46511628 0.39534884 0.39534884 0.42857143]|[0.58139535 0.46511628 0.44186047 0.46511628 0.35714286]|0.4997785160575859|0.4205980066445183|0.4621262458471761
