结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 10:41:47|algorithm1|3fold|PimaIndiansDiabetes|0.02|{0, 5, 30}|34|3|0.6832740213523132|7.488851070404053|[0.84507042 0.87142857 0.91428571 0.77142857 0.81428571]|[0.64788732 0.72857143 0.8        0.8        0.77142857]|[0.87323944 0.88571429 0.94285714 0.81428571 0.8       ]|0.8432997987927566|0.7495774647887323|0.8632193158953723
2023-05-11 10:41:55|algorithm1|3fold|PimaIndiansDiabetes|0.04|{0, 4, 5}|34|3|0.7473309608540926|8.00214695930481|[0.84507042 0.94285714 0.95714286 0.92857143 0.88571429]|[0.77464789 0.94285714 0.94285714 0.91428571 0.81428571]|[0.81690141 0.94285714 0.94285714 0.91428571 0.9       ]|0.9118712273641851|0.8777867203219316|0.9033802816901408
2023-05-11 10:42:03|algorithm1|3fold|PimaIndiansDiabetes|0.06|{8, 4, 5}|34|3|0.7615658362989324|7.849140644073486|[0.85915493 0.94285714 0.91428571 0.91428571 0.81428571]|[0.8028169  0.87142857 0.87142857 0.87142857 0.74285714]|[0.81690141 0.94285714 0.94285714 0.91428571 0.88571429]|0.88897384305835|0.8319919517102615|0.900523138832998
2023-05-11 10:42:11|algorithm1|3fold|PimaIndiansDiabetes|0.08|{4, 5, 30}|34|3|0.7473309608540926|7.490153789520264|[0.85915493 0.94285714 0.85714286 0.94285714 0.82857143]|[0.81690141 0.85714286 0.87142857 0.87142857 0.72857143]|[0.81690141 0.94285714 0.94285714 0.91428571 0.9       ]|0.8861167002012073|0.8290945674044264|0.9033802816901408
2023-05-11 10:42:18|algorithm1|3fold|PimaIndiansDiabetes|0.1|{8, 3, 4}|34|3|0.7935943060498221|7.777511835098267|[0.81690141 0.92857143 0.9        0.88571429 0.87142857]|[0.78873239 0.85714286 0.85714286 0.82857143 0.7       ]|[0.78873239 0.94285714 0.91428571 0.92857143 0.78571429]|0.8805231388329979|0.806317907444668|0.8720321931589536
2023-05-11 10:42:26|algorithm1|3fold|PimaIndiansDiabetes|0.12000000000000001|{4, 13, 23}|34|3|0.8291814946619217|7.793395519256592|[0.85915493 0.92857143 0.9        0.84285714 0.75714286]|[0.77464789 0.87142857 0.84285714 0.85714286 0.71428571]|[0.81690141 0.97142857 0.9        0.91428571 0.9       ]|0.8575452716297786|0.8120724346076459|0.900523138832998
2023-05-11 10:42:36|algorithm1|3fold|PimaIndiansDiabetes|0.14|{9, 4, 23, 33}|34|4|0.7615658362989324|9.438265562057495|[0.84507042 0.9        0.88571429 0.9        0.8       ]|[0.78873239 0.87142857 0.84285714 0.87142857 0.72857143]|[0.8028169  0.95714286 0.9        0.74285714 0.92857143]|0.8661569416498993|0.8206036217303823|0.8662776659959759
2023-05-11 10:42:45|algorithm1|3fold|PimaIndiansDiabetes|0.16|{5, 27, 4, 28}|34|4|0.7722419928825622|8.456636905670166|[0.84507042 0.94285714 0.9        0.87142857 0.84285714]|[0.81690141 0.85714286 0.88571429 0.88571429 0.75714286]|[0.81690141 0.94285714 0.94285714 0.9        0.87142857]|0.8804426559356135|0.840523138832998|0.8948088531187123
2023-05-11 10:42:53|algorithm1|3fold|PimaIndiansDiabetes|0.18|{29, 27, 4, 28}|34|4|0.7900355871886121|8.510762453079224|[0.81690141 0.9        0.91428571 0.88571429 0.8       ]|[0.81690141 0.87142857 0.85714286 0.85714286 0.68571429]|[0.84507042 0.94285714 0.87142857 0.87142857 0.87142857]|0.8633802816901408|0.8176659959758551|0.8804426559356138
2023-05-11 10:43:03|algorithm1|3fold|PimaIndiansDiabetes|0.19999999999999998|{18, 4, 23, 31}|34|4|0.7544483985765125|9.038301944732666|[0.84507042 0.82857143 0.84285714 0.78571429 0.75714286]|[0.81690141 0.85714286 0.85714286 0.87142857 0.72857143]|[0.8028169  0.94285714 0.91428571 0.84285714 0.85714286]|0.811871227364185|0.8262374245472837|0.8719919517102616
2023-05-11 10:43:13|algorithm1|3fold|PimaIndiansDiabetes|0.21999999999999997|{4, 18, 23, 26, 31}|34|5|0.7295373665480427|9.969759941101074|[0.84507042 0.85714286 0.88571429 0.77142857 0.74285714]|[0.8028169  0.81428571 0.85714286 0.84285714 0.77142857]|[0.85915493 0.9        0.87142857 0.91428571 0.88571429]|0.8204426559356136|0.8177062374245473|0.8861167002012073
2023-05-11 10:43:24|algorithm1|3fold|PimaIndiansDiabetes|0.23999999999999996|{0, 4, 18, 19, 23, 26}|34|6|0.7295373665480427|10.94653868675232|[0.8028169  0.87142857 0.95714286 0.85714286 0.78571429]|[0.74647887 0.81428571 0.94285714 0.9        0.82857143]|[0.78873239 0.92857143 0.92857143 0.88571429 0.85714286]|0.8548490945674045|0.8464386317907445|0.8777464788732395
2023-05-11 10:43:35|algorithm1|3fold|PimaIndiansDiabetes|0.25999999999999995|{0, 4, 10, 21, 26, 29, 31}|34|7|0.5836298932384342|11.309525489807129|[0.73239437 0.84285714 0.92857143 0.91428571 0.84285714]|[0.77464789 0.88571429 0.95714286 0.87142857 0.85714286]|[0.8028169  0.91428571 0.92857143 0.87142857 0.82857143]|0.8521931589537223|0.869215291750503|0.8691348088531188
2023-05-11 10:43:48|algorithm1|3fold|PimaIndiansDiabetes|0.27999999999999997|{0, 4, 11, 13, 15, 26, 29}|34|7|0.6334519572953736|12.199301958084106|[0.71830986 0.88571429 0.91428571 0.87142857 0.8       ]|[0.77464789 0.88571429 0.94285714 0.9        0.82857143]|[0.78873239 0.94285714 0.9        0.77142857 0.85714286]|0.8379476861167001|0.8663581488933602|0.8520321931589537
2023-05-11 10:44:00|algorithm1|3fold|PimaIndiansDiabetes|0.3|{0, 33, 3, 4, 18, 19, 22}|34|7|0.6512455516014235|11.510619401931763|[0.76056338 0.92857143 0.94285714 0.9        0.84285714]|[0.78873239 0.9        0.92857143 0.9        0.81428571]|[0.78873239 0.91428571 0.92857143 0.88571429 0.88571429]|0.8749698189134809|0.866317907444668|0.8806036217303823
2023-05-11 10:44:11|algorithm1|3fold|PimaIndiansDiabetes|0.32|{0, 4, 5, 18, 19, 24, 27}|34|7|0.6156583629893239|11.797078609466553|[0.78873239 0.85714286 0.92857143 0.82857143 0.81428571]|[0.83098592 0.94285714 0.95714286 0.88571429 0.81428571]|[0.8028169  0.94285714 0.94285714 0.91428571 0.85714286]|0.8434607645875252|0.8861971830985915|0.8919919517102615
2023-05-11 10:44:23|algorithm1|3fold|PimaIndiansDiabetes|0.34|{0, 4, 7, 12, 21, 23, 24}|34|7|0.6120996441281139|11.399173974990845|[0.84507042 0.92857143 0.9        0.9        0.84285714]|[0.83098592 0.94285714 0.92857143 0.9        0.81428571]|[0.77464789 0.94285714 0.92857143 0.88571429 0.9       ]|0.8832997987927564|0.8833400402414486|0.8863581488933601
2023-05-11 10:44:35|algorithm1|3fold|PimaIndiansDiabetes|0.36000000000000004|{0, 4, 10, 11, 17, 29}|34|6|0.48398576512455516|11.87814712524414|[0.76056338 0.88571429 0.94285714 0.9        0.82857143]|[0.77464789 0.94285714 0.95714286 0.9        0.84285714]|[0.83098592 0.95714286 0.94285714 0.81428571 0.9       ]|0.8635412474849093|0.8835010060362173|0.8890543259557344
2023-05-11 10:44:46|algorithm1|3fold|PimaIndiansDiabetes|0.38000000000000006|{0, 33, 4, 12, 21, 22}|34|6|0.5088967971530249|10.748178482055664|[0.83098592 0.94285714 0.91428571 0.9        0.8       ]|[0.8028169  0.88571429 0.95714286 0.87142857 0.84285714]|[0.76056338 0.94285714 0.91428571 0.87142857 0.88571429]|0.877625754527163|0.8719919517102616|0.8749698189134808
2023-05-11 10:44:56|algorithm1|3fold|PimaIndiansDiabetes|0.4000000000000001|{0, 18, 4, 31}|34|4|0.398576512455516|9.61887526512146|[0.77464789 0.94285714 0.88571429 0.82857143 0.85714286]|[0.78873239 0.81428571 0.95714286 0.91428571 0.84285714]|[0.78873239 0.94285714 0.9        0.85714286 0.85714286]|0.8577867203219316|0.8634607645875251|0.8691750503018107
