结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 12:59:21|algorithm1|3fold|german|0.02|{4, 7, 10, 11, 13}|20|5|0.40625|11.331901788711548|[0.68  0.715 0.705 0.685 0.69 ]|[0.7 0.7 0.7 0.7 0.7]|[0.705 0.7   0.71  0.64  0.69 ]|0.6950000000000001|0.7|0.689
2023-05-11 12:59:32|algorithm1|3fold|german|0.04|{3, 7, 10, 11, 13}|20|5|0.47|11.165944337844849|[0.68  0.7   0.705 0.705 0.67 ]|[0.7 0.7 0.7 0.7 0.7]|[0.685 0.705 0.695 0.665 0.655]|0.692|0.7|0.681
2023-05-11 12:59:44|algorithm1|3fold|german|0.06|{3, 7, 10, 11, 13}|20|5|0.47|11.280991554260254|[0.68  0.7   0.705 0.705 0.67 ]|[0.7 0.7 0.7 0.7 0.7]|[0.69  0.705 0.695 0.67  0.655]|0.692|0.7|0.683
2023-05-11 12:59:56|algorithm1|3fold|german|0.08|{3, 7, 10, 11, 13}|20|5|0.47|11.42647910118103|[0.68  0.7   0.705 0.705 0.67 ]|[0.7 0.7 0.7 0.7 0.7]|[0.685 0.71  0.695 0.665 0.655]|0.692|0.7|0.682
2023-05-11 13:00:07|algorithm1|3fold|german|0.1|{3, 7, 10, 11, 13}|20|5|0.47|11.394252300262451|[0.68  0.7   0.705 0.705 0.67 ]|[0.7 0.7 0.7 0.7 0.7]|[0.685 0.705 0.695 0.67  0.655]|0.692|0.7|0.682
2023-05-11 13:00:19|algorithm1|3fold|german|0.12000000000000001|{0, 7, 10, 11, 15, 18}|20|6|0.5|11.717603921890259|[0.69  0.67  0.715 0.71  0.695]|[0.7 0.7 0.7 0.7 0.7]|[0.645 0.725 0.735 0.74  0.63 ]|0.696|0.7|0.695
2023-05-11 13:00:36|algorithm1|3fold|german|0.14|{0, 4, 7, 10, 11, 15, 18}|20|7|0.4325|16.205188512802124|[0.705 0.705 0.74  0.725 0.705]|[0.7 0.7 0.7 0.7 0.7]|[0.66  0.705 0.705 0.7   0.675]|0.716|0.7|0.6889999999999998
2023-05-11 13:00:48|algorithm1|3fold|german|0.16|{0, 7, 10, 11, 15, 18}|20|6|0.5|11.61484146118164|[0.69  0.67  0.715 0.71  0.695]|[0.7 0.7 0.7 0.7 0.7]|[0.645 0.725 0.735 0.74  0.63 ]|0.696|0.7|0.695
2023-05-11 13:01:00|algorithm1|3fold|german|0.18|{0, 7, 10, 11, 15, 18}|20|6|0.5|11.988247156143188|[0.69  0.67  0.715 0.71  0.695]|[0.7 0.7 0.7 0.7 0.7]|[0.645 0.725 0.735 0.74  0.63 ]|0.696|0.7|0.695
2023-05-11 13:01:12|algorithm1|3fold|german|0.19999999999999998|{0, 7, 10, 11, 15, 18}|20|6|0.5|11.978113412857056|[0.69  0.67  0.715 0.71  0.695]|[0.7 0.7 0.7 0.7 0.7]|[0.645 0.725 0.735 0.74  0.635]|0.696|0.7|0.696
2023-05-11 13:01:24|algorithm1|3fold|german|0.21999999999999997|{0, 7, 10, 11, 15, 18}|20|6|0.5|11.733785629272461|[0.69  0.67  0.715 0.71  0.695]|[0.7 0.7 0.7 0.7 0.7]|[0.645 0.725 0.735 0.74  0.63 ]|0.696|0.7|0.695
2023-05-11 13:01:37|algorithm1|3fold|german|0.23999999999999996|{0, 7, 10, 11, 15, 18}|20|6|0.5|11.878288745880127|[0.69  0.67  0.715 0.71  0.695]|[0.7 0.7 0.7 0.7 0.7]|[0.645 0.725 0.735 0.74  0.63 ]|0.696|0.7|0.695
2023-05-11 13:01:49|algorithm1|3fold|german|0.25999999999999995|{0, 7, 10, 11, 15, 18}|20|6|0.5|12.151596546173096|[0.69  0.67  0.715 0.71  0.695]|[0.7 0.7 0.7 0.7 0.7]|[0.645 0.725 0.735 0.74  0.63 ]|0.696|0.7|0.695
2023-05-11 13:02:02|algorithm1|3fold|german|0.27999999999999997|{0, 7, 10, 11, 15, 18}|20|6|0.5|12.046219110488892|[0.69  0.67  0.715 0.71  0.695]|[0.7 0.7 0.7 0.7 0.7]|[0.645 0.725 0.735 0.74  0.63 ]|0.696|0.7|0.695
2023-05-11 13:02:13|algorithm1|3fold|german|0.3|{0, 7, 10, 11, 15, 18}|20|6|0.5|11.42108941078186|[0.69  0.67  0.715 0.71  0.695]|[0.7 0.7 0.7 0.7 0.7]|[0.645 0.725 0.735 0.74  0.63 ]|0.696|0.7|0.695
