结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 10:29:31|algorithm1|4fold|fertility_Diagnosis|0.02|{1, 2}|9|2|0.7125|0.4401252269744873|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.8  0.9  0.9  0.8  0.85]|0.8800000000000001|0.8800000000000001|0.85
2023-05-11 10:29:32|algorithm1|4fold|fertility_Diagnosis|0.04|{1}|9|1|0.675|0.38190507888793945|[0.75 0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.8  0.85]|0.85|0.8800000000000001|0.8699999999999999
2023-05-11 10:29:32|algorithm1|4fold|fertility_Diagnosis|0.06|{1}|9|1|0.675|0.3311033248901367|[0.75 0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.8  0.85]|0.85|0.8800000000000001|0.8699999999999999
2023-05-11 10:29:33|algorithm1|4fold|fertility_Diagnosis|0.08|{1, 4, 6}|9|3|0.7875|0.5599586963653564|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.8  0.9  0.95 0.7  0.85]|0.8800000000000001|0.8800000000000001|0.8400000000000001
2023-05-11 10:29:34|algorithm1|4fold|fertility_Diagnosis|0.1|{1, 4, 5}|9|3|0.775|0.552548885345459|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.75 0.8  0.55 0.85]|0.8800000000000001|0.8800000000000001|0.74
2023-05-11 10:29:35|algorithm1|4fold|fertility_Diagnosis|0.12000000000000001|{1, 4, 5}|9|3|0.775|0.5274946689605713|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.75 0.8  0.6  0.85]|0.8800000000000001|0.8800000000000001|0.75
2023-05-11 10:29:35|algorithm1|4fold|fertility_Diagnosis|0.14|{1, 6}|9|2|0.6875|0.3091461658477783|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.85 0.9  0.95 0.9  0.85]|0.8800000000000001|0.8800000000000001|0.89
2023-05-11 10:29:35|algorithm1|4fold|fertility_Diagnosis|0.16|{1, 6}|9|2|0.6625|0.2750823497772217|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.85 0.9  0.95 0.85 0.85]|0.8800000000000001|0.8800000000000001|0.8800000000000001
2023-05-11 10:29:36|algorithm1|4fold|fertility_Diagnosis|0.18|{1, 6}|9|2|0.6625|0.3867068290710449|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.85 0.9  0.95 0.9  0.85]|0.8800000000000001|0.8800000000000001|0.89
2023-05-11 10:29:36|algorithm1|4fold|fertility_Diagnosis|0.19999999999999998|{1, 3, 4, 5}|9|4|0.7625|0.35474419593811035|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.8  0.85 0.8  0.75 0.75]|0.8800000000000001|0.8800000000000001|0.79
2023-05-11 10:29:37|algorithm1|4fold|fertility_Diagnosis|0.21999999999999997|{1, 3, 4, 5}|9|4|0.7625|0.6117267608642578|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.8  0.85 0.8  0.75 0.75]|0.8800000000000001|0.8800000000000001|0.79
2023-05-11 10:29:37|algorithm1|4fold|fertility_Diagnosis|0.23999999999999996|{1, 5}|9|2|0.6125|0.21920061111450195|[0.85 0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.9  0.85 0.75 0.85]|0.8699999999999999|0.8800000000000001|0.82
2023-05-11 10:29:38|algorithm1|4fold|fertility_Diagnosis|0.25999999999999995|{1, 5}|9|2|0.65|0.24825167655944824|[0.85 0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.9  0.85 0.8  0.85]|0.8699999999999999|0.8800000000000001|0.8299999999999998
2023-05-11 10:29:38|algorithm1|4fold|fertility_Diagnosis|0.27999999999999997|{1, 5}|9|2|0.65|0.39673709869384766|[0.85 0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.9  0.85 0.8  0.85]|0.8699999999999999|0.8800000000000001|0.8299999999999998
2023-05-11 10:29:38|algorithm1|4fold|fertility_Diagnosis|0.3|{1}|9|1|0.5875|0.21028780937194824|[0.75 0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.8  0.85]|0.85|0.8800000000000001|0.8699999999999999
2023-05-11 10:29:39|algorithm1|4fold|fertility_Diagnosis|0.32|{8, 1, 4, 6}|9|4|0.7375|0.3528144359588623|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.8  0.9  0.8  0.85]|0.8800000000000001|0.8800000000000001|0.82
2023-05-11 10:29:39|algorithm1|4fold|fertility_Diagnosis|0.34|{1, 4}|9|2|0.525|0.3188352584838867|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.8  0.75 0.9  0.6  0.85]|0.8800000000000001|0.8800000000000001|0.78
2023-05-11 10:29:40|algorithm1|4fold|fertility_Diagnosis|0.36000000000000004|{8, 3, 4, 5}|9|4|0.7|0.3977813720703125|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.7  0.9  0.9  0.8  0.75]|0.8800000000000001|0.8800000000000001|0.8099999999999999
2023-05-11 10:29:40|algorithm1|4fold|fertility_Diagnosis|0.38000000000000006|{8, 3, 4, 5}|9|4|0.7|0.4021484851837158|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.7  0.9  0.9  0.8  0.75]|0.8800000000000001|0.8800000000000001|0.8099999999999999
2023-05-11 10:29:41|algorithm1|4fold|fertility_Diagnosis|0.4000000000000001|{8}|9|1|0.2125|0.21945476531982422|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.85 0.9  0.85 0.85]|0.8800000000000001|0.8800000000000001|0.8400000000000001
