结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 16:01:42|algorithm1|5fold|plrx|0.02|{4}|12|1|0.863013698630137|0.460554838180542|[0.7027027  0.72972973 0.72222222 0.69444444 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.67567568 0.72972973 0.63888889 0.58333333 0.72222222]|0.7142642642642644|0.7144144144144144|0.6699699699699699
2023-05-11 16:01:42|algorithm1|5fold|plrx|0.04|{4}|12|1|0.6917808219178082|0.4249095916748047|[0.7027027  0.72972973 0.72222222 0.69444444 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.67567568 0.72972973 0.63888889 0.58333333 0.72222222]|0.7142642642642644|0.7144144144144144|0.6699699699699699
2023-05-11 16:01:43|algorithm1|5fold|plrx|0.06|{8, 4}|12|2|0.7876712328767124|0.6475255489349365|[0.7027027  0.64864865 0.72222222 0.63888889 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.7027027  0.67567568 0.63888889 0.5        0.72222222]|0.6869369369369369|0.7144144144144144|0.647897897897898
2023-05-11 16:01:43|algorithm1|5fold|plrx|0.08|{1, 2}|12|2|0.7397260273972602|0.4365262985229492|[0.64864865 0.64864865 0.69444444 0.69444444 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.7027027  0.62162162 0.72222222 0.55555556 0.72222222]|0.6816816816816818|0.7144144144144144|0.664864864864865
2023-05-11 16:01:44|algorithm1|5fold|plrx|0.1|{1, 6}|12|2|0.726027397260274|0.4273514747619629|[0.62162162 0.64864865 0.72222222 0.75       0.66666667]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.7027027  0.67567568 0.66666667 0.69444444 0.69444444]|0.6818318318318318|0.7144144144144144|0.6867867867867868
2023-05-11 16:01:45|algorithm1|5fold|plrx|0.12000000000000001|{1, 2, 6}|12|3|0.7465753424657534|0.6953721046447754|[0.64864865 0.67567568 0.69444444 0.66666667 0.75      ]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.62162162 0.64864865 0.63888889 0.55555556 0.69444444]|0.6870870870870871|0.7144144144144144|0.6318318318318319
2023-05-11 16:01:45|algorithm1|5fold|plrx|0.14|{8, 1, 2}|12|3|0.8013698630136986|0.6080343723297119|[0.67567568 0.7027027  0.72222222 0.72222222 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.7027027  0.7027027  0.63888889 0.55555556 0.66666667]|0.7090090090090091|0.7144144144144144|0.6533033033033033
2023-05-11 16:01:46|algorithm1|5fold|plrx|0.16|{8, 1, 2}|12|3|0.7397260273972602|0.4276301860809326|[0.67567568 0.7027027  0.72222222 0.72222222 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.7027027  0.7027027  0.63888889 0.55555556 0.66666667]|0.7090090090090091|0.7144144144144144|0.6533033033033033
2023-05-11 16:01:46|algorithm1|5fold|plrx|0.18|{8, 1, 7}|12|3|0.7397260273972602|0.4358682632446289|[0.75675676 0.7027027  0.69444444 0.69444444 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.67567568 0.54054054 0.72222222 0.66666667 0.72222222]|0.7141141141141143|0.7144144144144144|0.6654654654654655
2023-05-11 16:01:47|algorithm1|5fold|plrx|0.19999999999999998|{1, 2, 7}|12|3|0.7534246575342466|0.5344088077545166|[0.7027027  0.7027027  0.66666667 0.72222222 0.69444444]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.7027027  0.62162162 0.55555556 0.66666667 0.72222222]|0.6977477477477478|0.7144144144144144|0.6537537537537538
2023-05-11 16:01:48|algorithm1|5fold|plrx|0.21999999999999997|{1, 2, 6, 7}|12|4|0.7054794520547946|1.1157023906707764|[0.64864865 0.64864865 0.69444444 0.72222222 0.75      ]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.62162162 0.43243243 0.47222222 0.66666667 0.63888889]|0.6927927927927928|0.7144144144144144|0.5663663663663663
2023-05-11 16:01:49|algorithm1|5fold|plrx|0.23999999999999996|{1, 2, 9, 7}|12|4|0.7328767123287672|0.6933765411376953|[0.67567568 0.7027027  0.63888889 0.69444444 0.69444444]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.67567568 0.7027027  0.55555556 0.66666667 0.72222222]|0.6812312312312313|0.7144144144144144|0.6645645645645646
2023-05-11 16:01:50|algorithm1|5fold|plrx|0.25999999999999995|{1, 2, 9, 7}|12|4|0.7945205479452054|0.6993522644042969|[0.67567568 0.7027027  0.63888889 0.69444444 0.69444444]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.64864865 0.7027027  0.55555556 0.66666667 0.69444444]|0.6812312312312313|0.7144144144144144|0.6536036036036036
2023-05-11 16:01:51|algorithm1|5fold|plrx|0.27999999999999997|{1, 2, 7, 8, 9}|12|5|0.8287671232876712|0.9352560043334961|[0.7027027  0.67567568 0.63888889 0.72222222 0.69444444]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.64864865 0.7027027  0.61111111 0.66666667 0.72222222]|0.6867867867867868|0.7144144144144144|0.6702702702702703
2023-05-11 16:01:52|algorithm1|5fold|plrx|0.3|{1, 3, 4, 7, 9, 10}|12|6|0.7876712328767124|1.1270678043365479|[0.7027027  0.7027027  0.69444444 0.72222222 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.56756757 0.7027027  0.52777778 0.58333333 0.63888889]|0.7088588588588589|0.7144144144144144|0.604054054054054
2023-05-11 16:01:53|algorithm1|5fold|plrx|0.32|{1, 2, 3, 7, 9, 10}|12|6|0.773972602739726|0.9567933082580566|[0.72972973 0.7027027  0.69444444 0.72222222 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.56756757 0.78378378 0.52777778 0.66666667 0.63888889]|0.7142642642642644|0.7144144144144144|0.6369369369369369
2023-05-11 16:01:54|algorithm1|5fold|plrx|0.34|{0, 1, 4, 6, 7, 10, 11}|12|7|0.7465753424657534|1.0214715003967285|[0.64864865 0.67567568 0.69444444 0.66666667 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.62162162 0.56756757 0.55555556 0.44444444 0.72222222]|0.6815315315315316|0.7144144144144144|0.5822822822822823
2023-05-11 16:01:55|algorithm1|5fold|plrx|0.36000000000000004|{1, 4, 7, 9, 11}|12|5|0.7808219178082192|0.7135300636291504|[0.67567568 0.7027027  0.66666667 0.72222222 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.7027027  0.67567568 0.55555556 0.52777778 0.72222222]|0.6978978978978979|0.7144144144144144|0.6367867867867869
2023-05-11 16:01:55|algorithm1|5fold|plrx|0.38000000000000006|{0, 1, 4, 9, 10}|12|5|0.5821917808219178|0.7423615455627441|[0.7027027  0.7027027  0.69444444 0.72222222 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.67567568 0.54054054 0.47222222 0.58333333 0.66666667]|0.7088588588588589|0.7144144144144144|0.5876876876876878
2023-05-11 16:01:57|algorithm1|5fold|plrx|0.4000000000000001|{0, 5, 7}|12|3|0.3424657534246575|0.8782675266265869|[0.59459459 0.64864865 0.72222222 0.72222222 0.69444444]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.62162162 0.40540541 0.69444444 0.63888889 0.69444444]|0.6764264264264265|0.7144144144144144|0.610960960960961
