结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 17:09:29|algorithm1|ori|BreastCancer|0.02|{0, 1}|9|2|0.8798283261802575|2.3169288635253906|[0.93571429 0.95714286 0.92857143 0.95714286 0.94244604]|[0.94285714 0.93571429 0.91428571 0.95714286 0.94244604]|[0.93571429 0.95714286 0.9        0.95714286 0.94244604]|0.9442034943473793|0.9384892086330936|0.9384892086330936
2023-05-07 17:09:31|algorithm1|ori|BreastCancer|0.04|{0, 1}|9|2|0.8798283261802575|2.262420415878296|[0.93571429 0.95714286 0.92857143 0.95714286 0.94244604]|[0.94285714 0.93571429 0.91428571 0.95714286 0.94244604]|[0.93571429 0.95714286 0.9        0.95714286 0.94244604]|0.9442034943473793|0.9384892086330936|0.9384892086330936
2023-05-07 17:09:34|algorithm1|ori|BreastCancer|0.06|{0, 1}|9|2|0.8798283261802575|2.168062925338745|[0.93571429 0.95714286 0.92857143 0.95714286 0.94244604]|[0.94285714 0.93571429 0.91428571 0.95714286 0.94244604]|[0.93571429 0.95714286 0.9        0.95714286 0.94244604]|0.9442034943473793|0.9384892086330936|0.9384892086330936
2023-05-07 17:09:36|algorithm1|ori|BreastCancer|0.08|{0, 1}|9|2|0.8798283261802575|2.2569987773895264|[0.93571429 0.95714286 0.92857143 0.95714286 0.94244604]|[0.94285714 0.93571429 0.91428571 0.95714286 0.94244604]|[0.93571429 0.95714286 0.9        0.95714286 0.94244604]|0.9442034943473793|0.9384892086330936|0.9384892086330936
2023-05-07 17:09:38|algorithm1|ori|BreastCancer|0.1|{0, 1}|9|2|0.8798283261802575|2.168253183364868|[0.93571429 0.95714286 0.92857143 0.95714286 0.94244604]|[0.94285714 0.93571429 0.91428571 0.95714286 0.94244604]|[0.93571429 0.95714286 0.9        0.95714286 0.94244604]|0.9442034943473793|0.9384892086330936|0.9384892086330936
2023-05-07 17:09:42|algorithm1|ori|BreastCancer|0.12000000000000001|{0, 6}|9|2|0.776824034334764|3.3420732021331787|[0.96428571 0.92857143 0.9        0.92142857 0.96402878]|[0.97857143 0.94285714 0.9        0.92857143 0.94244604]|[0.92857143 0.93571429 0.92142857 0.92857143 0.94964029]|0.9356628982528262|0.9384892086330936|0.9327852004110998
2023-05-07 17:09:46|algorithm1|ori|BreastCancer|0.14|{0, 6}|9|2|0.776824034334764|3.398862600326538|[0.96428571 0.92857143 0.9        0.92142857 0.96402878]|[0.97857143 0.94285714 0.9        0.92857143 0.94244604]|[0.92857143 0.93571429 0.91428571 0.92857143 0.94964029]|0.9356628982528262|0.9384892086330936|0.9313566289825284
2023-05-07 17:09:52|algorithm1|ori|BreastCancer|0.16|{0, 8, 2, 5}|9|4|0.8884120171673819|6.455493927001953|[0.95714286 0.97857143 0.92857143 0.95       0.97841727]|[0.95714286 0.98571429 0.94285714 0.95714286 0.97841727]|[0.91428571 0.97142857 0.94285714 0.92142857 0.94964029]|0.9585405960945529|0.9642548818088388|0.9399280575539567
2023-05-07 17:09:58|algorithm1|ori|BreastCancer|0.18|{0, 8, 2, 5}|9|4|0.8884120171673819|5.7363433837890625|[0.95714286 0.97857143 0.92857143 0.95       0.97841727]|[0.95714286 0.98571429 0.94285714 0.95714286 0.97841727]|[0.92857143 0.97142857 0.94285714 0.92142857 0.94964029]|0.9585405960945529|0.9642548818088388|0.9427852004110996
2023-05-07 17:10:04|algorithm1|ori|BreastCancer|0.19999999999999998|{0, 8, 2, 5}|9|4|0.899856938483548|5.8498148918151855|[0.95714286 0.97857143 0.92857143 0.95       0.97841727]|[0.95714286 0.98571429 0.94285714 0.95714286 0.97841727]|[0.91428571 0.97142857 0.94285714 0.92142857 0.94964029]|0.9585405960945529|0.9642548818088388|0.9399280575539567
2023-05-07 17:10:10|algorithm1|ori|BreastCancer|0.21999999999999997|{0, 8, 2, 5}|9|4|0.899856938483548|5.514132261276245|[0.95714286 0.97857143 0.92857143 0.95       0.97841727]|[0.95714286 0.98571429 0.94285714 0.95714286 0.97841727]|[0.92857143 0.97142857 0.94285714 0.92142857 0.94964029]|0.9585405960945529|0.9642548818088388|0.9427852004110996
2023-05-07 17:10:14|algorithm1|ori|BreastCancer|0.23999999999999996|{0, 8, 2, 6}|9|4|0.882689556509299|4.332995414733887|[0.96428571 0.97857143 0.92857143 0.94285714 0.96402878]|[0.97142857 0.97142857 0.94285714 0.93571429 0.97122302]|[0.95       0.95       0.92142857 0.93571429 0.96402878]|0.9556628982528264|0.958530318602261|0.9442343268242549
2023-05-07 17:10:20|algorithm1|ori|BreastCancer|0.25999999999999995|{0, 2, 5, 6, 8}|9|5|0.8884120171673819|5.444700717926025|[0.95714286 0.99285714 0.93571429 0.94285714 0.97122302]|[0.97142857 0.98571429 0.95       0.95       0.97122302]|[0.92857143 0.97142857 0.94285714 0.93571429 0.95683453]|0.9599588900308327|0.9656731757451184|0.9470811921891059
2023-05-07 17:10:25|algorithm1|ori|BreastCancer|0.27999999999999997|{0, 2, 5, 6, 8}|9|5|0.8984263233190272|5.268325567245483|[0.95714286 0.99285714 0.93571429 0.94285714 0.97122302]|[0.97142857 0.98571429 0.95       0.95       0.97122302]|[0.91428571 0.97142857 0.92857143 0.92857143 0.95683453]|0.9599588900308327|0.9656731757451184|0.9399383350462488
2023-05-07 17:10:31|algorithm1|ori|BreastCancer|0.3|{0, 3, 5, 6, 8}|9|5|0.9084406294706724|5.442614555358887|[0.95       0.97142857 0.93571429 0.94285714 0.97841727]|[0.96428571 0.97142857 0.94285714 0.94285714 0.97841727]|[0.92857143 0.95714286 0.93571429 0.94285714 0.96402878]|0.9556834532374101|0.9599691675231243|0.9456628982528263
2023-05-07 17:10:36|algorithm1|ori|BreastCancer|0.32|{0, 3, 5, 6, 8}|9|5|0.9170243204577968|5.403611660003662|[0.95       0.97142857 0.93571429 0.94285714 0.97841727]|[0.96428571 0.97142857 0.94285714 0.94285714 0.97841727]|[0.93571429 0.95714286 0.93571429 0.95       0.96402878]|0.9556834532374101|0.9599691675231243|0.9485200411099692
