结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 17:14:23|algorithm1|ori|College|0.02|{5, 7}|17|2|0.803088803088803|7.285792589187622|[0.96794872 0.92948718 0.91612903 0.9483871  0.90967742]|[0.96794872 0.92307692 0.92903226 0.92903226 0.90967742]|[0.94871795 0.89102564 0.90322581 0.92258065 0.92258065]|0.9343258891645988|0.9317535153019024|0.9176261373035567
2023-05-07 17:14:31|algorithm1|ori|College|0.04|{5, 7}|17|2|0.8236808236808236|7.779937505722046|[0.96794872 0.92948718 0.91612903 0.9483871  0.90967742]|[0.96794872 0.92307692 0.92903226 0.92903226 0.90967742]|[0.94871795 0.88461538 0.90322581 0.92258065 0.92258065]|0.9343258891645988|0.9317535153019024|0.9163440860215054
2023-05-07 17:14:40|algorithm1|ori|College|0.06|{11, 5, 7}|17|3|0.8442728442728443|8.846874475479126|[0.96153846 0.91025641 0.93548387 0.92903226 0.94193548]|[0.96153846 0.92307692 0.94193548 0.9483871  0.9483871 ]|[0.93589744 0.8974359  0.89677419 0.92258065 0.94193548]|0.9356492969396196|0.9446650124069478|0.9189247311827959
2023-05-07 17:14:49|algorithm1|ori|College|0.08|{2, 12, 7}|17|3|0.8494208494208494|8.973978281021118|[0.92307692 0.88461538 0.92258065 0.91612903 0.92258065]|[0.93589744 0.91025641 0.93548387 0.92903226 0.92258065]|[0.94230769 0.87179487 0.89677419 0.92903226 0.89677419]|0.9137965260545906|0.926650124069479|0.9073366418527709
2023-05-07 17:14:59|algorithm1|ori|College|0.1|{11, 5, 7}|17|3|0.87001287001287|9.11940050125122|[0.96153846 0.91025641 0.93548387 0.92903226 0.94193548]|[0.96153846 0.92307692 0.94193548 0.9483871  0.9483871 ]|[0.93589744 0.90384615 0.90322581 0.92258065 0.94193548]|0.9356492969396196|0.9446650124069478|0.9214971050454921
2023-05-07 17:15:09|algorithm1|ori|College|0.12000000000000001|{2, 3, 12, 7}|17|4|0.8558558558558559|10.090567827224731|[0.93589744 0.90384615 0.92258065 0.91612903 0.91612903]|[0.93589744 0.91666667 0.93548387 0.92903226 0.92258065]|[0.94230769 0.91666667 0.90967742 0.93548387 0.89032258]|0.9189164598842018|0.9279321753515303|0.9188916459884202
2023-05-07 17:15:20|algorithm1|ori|College|0.14|{3, 11, 5, 7}|17|4|0.8906048906048906|10.752609014511108|[0.94871795 0.91025641 0.93548387 0.93548387 0.92258065]|[0.96794872 0.91666667 0.95483871 0.94193548 0.93548387]|[0.95512821 0.89102564 0.90967742 0.90967742 0.94193548]|0.9305045492142267|0.9433746898263026|0.9214888337468983
2023-05-07 17:15:33|algorithm1|ori|College|0.16|{3, 5, 7, 11, 13}|17|5|0.8751608751608752|13.025872945785522|[0.94230769 0.94230769 0.94193548 0.92258065 0.93548387]|[0.96794872 0.92307692 0.96129032 0.94193548 0.94193548]|[0.95512821 0.90384615 0.90967742 0.93548387 0.92903226]|0.936923076923077|0.9472373862696444|0.9266335814722911
2023-05-07 17:15:46|algorithm1|ori|College|0.18|{3, 5, 7, 11, 13}|17|5|0.8751608751608752|12.379602432250977|[0.94230769 0.94230769 0.94193548 0.92258065 0.93548387]|[0.96794872 0.92307692 0.96129032 0.94193548 0.94193548]|[0.94871795 0.91025641 0.90967742 0.90967742 0.92903226]|0.936923076923077|0.9472373862696444|0.9214722911497105
2023-05-07 17:16:01|algorithm1|ori|College|0.19999999999999998|{3, 5, 7, 11, 12, 13}|17|6|0.8841698841698842|15.358891248703003|[0.94871795 0.92948718 0.95483871 0.92903226 0.92258065]|[0.96153846 0.91666667 0.9483871  0.94193548 0.94193548]|[0.94871795 0.91025641 0.92258065 0.90967742 0.92258065]|0.9369313482216708|0.9420926385442513|0.9227626137303556
2023-05-07 17:16:19|algorithm1|ori|College|0.21999999999999997|{3, 5, 7, 10, 11, 12, 13}|17|7|0.8725868725868726|17.074769020080566|[0.92948718 0.92307692 0.93548387 0.93548387 0.93548387]|[0.96153846 0.92948718 0.95483871 0.94193548 0.94193548]|[0.94871795 0.91025641 0.90967742 0.93548387 0.92903226]|0.9318031430934657|0.9459470636889991|0.9266335814722911
2023-05-07 17:16:36|algorithm1|ori|College|0.23999999999999996|{0, 3, 5, 7, 9, 11, 14}|17|7|0.8532818532818532|17.00878143310547|[0.93589744 0.91666667 0.93548387 0.9483871  0.95483871]|[0.96794872 0.92948718 0.9483871  0.93548387 0.95483871]|[0.94230769 0.87820513 0.90322581 0.91612903 0.91612903]|0.9382547559966914|0.9472291149710503|0.9111993382961124
2023-05-07 17:16:53|algorithm1|ori|College|0.25999999999999995|{1, 3, 4, 5, 7, 11, 13, 14}|17|8|0.8571428571428571|17.180447816848755|[0.96153846 0.91666667 0.9483871  0.93548387 0.94193548]|[0.97435897 0.91025641 0.95483871 0.93548387 0.93548387]|[0.94871795 0.90384615 0.90322581 0.90322581 0.89677419]|0.9408023159636063|0.9420843672456576|0.9111579818031432
2023-05-07 17:17:12|algorithm1|ori|College|0.27999999999999997|{3, 5, 7, 10, 11, 12, 14}|17|7|0.8352638352638353|18.915595769882202|[0.94230769 0.91025641 0.93548387 0.92903226 0.9483871 ]|[0.94230769 0.92307692 0.95483871 0.94193548 0.94193548]|[0.94871795 0.88461538 0.90967742 0.93548387 0.92258065]|0.9330934656741109|0.940818858560794|0.9202150537634409
2023-05-07 17:17:32|algorithm1|ori|College|0.3|{2, 4, 5, 7, 10, 11, 12, 13, 14}|17|9|0.8571428571428571|19.07744598388672|[0.93589744 0.90384615 0.92903226 0.93548387 0.92903226]|[0.93589744 0.91025641 0.9483871  0.94193548 0.94193548]|[0.93589744 0.90384615 0.90967742 0.91612903 0.88387097]|0.9266583953680728|0.9356823821339951|0.9098842018196857
2023-05-07 17:17:47|algorithm1|ori|College|0.32|{4, 5, 7, 10, 11, 12, 14, 15}|17|8|0.8005148005148005|15.558211326599121|[0.94230769 0.89102564 0.90967742 0.92258065 0.91612903]|[0.94230769 0.91666667 0.95483871 0.93548387 0.9483871 ]|[0.94230769 0.90384615 0.91612903 0.92903226 0.90967742]|0.9163440860215054|0.9395368072787427|0.9201985111662531
2023-05-07 17:18:03|algorithm1|ori|College|0.34|{4, 5, 7, 10, 11, 12, 13, 14, 15}|17|9|0.8120978120978121|15.654396295547485|[0.93589744 0.90384615 0.94193548 0.93548387 0.92903226]|[0.94230769 0.91025641 0.9483871  0.9483871  0.93548387]|[0.94230769 0.90384615 0.89677419 0.92903226 0.91612903]|0.9292390405293631|0.9369644334160462|0.917617866004963
