结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 17:19:23|algorithm1|ori|Vehicle|0.02|{17, 7}|18|2|0.5319148936170213|18.187377214431763|[0.64117647 0.61538462 0.56213018 0.60946746 0.58579882]|[0.54117647 0.53846154 0.50295858 0.55029586 0.53254438]|[0.57058824 0.5739645  0.60946746 0.5443787  0.55621302]|0.6027915071353986|0.5330873651235641|0.5709223807866343
2023-05-07 17:19:49|algorithm1|ori|Vehicle|0.04|{8, 17, 4, 7}|18|4|0.5425531914893617|25.816713094711304|[0.67058824 0.71597633 0.62721893 0.62721893 0.63313609]|[0.51176471 0.53254438 0.49704142 0.50887574 0.55621302]|[0.59411765 0.66863905 0.56213018 0.64497041 0.60946746]|0.6548277062304211|0.521287852419074|0.6158649495301078
2023-05-07 17:20:06|algorithm1|ori|Vehicle|0.06|{9, 10, 4, 17}|18|4|0.5768321513002365|16.521554946899414|[0.70588235 0.68047337 0.62130178 0.64497041 0.66863905]|[0.52941176 0.5443787  0.53846154 0.56213018 0.56804734]|[0.67647059 0.6035503  0.62721893 0.63905325 0.59763314]|0.6642533936651585|0.5484859032370345|0.6287852419074139
2023-05-07 17:20:31|algorithm1|ori|Vehicle|0.08|{9, 14, 17, 7}|18|4|0.5283687943262412|24.95563268661499|[0.71176471 0.61538462 0.67455621 0.66863905 0.59171598]|[0.58823529 0.59763314 0.57988166 0.66272189 0.59763314]|[0.62941176 0.5739645  0.62721893 0.59171598 0.55621302]|0.6524121127741037|0.6052210233205708|0.5957048381482771
2023-05-07 17:20:56|algorithm1|ori|Vehicle|0.1|{7, 9, 13, 15, 17}|18|5|0.5685579196217494|24.411633014678955|[0.62941176 0.64497041 0.63905325 0.64497041 0.60946746]|[0.55882353 0.62721893 0.58579882 0.62130178 0.5739645 ]|[0.65882353 0.66272189 0.63313609 0.6035503  0.5739645 ]|0.6335746606334842|0.5934215106160807|0.6264392620953707
2023-05-07 17:21:24|algorithm1|ori|Vehicle|0.12000000000000001|{4, 5, 7, 9, 11, 14, 17}|18|7|0.5945626477541371|27.333751916885376|[0.71176471 0.63905325 0.68639053 0.69230769 0.65088757]|[0.60588235 0.64497041 0.60946746 0.68047337 0.64497041]|[0.68823529 0.63905325 0.70414201 0.71597633 0.70414201]|0.6760807518273582|0.637152801949182|0.6903097807170205
2023-05-07 17:21:54|algorithm1|ori|Vehicle|0.14|{1, 4, 7, 9, 10, 14, 16, 17}|18|8|0.5886524822695035|30.306457042694092|[0.73529412 0.70414201 0.69230769 0.68047337 0.65088757]|[0.62352941 0.68047337 0.66272189 0.73372781 0.65680473]|[0.64705882 0.63313609 0.66272189 0.62130178 0.59763314]|0.6926209537069266|0.6714514444831188|0.6323703445875392
2023-05-07 17:22:26|algorithm1|ori|Vehicle|0.16|{5, 7, 9, 10, 13, 14, 15, 16, 17}|18|9|0.5697399527186762|31.031694173812866|[0.73529412 0.70414201 0.64497041 0.67455621 0.60946746]|[0.65882353 0.66272189 0.66863905 0.70414201 0.66863905]|[0.71176471 0.64497041 0.67455621 0.71597633 0.68047337]|0.673686042464323|0.6725931082492169|0.68554820744866
2023-05-07 17:22:56|algorithm1|ori|Vehicle|0.18|{2, 7, 9, 11, 13, 14, 15, 16, 17}|18|9|0.5851063829787234|30.077483415603638|[0.70588235 0.72189349 0.69230769 0.66272189 0.63313609]|[0.68823529 0.71005917 0.67455621 0.73964497 0.67455621]|[0.66470588 0.63313609 0.6035503  0.71597633 0.68639053]|0.6831883049077618|0.6974103724329968|0.6607518273581622
2023-05-07 17:23:28|algorithm1|ori|Vehicle|0.19999999999999998|{0, 4, 5, 7, 9, 11, 14, 15, 16, 17}|18|10|0.6040189125295509|31.607253313064575|[0.71764706 0.68047337 0.68047337 0.66272189 0.68047337]|[0.71764706 0.67455621 0.67455621 0.75147929 0.65088757]|[0.67647059 0.66272189 0.68639053 0.71597633 0.71597633]|0.6843578141315698|0.6938252697528716|0.691507135398538
