结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 17:07:29|algorithm1|ori|australian|0.02|{0, 4, 7, 9, 10}|14|5|0.6115942028985507|7.147494077682495|[0.82608696 0.86231884 0.83333333 0.8115942  0.8115942 ]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.86956522 0.86956522 0.84782609 0.84057971 0.86956522]|0.828985507246377|0.8550724637681159|0.8594202898550725
2023-05-07 17:07:36|algorithm1|ori|australian|0.04|{0, 4, 7, 9, 10}|14|5|0.6275362318840579|7.109540224075317|[0.82608696 0.86231884 0.83333333 0.8115942  0.8115942 ]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.86956522 0.86956522 0.84782609 0.84057971 0.86956522]|0.828985507246377|0.8550724637681159|0.8594202898550725
2023-05-07 17:07:45|algorithm1|ori|australian|0.06|{0, 4, 7, 8, 10, 12, 13}|14|7|0.6463768115942029|9.357535123825073|[0.86956522 0.87681159 0.83333333 0.85507246 0.83333333]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.81884058 0.8115942  0.82608696 0.84057971 0.83333333]|0.8536231884057971|0.8550724637681159|0.826086956521739
2023-05-07 17:07:54|algorithm1|ori|australian|0.08|{0, 1, 4, 7, 10, 13}|14|6|0.6521739130434783|8.658183574676514|[0.8115942  0.81884058 0.81884058 0.84782609 0.85507246]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.8115942  0.81884058 0.83333333 0.84057971 0.83333333]|0.8304347826086957|0.8550724637681159|0.827536231884058
2023-05-07 17:08:04|algorithm1|ori|australian|0.1|{0, 1, 4, 7, 8, 9, 10}|14|7|0.7101449275362319|9.513382911682129|[0.88405797 0.87681159 0.83333333 0.86231884 0.84057971]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.84782609 0.84057971 0.83333333 0.8115942  0.84782609]|0.8594202898550725|0.8550724637681159|0.8362318840579711
2023-05-07 17:08:14|algorithm1|ori|australian|0.12000000000000001|{0, 2, 4, 7, 8, 10, 13}|14|7|0.6855072463768116|9.58703064918518|[0.86231884 0.88405797 0.83333333 0.86231884 0.84057971]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.84057971 0.85507246 0.82608696 0.86231884 0.82608696]|0.856521739130435|0.8550724637681159|0.8420289855072465
2023-05-07 17:08:24|algorithm1|ori|australian|0.14|{0, 2, 4, 6, 7, 8, 10}|14|7|0.6579710144927536|9.702072620391846|[0.85507246 0.87681159 0.84057971 0.84782609 0.83333333]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.81884058 0.84057971 0.84782609 0.8115942  0.83333333]|0.8507246376811594|0.8550724637681159|0.8304347826086955
2023-05-07 17:08:29|algorithm1|ori|australian|0.16|{5, 13}|14|2|0.03188405797101449|4.738844633102417|[0.73188406 0.68115942 0.70289855 0.65217391 0.64492754]|[0.66666667 0.61594203 0.57971014 0.5942029  0.62318841]|[0.71014493 0.68115942 0.69565217 0.66666667 0.68115942]|0.6826086956521739|0.6159420289855072|0.6869565217391304
2023-05-07 17:08:33|algorithm1|ori|australian|0.18|{13}|14|1|0.020289855072463767|4.186856269836426|[0.7173913  0.67391304 0.69565217 0.68115942 0.65217391]|[0.56521739 0.56521739 0.55797101 0.55797101 0.55072464]|[0.72463768 0.65217391 0.68115942 0.66666667 0.64492754]|0.6840579710144927|0.5594202898550724|0.6739130434782608
2023-05-07 17:08:38|algorithm1|ori|australian|0.19999999999999998|{13}|14|1|0.02463768115942029|4.521618843078613|[0.7173913  0.67391304 0.69565217 0.68115942 0.65217391]|[0.56521739 0.56521739 0.55797101 0.55797101 0.55072464]|[0.72463768 0.65217391 0.68115942 0.66666667 0.64492754]|0.6840579710144927|0.5594202898550724|0.6739130434782608
2023-05-07 17:08:43|algorithm1|ori|australian|0.21999999999999997|{13, 7}|14|2|0.0391304347826087|4.967329740524292|[0.79710145 0.78985507 0.77536232 0.7826087  0.74637681]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.82608696 0.78985507 0.82608696 0.86956522 0.85507246]|0.7782608695652173|0.8550724637681159|0.8333333333333334
2023-05-07 17:08:48|algorithm1|ori|australian|0.23999999999999996|{13, 7}|14|2|0.06231884057971015|4.695148229598999|[0.79710145 0.78985507 0.77536232 0.7826087  0.74637681]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.82608696 0.78985507 0.82608696 0.86956522 0.85507246]|0.7782608695652173|0.8550724637681159|0.8333333333333334
2023-05-07 17:08:53|algorithm1|ori|australian|0.25999999999999995|{13, 7}|14|2|0.03333333333333333|4.603010416030884|[0.79710145 0.78985507 0.77536232 0.7826087  0.74637681]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.82608696 0.78985507 0.82608696 0.86956522 0.85507246]|0.7782608695652173|0.8550724637681159|0.8333333333333334
2023-05-07 17:08:58|algorithm1|ori|australian|0.27999999999999997|{13, 7}|14|2|0.04927536231884058|4.727274417877197|[0.79710145 0.78985507 0.77536232 0.7826087  0.74637681]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.82608696 0.78985507 0.82608696 0.86956522 0.85507246]|0.7782608695652173|0.8550724637681159|0.8333333333333334
