结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 23:49:55|algorithm2_1|10noise|Glass|0.02|{0, 2, 5, 6, 7, 8}|9|6|0.2570093457943925|4.139817476272583|[0.53488372 0.58139535 0.55813953 0.55813953 0.54761905]|[0.51162791 0.55813953 0.44186047 0.65116279 0.5       ]|[0.44186047 0.62790698 0.69767442 0.72093023 0.52380952]|0.5560354374307863|0.5325581395348837|0.602436323366556
2023-05-07 23:49:59|algorithm2_1|10noise|Glass|0.04|{2, 3, 5, 6, 7, 8}|9|6|0.2803738317757009|3.541036367416382|[0.60465116 0.62790698 0.58139535 0.60465116 0.5       ]|[0.60465116 0.65116279 0.51162791 0.62790698 0.5952381 ]|[0.62790698 0.53488372 0.69767442 0.69767442 0.61904762]|0.5837209302325581|0.5981173864894795|0.6354374307862679
2023-05-07 23:50:02|algorithm2_1|10noise|Glass|0.06|{8, 2, 4, 7}|9|4|0.2803738317757009|3.217383623123169|[0.55813953 0.44186047 0.46511628 0.51162791 0.28571429]|[0.46511628 0.48837209 0.44186047 0.46511628 0.38095238]|[0.55813953 0.51162791 0.60465116 0.51162791 0.38095238]|0.4524916943521594|0.4482834994462901|0.5133997785160577
2023-05-07 23:50:06|algorithm2_1|10noise|Glass|0.08|{0, 1, 3, 4, 7, 8}|9|6|0.3925233644859813|3.5664947032928467|[0.55813953 0.60465116 0.51162791 0.62790698 0.54761905]|[0.51162791 0.46511628 0.44186047 0.44186047 0.52380952]|[0.62790698 0.53488372 0.55813953 0.65116279 0.61904762]|0.5699889258028792|0.47685492801771867|0.5982281284606865
2023-05-07 23:50:09|algorithm2_1|10noise|Glass|0.1|{1, 2, 3, 4, 5, 6, 7, 8}|9|8|0.3177570093457944|3.5561587810516357|[0.65116279 0.58139535 0.65116279 0.62790698 0.54761905]|[0.60465116 0.55813953 0.51162791 0.46511628 0.52380952]|[0.62790698 0.53488372 0.65116279 0.6744186  0.64285714]|0.6118493909191584|0.5326688815060907|0.6262458471760797
2023-05-07 23:50:13|algorithm2_1|10noise|Glass|0.12000000000000001|{0, 2, 3, 5, 7, 8}|9|6|0.24299065420560748|3.511361837387085|[0.60465116 0.60465116 0.58139535 0.65116279 0.54761905]|[0.60465116 0.6744186  0.51162791 0.48837209 0.47619048]|[0.65116279 0.53488372 0.65116279 0.6744186  0.64285714]|0.5978959025470653|0.5510520487264674|0.6308970099667774
2023-05-07 23:50:16|algorithm2_1|10noise|Glass|0.14|{0, 1, 2, 3, 4, 5, 6, 8}|9|8|0.2757009345794392|3.5347986221313477|[0.58139535 0.53488372 0.60465116 0.62790698 0.47619048]|[0.55813953 0.58139535 0.48837209 0.44186047 0.47619048]|[0.48837209 0.65116279 0.72093023 0.69767442 0.5952381 ]|0.5650055370985603|0.5091915836101883|0.6306755260243633
2023-05-07 23:50:20|algorithm2_1|10noise|Glass|0.16|{0, 1, 2, 3, 4, 5, 6, 7, 8}|9|9|0.2523364485981308|3.665846824645996|[0.55813953 0.53488372 0.62790698 0.62790698 0.47619048]|[0.55813953 0.60465116 0.48837209 0.44186047 0.47619048]|[0.6744186  0.58139535 0.62790698 0.69767442 0.66666667]|0.5650055370985603|0.5138427464008859|0.6496124031007752
2023-05-07 23:50:24|algorithm2_1|10noise|Glass|0.18|{0, 1, 2, 3, 4, 5, 6, 8}|9|8|0.24766355140186916|3.6143739223480225|[0.58139535 0.53488372 0.60465116 0.62790698 0.47619048]|[0.55813953 0.58139535 0.48837209 0.44186047 0.47619048]|[0.60465116 0.65116279 0.69767442 0.69767442 0.5952381 ]|0.5650055370985603|0.5091915836101883|0.6492801771871539
2023-05-07 23:50:27|algorithm2_1|10noise|Glass|0.19999999999999998|{0, 1, 2, 3, 4, 6, 7, 8}|9|8|0.17757009345794392|3.5903332233428955|[0.55813953 0.51162791 0.62790698 0.65116279 0.47619048]|[0.53488372 0.58139535 0.48837209 0.44186047 0.47619048]|[0.72093023 0.58139535 0.62790698 0.69767442 0.5       ]|0.5650055370985604|0.5045404208194906|0.6255813953488373
