结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 23:37:35|algorithm2_1|10noise|Sonar|0.02|{10, 3}|60|2|0.5576923076923077|26.10803484916687|[0.71428571 0.61904762 0.69047619 0.75609756 0.92682927]|[0.76190476 0.54761905 0.66666667 0.73170732 0.90243902]|[0.69047619 0.61904762 0.66666667 0.7804878  0.82926829]|0.7413472706155633|0.7220673635307782|0.7171893147502904
2023-05-07 23:38:03|algorithm2_1|10noise|Sonar|0.04|{3, 21}|60|2|0.44711538461538464|28.575455904006958|[0.73809524 0.64285714 0.4047619  0.56097561 0.68292683]|[0.69047619 0.5952381  0.38095238 0.6097561  0.65853659]|[0.69047619 0.57142857 0.45238095 0.58536585 0.6097561 ]|0.6059233449477353|0.5869918699186992|0.5818815331010453
2023-05-07 23:38:35|algorithm2_1|10noise|Sonar|0.06|{2, 34, 3, 55}|60|4|0.36538461538461536|32.02953481674194|[0.64285714 0.64285714 0.47619048 0.46341463 0.65853659]|[0.5        0.64285714 0.64285714 0.3902439  0.73170732]|[0.64285714 0.57142857 0.52380952 0.6097561  0.68292683]|0.5767711962833915|0.5815331010452962|0.6061556329849014
2023-05-07 23:39:07|algorithm2_1|10noise|Sonar|0.08|{50, 3, 22, 55}|60|4|0.4855769230769231|31.949148893356323|[0.64285714 0.69047619 0.38095238 0.70731707 0.65853659]|[0.66666667 0.69047619 0.45238095 0.6097561  0.70731707]|[0.5952381  0.57142857 0.5        0.53658537 0.63414634]|0.61602787456446|0.6253193960511034|0.567479674796748
2023-05-07 23:39:40|algorithm2_1|10noise|Sonar|0.1|{17, 34, 3, 50}|60|4|0.5|33.01203632354736|[0.5952381  0.54761905 0.54761905 0.48780488 0.70731707]|[0.52380952 0.54761905 0.61904762 0.43902439 0.70731707]|[0.54761905 0.35714286 0.47619048 0.43902439 0.65853659]|0.5771196283391404|0.567363530778165|0.4957026713124274
2023-05-07 23:40:15|algorithm2_1|10noise|Sonar|0.12000000000000001|{49, 4, 45, 17}|60|4|0.4230769230769231|34.55202865600586|[0.71428571 0.54761905 0.47619048 0.80487805 0.7804878 ]|[0.64285714 0.5        0.4047619  0.63414634 0.53658537]|[0.5952381  0.61904762 0.47619048 0.75609756 0.63414634]|0.6646922183507549|0.5436701509872242|0.616144018583043
2023-05-07 23:40:50|algorithm2_1|10noise|Sonar|0.14|{8, 17, 43, 52}|60|4|0.5240384615384616|34.87495517730713|[0.80952381 0.38095238 0.61904762 0.68292683 0.63414634]|[0.69047619 0.42857143 0.45238095 0.58536585 0.68292683]|[0.71428571 0.42857143 0.5952381  0.65853659 0.68292683]|0.6253193960511034|0.5679442508710801|0.615911730545877
2023-05-07 23:41:25|algorithm2_1|10noise|Sonar|0.16|{48, 17, 9, 30}|60|4|0.5913461538461539|34.74439454078674|[0.73809524 0.45238095 0.57142857 0.82926829 0.87804878]|[0.80952381 0.38095238 0.57142857 0.70731707 0.65853659]|[0.5952381  0.5        0.5952381  0.82926829 0.65853659]|0.6938443670150987|0.6255516840882694|0.6356562137049943
2023-05-07 23:42:00|algorithm2_1|10noise|Sonar|0.18|{9, 15, 21, 47}|60|4|0.5432692307692307|35.59538245201111|[0.73809524 0.57142857 0.52380952 0.80487805 0.65853659]|[0.80952381 0.42857143 0.45238095 0.7804878  0.63414634]|[0.83333333 0.4047619  0.5952381  0.85365854 0.70731707]|0.659349593495935|0.6210220673635308|0.6788617886178863
2023-05-07 23:42:38|algorithm2_1|10noise|Sonar|0.19999999999999998|{48, 18, 36, 43, 13, 14}|60|6|0.5480769230769231|37.914801359176636|[0.61904762 0.54761905 0.5952381  0.56097561 0.68292683]|[0.5952381  0.73809524 0.52380952 0.70731707 0.63414634]|[0.54761905 0.61904762 0.61904762 0.48780488 0.63414634]|0.6011614401858305|0.6397212543554007|0.5815331010452962
