结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-08 09:24:29|algorithm2_1|10noise|Vehicle|0.02|{8, 13, 11, 5}|18|4|0.466903073286052|35.34057879447937|[0.68823529 0.63905325 0.62721893 0.65088757 0.69230769]|[0.53529412 0.53254438 0.50295858 0.58579882 0.52662722]|[0.66470588 0.66863905 0.65680473 0.62130178 0.66272189]|0.6595405499477899|0.5366446223459798|0.6548346675948485
2023-05-08 09:25:14|algorithm2_1|10noise|Vehicle|0.04|{16, 11, 4, 5}|18|4|0.4988179669030733|44.78935670852661|[0.69411765 0.71005917 0.66272189 0.63905325 0.68639053]|[0.43529412 0.50295858 0.43786982 0.4852071  0.44378698]|[0.70588235 0.65680473 0.67455621 0.62130178 0.68639053]|0.6784684998259659|0.4610233205708319|0.6689871214758092
2023-05-08 09:26:15|algorithm2_1|10noise|Vehicle|0.06|{17, 2, 4, 5, 11, 13}|18|6|0.5106382978723404|60.05992317199707|[0.75882353 0.72189349 0.66863905 0.67455621 0.69822485]|[0.59411765 0.6035503  0.5739645  0.53846154 0.62721893]|[0.70588235 0.69230769 0.72781065 0.65680473 0.68047337]|0.7044274277758441|0.5874625826662025|0.6926557605290637
2023-05-08 09:27:15|algorithm2_1|10noise|Vehicle|0.08|{17, 4, 5, 11, 13, 15}|18|6|0.49763593380614657|59.74715971946716|[0.63529412 0.65680473 0.56213018 0.56213018 0.58579882]|[0.54705882 0.5739645  0.52662722 0.53846154 0.56804734]|[0.70588235 0.67455621 0.70414201 0.68639053 0.68047337]|0.6004316045945005|0.5508318830490776|0.6902888966237384
2023-05-08 09:28:23|algorithm2_1|10noise|Vehicle|0.1|{16, 4, 5, 8, 9, 14}|18|6|0.48817966903073284|67.74399852752686|[0.67058824 0.62721893 0.64497041 0.63313609 0.62721893]|[0.53529412 0.56804734 0.46745562 0.58579882 0.55029586]|[0.70588235 0.63313609 0.68639053 0.67455621 0.71597633]|0.6406265227984684|0.5413783501566307|0.6831883049077618
2023-05-08 09:29:33|algorithm2_1|10noise|Vehicle|0.12000000000000001|{3, 4, 5, 9, 10, 13, 14, 15}|18|8|0.4397163120567376|70.05866527557373|[0.64705882 0.63905325 0.56213018 0.65088757 0.5739645 ]|[0.58235294 0.63905325 0.5739645  0.63905325 0.57988166]|[0.65294118 0.63905325 0.66272189 0.67455621 0.68639053]|0.6146188652975983|0.6028611207796728|0.6631326139923426
2023-05-08 09:30:43|algorithm2_1|10noise|Vehicle|0.14|{17, 2, 4, 5, 6, 9, 13, 14}|18|8|0.508274231678487|69.77946829795837|[0.68823529 0.68639053 0.69230769 0.65088757 0.68639053]|[0.65294118 0.64497041 0.58579882 0.66863905 0.65680473]|[0.7        0.68047337 0.66863905 0.70414201 0.72189349]|0.6808423250957187|0.6418308388444135|0.6950295857988166
2023-05-08 09:31:57|algorithm2_1|10noise|Vehicle|0.16|{3, 4, 5, 7, 9, 10, 13, 14, 15, 17}|18|10|0.491725768321513|73.40141868591309|[0.69411765 0.66863905 0.65680473 0.63905325 0.61538462]|[0.65294118 0.68639053 0.64497041 0.69230769 0.65680473]|[0.71176471 0.63905325 0.62721893 0.72781065 0.68639053]|0.6547998607727115|0.6666829098503306|0.6784476157326835
2023-05-08 09:33:12|algorithm2_1|10noise|Vehicle|0.18|{0, 3, 5, 7, 8, 10, 14, 15, 16, 17}|18|10|0.5153664302600472|75.02532362937927|[0.71176471 0.69230769 0.64497041 0.65088757 0.62721893]|[0.65294118 0.64497041 0.64497041 0.66863905 0.63313609]|[0.73529412 0.70414201 0.68639053 0.72781065 0.72189349]|0.6654298642533936|0.6489314305603898|0.7151061608075182
2023-05-08 09:34:26|algorithm2_1|10noise|Vehicle|0.19999999999999998|{0, 3, 8, 9, 11, 13, 14, 15, 16, 17}|18|10|0.5236406619385343|73.29978823661804|[0.71764706 0.65680473 0.65088757 0.62130178 0.66272189]|[0.70588235 0.66863905 0.66863905 0.72189349 0.67455621]|[0.68823529 0.63313609 0.63313609 0.62721893 0.63905325]|0.6618726070309779|0.6879220327184128|0.6441559345631744
