结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 23:51:09|algorithm2_1|10noise|accent|0.02|{1, 6}|12|2|0.3282674772036474|5.489579200744629|[0.53030303 0.56060606 0.46969697 0.45454545 0.53846154]|[0.5        0.5        0.5        0.5        0.50769231]|[0.53030303 0.46969697 0.34848485 0.39393939 0.47692308]|0.5107226107226107|0.5015384615384615|0.4438694638694639
2023-05-07 23:51:15|algorithm2_1|10noise|accent|0.04|{9, 2}|12|2|0.1884498480243161|5.866713285446167|[0.39393939 0.5        0.28787879 0.31818182 0.49230769]|[0.5        0.5        0.5        0.5        0.50769231]|[0.45454545 0.45454545 0.42424242 0.31818182 0.56923077]|0.3984615384615385|0.5015384615384615|0.4441491841491841
2023-05-07 23:51:23|algorithm2_1|10noise|accent|0.06|{11, 2, 10, 6}|12|4|0.3069908814589666|7.4786999225616455|[0.65151515 0.53030303 0.53030303 0.5        0.56923077]|[0.5        0.5        0.5        0.5        0.50769231]|[0.54545455 0.62121212 0.43939394 0.48484848 0.41538462]|0.5562703962703962|0.5015384615384615|0.5012587412587413
2023-05-07 23:51:31|algorithm2_1|10noise|accent|0.08|{8, 3, 6, 7}|12|4|0.331306990881459|7.7916765213012695|[0.56060606 0.53030303 0.5        0.57575758 0.56923077]|[0.5        0.5        0.5        0.5        0.50769231]|[0.51515152 0.5        0.42424242 0.37878788 0.52307692]|0.5471794871794872|0.5015384615384615|0.46825174825174826
2023-05-07 23:51:39|algorithm2_1|10noise|accent|0.1|{0, 8, 1, 6}|12|4|0.3069908814589666|7.844944953918457|[0.62121212 0.59090909 0.54545455 0.5        0.55384615]|[0.5        0.5        0.5        0.5        0.50769231]|[0.48484848 0.62121212 0.45454545 0.37878788 0.61538462]|0.5622843822843823|0.5015384615384615|0.510955710955711
2023-05-07 23:51:48|algorithm2_1|10noise|accent|0.12000000000000001|{1, 2, 6, 7, 8, 10}|12|6|0.3617021276595745|8.928110122680664|[0.60606061 0.72727273 0.60606061 0.53030303 0.67692308]|[0.54545455 0.5        0.51515152 0.5        0.50769231]|[0.53030303 0.57575758 0.48484848 0.56060606 0.63076923]|0.6293240093240093|0.5136596736596737|0.5564568764568765
2023-05-07 23:51:57|algorithm2_1|10noise|accent|0.14|{1, 2, 3, 4, 8, 10}|12|6|0.3799392097264438|9.251938343048096|[0.54545455 0.63636364 0.62121212 0.53030303 0.73846154]|[0.54545455 0.5        0.53030303 0.5        0.50769231]|[0.51515152 0.68181818 0.5        0.45454545 0.49230769]|0.6143589743589744|0.5166899766899766|0.5287645687645688
2023-05-07 23:52:06|algorithm2_1|10noise|accent|0.16|{1, 2, 3, 6, 7, 8}|12|6|0.3586626139817629|9.412786722183228|[0.54545455 0.53030303 0.46969697 0.57575758 0.63076923]|[0.5        0.5        0.5        0.5        0.50769231]|[0.59090909 0.56060606 0.60606061 0.43939394 0.55384615]|0.5503962703962704|0.5015384615384615|0.5501631701631702
2023-05-07 23:52:16|algorithm2_1|10noise|accent|0.18|{1, 2, 3, 6, 8, 11}|12|6|0.3525835866261398|9.173671960830688|[0.59090909 0.56060606 0.5        0.53030303 0.66153846]|[0.5        0.5        0.5        0.5        0.50769231]|[0.45454545 0.42424242 0.37878788 0.37878788 0.61538462]|0.5686713286713286|0.5015384615384615|0.45034965034965035
2023-05-07 23:52:26|algorithm2_1|10noise|accent|0.19999999999999998|{1, 2, 3, 5, 7, 8, 10, 11}|12|8|0.3981762917933131|10.309186220169067|[0.62121212 0.63636364 0.59090909 0.62121212 0.72307692]|[0.54545455 0.5        0.51515152 0.5        0.50769231]|[0.51515152 0.59090909 0.48484848 0.53030303 0.61538462]|0.6385547785547786|0.5136596736596737|0.5473193473193473
2023-05-07 23:52:36|algorithm2_1|10noise|accent|0.21999999999999997|{0, 1, 2, 3, 4, 8, 9, 10}|12|8|0.3768996960486322|10.037950992584229|[0.68181818 0.68181818 0.57575758 0.54545455 0.72307692]|[0.56060606 0.51515152 0.51515152 0.5        0.50769231]|[0.53030303 0.51515152 0.57575758 0.46969697 0.66153846]|0.6415850815850817|0.5197202797202797|0.5504895104895104
2023-05-07 23:52:47|algorithm2_1|10noise|accent|0.23999999999999996|{0, 1, 2, 3, 4, 5, 7, 8, 9, 10}|12|10|0.3708206686930091|10.341629028320312|[0.66666667 0.68181818 0.66666667 0.68181818 0.73846154]|[0.56060606 0.51515152 0.51515152 0.51515152 0.50769231]|[0.54545455 0.56060606 0.56060606 0.48484848 0.63076923]|0.6870862470862471|0.5227505827505827|0.5564568764568765
2023-05-07 23:52:57|algorithm2_1|10noise|accent|0.25999999999999995|{0, 1, 2, 3, 4, 6, 7, 8, 10, 11}|12|10|0.3829787234042553|10.29084587097168|[0.68181818 0.6969697  0.74242424 0.66666667 0.72307692]|[0.56060606 0.51515152 0.51515152 0.53030303 0.50769231]|[0.48484848 0.51515152 0.59090909 0.45454545 0.61538462]|0.7021911421911422|0.5257808857808858|0.5321678321678321
2023-05-07 23:53:07|algorithm2_1|10noise|accent|0.27999999999999997|{0, 1, 2, 3, 4, 6, 7, 8, 10, 11}|12|10|0.3617021276595745|10.150276184082031|[0.68181818 0.6969697  0.74242424 0.66666667 0.72307692]|[0.56060606 0.51515152 0.51515152 0.53030303 0.50769231]|[0.46969697 0.54545455 0.59090909 0.45454545 0.6       ]|0.7021911421911422|0.5257808857808858|0.5321212121212121
2023-05-07 23:53:18|algorithm2_1|10noise|accent|0.3|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|12|12|0.3677811550151976|10.44508671760559|[0.63636364 0.6969697  0.72727273 0.66666667 0.70769231]|[0.56060606 0.51515152 0.53030303 0.51515152 0.50769231]|[0.54545455 0.56060606 0.59090909 0.48484848 0.66153846]|0.686993006993007|0.5257808857808858|0.5686713286713286
2023-05-07 23:53:28|algorithm2_1|10noise|accent|0.32|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|12|12|0.3343465045592705|10.351670265197754|[0.63636364 0.6969697  0.72727273 0.66666667 0.70769231]|[0.56060606 0.51515152 0.53030303 0.51515152 0.50769231]|[0.54545455 0.56060606 0.59090909 0.48484848 0.66153846]|0.686993006993007|0.5257808857808858|0.5686713286713286
2023-05-07 23:53:39|algorithm2_1|10noise|accent|0.34|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|12|12|0.303951367781155|10.56995177268982|[0.63636364 0.6969697  0.72727273 0.66666667 0.70769231]|[0.56060606 0.51515152 0.53030303 0.51515152 0.50769231]|[0.53030303 0.54545455 0.56060606 0.48484848 0.66153846]|0.686993006993007|0.5257808857808858|0.5565501165501165
2023-05-07 23:53:50|algorithm2_1|10noise|accent|0.36000000000000004|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|12|12|0.24924012158054712|10.61601448059082|[0.63636364 0.6969697  0.72727273 0.66666667 0.70769231]|[0.56060606 0.51515152 0.53030303 0.51515152 0.50769231]|[0.51515152 0.56060606 0.59090909 0.46969697 0.64615385]|0.686993006993007|0.5257808857808858|0.5565034965034965
2023-05-07 23:54:01|algorithm2_1|10noise|accent|0.38000000000000006|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|12|12|0.23404255319148937|10.903682231903076|[0.63636364 0.6969697  0.72727273 0.66666667 0.70769231]|[0.56060606 0.51515152 0.53030303 0.51515152 0.50769231]|[0.51515152 0.60606061 0.56060606 0.48484848 0.66153846]|0.686993006993007|0.5257808857808858|0.5656410256410256
2023-05-07 23:54:11|algorithm2_1|10noise|accent|0.4000000000000001|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|12|12|0.24316109422492402|10.704184293746948|[0.63636364 0.6969697  0.72727273 0.66666667 0.70769231]|[0.56060606 0.51515152 0.53030303 0.51515152 0.50769231]|[0.54545455 0.57575758 0.59090909 0.48484848 0.64615385]|0.686993006993007|0.5257808857808858|0.5686247086247086
