结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-08 08:52:20|algorithm2_1|10noise|australian|0.02|{8, 1, 11, 4}|14|4|0.49130434782608695|25.631563901901245|[0.73188406 0.80434783 0.67391304 0.71014493 0.73913043]|[0.74637681 0.82608696 0.65942029 0.73188406 0.70289855]|[0.73913043 0.85507246 0.67391304 0.72463768 0.72463768]|0.7318840579710144|0.7333333333333334|0.7434782608695653
2023-05-08 08:52:43|algorithm2_1|10noise|australian|0.04|{0, 1, 4, 7, 8, 9}|14|6|0.47246376811594204|23.60748291015625|[0.86956522 0.87681159 0.82608696 0.86231884 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.84782609 0.84057971 0.84782609 0.79710145 0.84057971]|0.8565217391304347|0.8550724637681159|0.8347826086956521
2023-05-08 08:53:12|algorithm2_1|10noise|australian|0.06|{0, 1, 4, 6, 7, 13}|14|6|0.4681159420289855|28.170179843902588|[0.81884058 0.85507246 0.84057971 0.86231884 0.86231884]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.81884058 0.84057971 0.85507246 0.83333333 0.81884058]|0.8478260869565217|0.8550724637681159|0.8333333333333334
2023-05-08 08:53:38|algorithm2_1|10noise|australian|0.08|{0, 1, 3, 4, 7, 9}|14|6|0.527536231884058|26.290892362594604|[0.8115942  0.86956522 0.83333333 0.88405797 0.84057971]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.85507246 0.85507246 0.86231884 0.83333333 0.83333333]|0.8478260869565217|0.8550724637681159|0.8478260869565218
2023-05-08 08:54:05|algorithm2_1|10noise|australian|0.1|{0, 1, 3, 4, 7, 8, 9, 10}|14|8|0.591304347826087|26.364083528518677|[0.86956522 0.86231884 0.8115942  0.85507246 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.86231884 0.86231884 0.86956522 0.84782609 0.84782609]|0.8492753623188406|0.8550724637681159|0.8579710144927535
2023-05-08 08:54:33|algorithm2_1|10noise|australian|0.12000000000000001|{1, 3, 4, 7, 8, 9, 11, 12}|14|8|0.5681159420289855|27.81839680671692|[0.86231884 0.89130435 0.86231884 0.88405797 0.82608696]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.8115942  0.89130435 0.86231884 0.83333333 0.84057971]|0.8652173913043478|0.8550724637681159|0.8478260869565217
2023-05-08 08:54:57|algorithm2_1|10noise|australian|0.14|{0, 1, 3, 4, 7, 8, 9, 10, 11, 12}|14|10|0.5826086956521739|24.321990489959717|[0.84057971 0.86231884 0.81884058 0.87681159 0.84057971]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.8115942  0.89130435 0.86231884 0.83333333 0.84057971]|0.8478260869565217|0.8550724637681159|0.8478260869565217
2023-05-08 08:55:26|algorithm2_1|10noise|australian|0.16|{1, 2, 3, 4, 5, 7, 11, 13}|14|8|0.5449275362318841|28.851431846618652|[0.84057971 0.85507246 0.83333333 0.86231884 0.86231884]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.84782609 0.85507246 0.84782609 0.85507246 0.86956522]|0.8507246376811594|0.8550724637681159|0.855072463768116
2023-05-08 08:55:52|algorithm2_1|10noise|australian|0.18|{1, 2, 4, 5, 7, 10, 11, 12}|14|8|0.5420289855072464|25.602440118789673|[0.83333333 0.84057971 0.83333333 0.83333333 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.83333333 0.82608696 0.84782609 0.7826087  0.86231884]|0.8376811594202899|0.8550724637681159|0.8304347826086957
2023-05-08 08:56:19|algorithm2_1|10noise|australian|0.19999999999999998|{0, 1, 4, 5, 7, 8, 10, 11, 12, 13}|14|10|0.5666666666666667|27.018355131149292|[0.87681159 0.88405797 0.83333333 0.85507246 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.83333333 0.82608696 0.83333333 0.84782609 0.81884058]|0.8594202898550725|0.8550724637681159|0.8318840579710145
2023-05-08 08:56:47|algorithm2_1|10noise|australian|0.21999999999999997|{0, 1, 2, 4, 5, 7, 8, 10, 11, 13}|14|10|0.5884057971014492|28.289134979248047|[0.88405797 0.89130435 0.82608696 0.84782609 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.84782609 0.86231884 0.81884058 0.80434783 0.83333333]|0.8594202898550725|0.8550724637681159|0.8333333333333334
2023-05-08 08:57:11|algorithm2_1|10noise|australian|0.23999999999999996|{0, 1, 2, 3, 4, 6, 7, 8, 10, 13}|14|10|0.5681159420289855|23.679550170898438|[0.85507246 0.87681159 0.83333333 0.86231884 0.83333333]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.83333333 0.84782609 0.80434783 0.84782609 0.83333333]|0.8521739130434783|0.8550724637681159|0.8333333333333333
2023-05-08 08:57:38|algorithm2_1|10noise|australian|0.25999999999999995|{0, 1, 2, 3, 4, 7, 8, 10, 12, 13}|14|10|0.5362318840579711|26.916341304779053|[0.84782609 0.87681159 0.82608696 0.86956522 0.84057971]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.82608696 0.84782609 0.81884058 0.86956522 0.80434783]|0.8521739130434783|0.8550724637681159|0.8333333333333333
2023-05-08 08:58:00|algorithm2_1|10noise|australian|0.27999999999999997|{4, 13}|14|2|0.014492753623188406|21.177011013031006|[0.69565217 0.66666667 0.6884058  0.68115942 0.64492754]|[0.6884058  0.71014493 0.63768116 0.67391304 0.65217391]|[0.73188406 0.76086957 0.71014493 0.6884058  0.68115942]|0.6753623188405797|0.672463768115942|0.7144927536231884
2023-05-08 08:58:19|algorithm2_1|10noise|australian|0.3|{4, 13}|14|2|0.02318840579710145|19.48181414604187|[0.69565217 0.66666667 0.6884058  0.68115942 0.64492754]|[0.6884058  0.71014493 0.63768116 0.67391304 0.65217391]|[0.73188406 0.76086957 0.71014493 0.6884058  0.68115942]|0.6753623188405797|0.672463768115942|0.7144927536231884
2023-05-08 08:58:46|algorithm2_1|10noise|australian|0.32|{0, 1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 13}|14|12|0.5260869565217391|26.427712440490723|[0.84057971 0.86231884 0.82608696 0.86231884 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.80434783 0.84782609 0.8115942  0.83333333 0.80434783]|0.8478260869565217|0.8550724637681159|0.8202898550724639
2023-05-08 08:59:12|algorithm2_1|10noise|australian|0.34|{0, 1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 13}|14|12|0.5130434782608696|25.41461157798767|[0.84057971 0.86231884 0.82608696 0.86231884 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.81884058 0.84782609 0.81884058 0.83333333 0.8115942 ]|0.8478260869565217|0.8550724637681159|0.826086956521739
2023-05-08 08:59:36|algorithm2_1|10noise|australian|0.36000000000000004|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|14|12|0.5289855072463768|24.438182830810547|[0.84057971 0.85507246 0.80434783 0.86956522 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.85507246 0.85507246 0.84782609 0.82608696 0.83333333]|0.8434782608695652|0.8550724637681159|0.8434782608695652
2023-05-08 09:00:03|algorithm2_1|10noise|australian|0.38000000000000006|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13}|14|14|0.5202898550724637|26.30142045021057|[0.84057971 0.87681159 0.80434783 0.86956522 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.7826087  0.84782609 0.8115942  0.8115942  0.80434783]|0.8478260869565217|0.8550724637681159|0.8115942028985508
2023-05-08 09:00:26|algorithm2_1|10noise|australian|0.4000000000000001|{0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13}|14|12|0.5202898550724637|23.057701587677002|[0.84057971 0.86231884 0.80434783 0.86956522 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.82608696 0.84782609 0.8115942  0.83333333 0.81884058]|0.844927536231884|0.8550724637681159|0.827536231884058
