结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-08 10:32:08|algorithm2_1|10noise|data_banknote|0.02|{0, 3}|4|2|0.6326530612244898|7.375932931900024|[0.89818182 0.89818182 0.87956204 0.9270073  0.88321168]|[0.86545455 0.89818182 0.87591241 0.91240876 0.84671533]|[0.88       0.90181818 0.87956204 0.90875912 0.87226277]|0.8972289316522893|0.8797345719973457|0.8884804246848041
2023-05-08 10:32:17|algorithm2_1|10noise|data_banknote|0.04|{0, 1, 2, 3}|4|4|0.7346938775510204|9.024605989456177|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95620438 0.97445255]|0.998542800265428|0.9795912408759124|0.9744817518248174
2023-05-08 10:32:28|algorithm2_1|10noise|data_banknote|0.06|{0, 1, 2, 3}|4|4|0.771865889212828|10.627662181854248|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-08 10:32:41|algorithm2_1|10noise|data_banknote|0.08|{0, 1, 2, 3}|4|4|0.6720116618075802|12.062240839004517|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-08 10:32:53|algorithm2_1|10noise|data_banknote|0.1|{0, 1, 2, 3}|4|4|0.5058309037900874|12.61756157875061|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95620438 0.97445255]|0.998542800265428|0.9795912408759124|0.9744817518248174
2023-05-08 10:33:07|algorithm2_1|10noise|data_banknote|0.12000000000000001|{0, 1, 2, 3}|4|4|0.4358600583090379|13.643092155456543|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-08 10:33:21|algorithm2_1|10noise|data_banknote|0.14|{0, 1, 2, 3}|4|4|0.28717201166180756|12.941054821014404|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-08 10:33:33|algorithm2_1|10noise|data_banknote|0.16|{0, 1, 2, 3}|4|4|0.15743440233236153|12.619332551956177|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-08 10:33:46|algorithm2_1|10noise|data_banknote|0.18|{0, 1, 2, 3}|4|4|0.10568513119533528|12.065511703491211|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95620438 0.97445255]|0.998542800265428|0.9795912408759124|0.9744817518248174
2023-05-08 10:33:58|algorithm2_1|10noise|data_banknote|0.19999999999999998|{0, 1, 2, 3}|4|4|0.07580174927113703|11.603611707687378|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-08 10:34:09|algorithm2_1|10noise|data_banknote|0.21999999999999997|{0, 1, 2, 3}|4|4|0.02988338192419825|11.133229494094849|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95620438 0.97445255]|0.998542800265428|0.9795912408759124|0.9744817518248174
2023-05-08 10:34:22|algorithm2_1|10noise|data_banknote|0.23999999999999996|{0, 1, 2, 3}|4|4|0.008017492711370262|12.558043718338013|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95620438 0.97445255]|0.998542800265428|0.9795912408759124|0.9744817518248174
2023-05-08 10:34:36|algorithm2_1|10noise|data_banknote|0.25999999999999995|{0, 1, 2, 3}|4|4|0.008017492711370262|13.99121356010437|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-08 10:34:50|algorithm2_1|10noise|data_banknote|0.27999999999999997|{0, 1}|4|2|0.0|13.395870685577393|[0.92363636 0.91272727 0.95255474 0.9379562  0.91605839]|[0.89818182 0.89454545 0.87591241 0.87956204 0.83576642]|[0.92363636 0.93090909 0.95255474 0.9270073  0.91970803]|0.9285865958858659|0.8767936297279363|0.9307631055076311
2023-05-08 10:35:04|algorithm2_1|10noise|data_banknote|0.3|{0, 1}|4|2|0.0|13.550468444824219|[0.92363636 0.91272727 0.95255474 0.9379562  0.91605839]|[0.89818182 0.89454545 0.87591241 0.87956204 0.83576642]|[0.92363636 0.93090909 0.95255474 0.9270073  0.91970803]|0.9285865958858659|0.8767936297279363|0.9307631055076311
2023-05-08 10:35:18|algorithm2_1|10noise|data_banknote|0.32|{0, 1}|4|2|0.0|14.104506492614746|[0.92363636 0.91272727 0.95255474 0.9379562  0.91605839]|[0.89818182 0.89454545 0.87591241 0.87956204 0.83576642]|[0.92363636 0.93090909 0.95255474 0.9270073  0.91970803]|0.9285865958858659|0.8767936297279363|0.9307631055076311
2023-05-08 10:35:32|algorithm2_1|10noise|data_banknote|0.34|{0, 1}|4|2|0.0|13.561962366104126|[0.92363636 0.91272727 0.95255474 0.9379562  0.91605839]|[0.89818182 0.89454545 0.87591241 0.87956204 0.83576642]|[0.92363636 0.93090909 0.95255474 0.9270073  0.91970803]|0.9285865958858659|0.8767936297279363|0.9307631055076311
2023-05-08 10:35:46|algorithm2_1|10noise|data_banknote|0.36000000000000004|{0, 1}|4|2|0.0|12.97428011894226|[0.92363636 0.91272727 0.95255474 0.9379562  0.91605839]|[0.89818182 0.89454545 0.87591241 0.87956204 0.83576642]|[0.92363636 0.93090909 0.95255474 0.9270073  0.91970803]|0.9285865958858659|0.8767936297279363|0.9307631055076311
2023-05-08 10:35:59|algorithm2_1|10noise|data_banknote|0.38000000000000006|{0, 1}|4|2|0.0|12.714580297470093|[0.92363636 0.91272727 0.95255474 0.9379562  0.91605839]|[0.89818182 0.89454545 0.87591241 0.87956204 0.83576642]|[0.92363636 0.93090909 0.95255474 0.9270073  0.91970803]|0.9285865958858659|0.8767936297279363|0.9307631055076311
2023-05-08 10:36:11|algorithm2_1|10noise|data_banknote|0.4000000000000001|{0, 1}|4|2|0.0|11.72622275352478|[0.92363636 0.91272727 0.95255474 0.9379562  0.91605839]|[0.89818182 0.89454545 0.87591241 0.87956204 0.83576642]|[0.92363636 0.93090909 0.95255474 0.9270073  0.91970803]|0.9285865958858659|0.8767936297279363|0.9307631055076311
