结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-08 08:51:03|algorithm2_1|10noise|diamonds_filter|0.02|{1, 3}|4|2|0.38564273789649417|2.3086843490600586|[0.775      0.74166667 0.73333333 0.76666667 0.75630252]|[0.69166667 0.69166667 0.59166667 0.63333333 0.6302521 ]|[0.74166667 0.825      0.725      0.75833333 0.77310924]|0.754593837535014|0.647717086834734|0.7646218487394958
2023-05-08 08:51:06|algorithm2_1|10noise|diamonds_filter|0.04|{0, 1, 2, 3}|4|4|0.337228714524207|2.3730528354644775|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         1.         1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-08 08:51:08|algorithm2_1|10noise|diamonds_filter|0.06|{0, 1, 2, 3}|4|4|0.46410684474123537|2.386044979095459|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         1.         1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-08 08:51:11|algorithm2_1|10noise|diamonds_filter|0.08|{0, 1, 2, 3}|4|4|0.5392320534223706|2.3473129272460938|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         1.         1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-08 08:51:13|algorithm2_1|10noise|diamonds_filter|0.1|{0, 1, 2, 3}|4|4|0.6126878130217028|2.39585280418396|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         1.         1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-08 08:51:16|algorithm2_1|10noise|diamonds_filter|0.12000000000000001|{0, 1, 2, 3}|4|4|0.5659432387312187|2.4387850761413574|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1.         1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-08 08:51:18|algorithm2_1|10noise|diamonds_filter|0.14|{0, 1, 2, 3}|4|4|0.5308848080133556|2.2382261753082275|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1.         1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-08 08:51:20|algorithm2_1|10noise|diamonds_filter|0.16|{0, 1, 2, 3}|4|4|0.48247078464106846|2.308558464050293|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9966666666666667
2023-05-08 08:51:23|algorithm2_1|10noise|diamonds_filter|0.18|{0, 1, 2, 3}|4|4|0.4056761268781302|2.338865041732788|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1. 1. 1. 1. 1.]|0.9298879551820729|0.891470588235294|1.0
2023-05-08 08:51:25|algorithm2_1|10noise|diamonds_filter|0.19999999999999998|{0, 1, 2, 3}|4|4|0.32387312186978295|2.418210029602051|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1.         1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-08 08:51:28|algorithm2_1|10noise|diamonds_filter|0.21999999999999997|{0, 1, 2, 3}|4|4|0.2871452420701169|2.7521936893463135|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1. 1. 1. 1. 1.]|0.9298879551820729|0.891470588235294|1.0
2023-05-08 08:51:31|algorithm2_1|10noise|diamonds_filter|0.23999999999999996|{0, 1, 2, 3}|4|4|0.22036727879799667|2.80098557472229|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1. 1. 1. 1. 1.]|0.9298879551820729|0.891470588235294|1.0
2023-05-08 08:51:34|algorithm2_1|10noise|diamonds_filter|0.25999999999999995|{0, 1, 2, 3}|4|4|0.12353923205342238|2.791191577911377|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         1.         1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-08 08:51:37|algorithm2_1|10noise|diamonds_filter|0.27999999999999997|{0, 1, 2, 3}|4|4|0.08848080133555926|2.7883925437927246|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1.         1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-08 08:51:40|algorithm2_1|10noise|diamonds_filter|0.3|{0, 1, 2, 3}|4|4|0.06010016694490818|2.7274363040924072|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1.         1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-08 08:51:43|algorithm2_1|10noise|diamonds_filter|0.32|{0, 1, 2, 3}|4|4|0.04006677796327212|2.4834964275360107|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1. 1. 1. 1. 1.]|0.9298879551820729|0.891470588235294|1.0
2023-05-08 08:51:45|algorithm2_1|10noise|diamonds_filter|0.34|{0, 1, 2, 3}|4|4|0.038397328881469114|2.489931344985962|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1.         1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-08 08:51:48|algorithm2_1|10noise|diamonds_filter|0.36000000000000004|{0, 1, 2, 3}|4|4|0.04006677796327212|2.675959825515747|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9966666666666667
2023-05-08 08:51:51|algorithm2_1|10noise|diamonds_filter|0.38000000000000006|{0, 1, 2, 3}|4|4|0.0333889816360601|2.6962995529174805|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9966666666666667
2023-05-08 08:51:54|algorithm2_1|10noise|diamonds_filter|0.4000000000000001|{0, 1, 2, 3}|4|4|0.03672787979966611|2.805692434310913|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         1.         1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
