结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 23:21:48|algorithm2_1|10noise|fertility_Diagnosis|0.02|{1, 2}|9|2|0.58|0.32706594467163086|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.8  0.9  0.9  0.8  0.85]|0.8800000000000001|0.8800000000000001|0.85
2023-05-07 23:21:48|algorithm2_1|10noise|fertility_Diagnosis|0.04|{8, 2, 4, 6}|9|4|0.7|0.3331024646759033|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.85 0.9  0.85 0.7 ]|0.8800000000000001|0.8800000000000001|0.8099999999999999
2023-05-07 23:21:49|algorithm2_1|10noise|fertility_Diagnosis|0.06|{8, 2, 4, 6}|9|4|0.7|0.3689906597137451|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.85 0.9  0.85 0.7 ]|0.8800000000000001|0.8800000000000001|0.8099999999999999
2023-05-07 23:21:49|algorithm2_1|10noise|fertility_Diagnosis|0.08|{0, 1, 2, 4}|9|4|0.76|0.6099622249603271|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.8  0.7  0.5  0.85]|0.8800000000000001|0.8800000000000001|0.7500000000000001
2023-05-07 23:21:50|algorithm2_1|10noise|fertility_Diagnosis|0.1|{0, 1, 2, 4}|9|4|0.78|0.666926383972168|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.8  0.7  0.5  0.85]|0.8800000000000001|0.8800000000000001|0.7500000000000001
2023-05-07 23:21:50|algorithm2_1|10noise|fertility_Diagnosis|0.12000000000000001|{0, 1, 2, 4}|9|4|0.78|0.41185426712036133|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.8  0.7  0.55 0.9 ]|0.8800000000000001|0.8800000000000001|0.77
2023-05-07 23:21:51|algorithm2_1|10noise|fertility_Diagnosis|0.14|{0, 8, 4, 6}|9|4|0.8|0.3417482376098633|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.65 0.9  0.75 0.8 ]|0.8800000000000001|0.8800000000000001|0.7699999999999999
2023-05-07 23:21:51|algorithm2_1|10noise|fertility_Diagnosis|0.16|{0, 8, 4, 6}|9|4|0.8|0.42818355560302734|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.65 0.9  0.75 0.8 ]|0.8800000000000001|0.8800000000000001|0.7699999999999999
2023-05-07 23:21:52|algorithm2_1|10noise|fertility_Diagnosis|0.18|{0, 8, 4, 6}|9|4|0.8|0.4317166805267334|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.65 0.9  0.75 0.8 ]|0.8800000000000001|0.8800000000000001|0.7699999999999999
2023-05-07 23:21:52|algorithm2_1|10noise|fertility_Diagnosis|0.19999999999999998|{0, 8, 4, 6}|9|4|0.79|0.37830591201782227|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.65 0.9  0.75 0.8 ]|0.8800000000000001|0.8800000000000001|0.7699999999999999
2023-05-07 23:21:53|algorithm2_1|10noise|fertility_Diagnosis|0.21999999999999997|{0, 2, 4, 6}|9|4|0.71|0.6514708995819092|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.75 0.9  0.75 0.8 ]|0.8800000000000001|0.8800000000000001|0.82
2023-05-07 23:21:54|algorithm2_1|10noise|fertility_Diagnosis|0.23999999999999996|{0, 2, 4, 6}|9|4|0.71|0.7264721393585205|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.75 0.9  0.75 0.8 ]|0.8800000000000001|0.8800000000000001|0.82
2023-05-07 23:21:55|algorithm2_1|10noise|fertility_Diagnosis|0.25999999999999995|{0, 1, 5, 6}|9|4|0.72|1.286245346069336|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.75 0.75 0.55 0.85]|0.8800000000000001|0.8800000000000001|0.73
2023-05-07 23:21:56|algorithm2_1|10noise|fertility_Diagnosis|0.27999999999999997|{0, 1, 2, 7}|9|4|0.7|0.689415693283081|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.85 0.65 0.55 0.85]|0.8800000000000001|0.8800000000000001|0.73
2023-05-07 23:21:57|algorithm2_1|10noise|fertility_Diagnosis|0.3|{0, 1, 2, 7}|9|4|0.73|0.8610372543334961|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.85 0.65 0.6  0.85]|0.8800000000000001|0.8800000000000001|0.74
2023-05-07 23:21:57|algorithm2_1|10noise|fertility_Diagnosis|0.32|{0, 2, 6, 7}|9|4|0.71|0.7221498489379883|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.65 0.9  0.75 0.85]|0.8800000000000001|0.8800000000000001|0.8099999999999999
2023-05-07 23:21:58|algorithm2_1|10noise|fertility_Diagnosis|0.34|{0, 2, 3, 7}|9|4|0.69|0.7323129177093506|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.85 0.8  0.9  0.85 0.85]|0.8800000000000001|0.8800000000000001|0.85
2023-05-07 23:21:59|algorithm2_1|10noise|fertility_Diagnosis|0.36000000000000004|{0, 2, 3, 7}|9|4|0.69|0.7233219146728516|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.85 0.8  0.9  0.85 0.85]|0.8800000000000001|0.8800000000000001|0.85
2023-05-07 23:22:00|algorithm2_1|10noise|fertility_Diagnosis|0.38000000000000006|{0, 2, 3, 7}|9|4|0.69|0.751375675201416|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.85 0.8  0.9  0.85 0.85]|0.8800000000000001|0.8800000000000001|0.85
2023-05-07 23:22:00|algorithm2_1|10noise|fertility_Diagnosis|0.4000000000000001|{0, 4, 6, 7}|9|4|0.75|0.7498188018798828|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.7  0.8  0.75 0.85]|0.8800000000000001|0.8800000000000001|0.8
