结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-08 00:17:09|algorithm2_1|10noise|movement|0.02|{56, 51}|90|2|0.4388888888888889|177.61832547187805|[0.23611111 0.26388889 0.29166667 0.15277778 0.15277778]|[0.18055556 0.19444444 0.19444444 0.19444444 0.15277778]|[0.18055556 0.29166667 0.16666667 0.125      0.125     ]|0.21944444444444447|0.18333333333333332|0.17777777777777776
2023-05-08 00:20:55|algorithm2_1|10noise|movement|0.04|{81, 51, 25, 49}|90|4|0.3416666666666667|225.51412963867188|[0.38888889 0.30555556 0.30555556 0.36111111 0.375     ]|[0.23611111 0.26388889 0.29166667 0.34722222 0.43055556]|[0.22222222 0.27777778 0.26388889 0.33333333 0.27777778]|0.3472222222222222|0.3138888888888889|0.275
2023-05-08 00:24:47|algorithm2_1|10noise|movement|0.06|{49, 51, 84, 31}|90|4|0.425|232.37937355041504|[0.375      0.34722222 0.48611111 0.47222222 0.31944444]|[0.36111111 0.29166667 0.34722222 0.36111111 0.31944444]|[0.40277778 0.40277778 0.31944444 0.19444444 0.31944444]|0.39999999999999997|0.33611111111111114|0.3277777777777778
2023-05-08 00:28:49|algorithm2_1|10noise|movement|0.08|{49, 82, 51, 4}|90|4|0.46111111111111114|241.48996019363403|[0.31944444 0.27777778 0.54166667 0.34722222 0.23611111]|[0.27777778 0.26388889 0.31944444 0.31944444 0.19444444]|[0.33333333 0.20833333 0.40277778 0.30555556 0.22222222]|0.34444444444444444|0.275|0.29444444444444445
2023-05-08 00:33:01|algorithm2_1|10noise|movement|0.1|{88, 65, 51, 12}|90|4|0.4527777777777778|251.97079133987427|[0.40277778 0.41666667 0.59722222 0.38888889 0.33333333]|[0.375      0.30555556 0.40277778 0.29166667 0.26388889]|[0.31944444 0.45833333 0.45833333 0.26388889 0.19444444]|0.42777777777777776|0.32777777777777783|0.33888888888888885
2023-05-08 00:37:59|algorithm2_1|10noise|movement|0.12000000000000001|{49, 35, 51, 10, 44, 30}|90|6|0.48333333333333334|297.5947279930115|[0.55555556 0.51388889 0.61111111 0.51388889 0.40277778]|[0.48611111 0.30555556 0.43055556 0.47222222 0.38888889]|[0.43055556 0.30555556 0.41666667 0.36111111 0.375     ]|0.5194444444444445|0.4166666666666667|0.3777777777777778
2023-05-08 00:43:00|algorithm2_1|10noise|movement|0.14|{16, 65, 82, 51, 49, 44}|90|6|0.5222222222222223|301.3241868019104|[0.40277778 0.38888889 0.55555556 0.375      0.375     ]|[0.36111111 0.34722222 0.44444444 0.38888889 0.29166667]|[0.38888889 0.30555556 0.43055556 0.19444444 0.20833333]|0.41944444444444445|0.36666666666666664|0.3055555555555555
2023-05-08 00:48:11|algorithm2_1|10noise|movement|0.16|{17, 67, 51, 54, 43, 30}|90|6|0.5277777777777778|310.27734208106995|[0.44444444 0.44444444 0.54166667 0.44444444 0.40277778]|[0.41666667 0.41666667 0.41666667 0.48611111 0.43055556]|[0.36111111 0.31944444 0.36111111 0.36111111 0.40277778]|0.45555555555555555|0.4333333333333334|0.36111111111111116
2023-05-08 00:53:28|algorithm2_1|10noise|movement|0.18|{4, 37, 75, 60, 61, 14}|90|6|0.5666666666666667|317.1969425678253|[0.55555556 0.52777778 0.55555556 0.48611111 0.47222222]|[0.48611111 0.38888889 0.48611111 0.48611111 0.30555556]|[0.44444444 0.36111111 0.41666667 0.33333333 0.38888889]|0.5194444444444445|0.4305555555555555|0.3888888888888889
2023-05-08 00:59:26|algorithm2_1|10noise|movement|0.19999999999999998|{33, 4, 21, 30, 56, 57, 75, 14}|90|8|0.5861111111111111|357.64408254623413|[0.61111111 0.52777778 0.69444444 0.48611111 0.47222222]|[0.55555556 0.47222222 0.47222222 0.61111111 0.54166667]|[0.40277778 0.20833333 0.41666667 0.33333333 0.26388889]|0.5583333333333333|0.5305555555555556|0.325
