结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-08 02:17:15|algorithm2_1|10noise|vote|0.02|{0, 1, 3, 8, 9, 10, 14, 15}|16|8|0.5494252873563218|12.612214803695679|[0.93103448 0.90804598 0.93103448 0.91954023 0.95402299]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.97701149 0.95402299 0.96551724 0.96551724 0.95402299]|0.9287356321839079|0.9563218390804596|0.9632183908045977
2023-05-08 02:17:28|algorithm2_1|10noise|vote|0.04|{0, 1, 3, 8, 9, 10, 14, 15}|16|8|0.5494252873563218|12.870778799057007|[0.93103448 0.90804598 0.93103448 0.91954023 0.95402299]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.97701149 0.95402299 0.96551724 0.96551724 0.94252874]|0.9287356321839079|0.9563218390804596|0.9609195402298851
2023-05-08 02:17:41|algorithm2_1|10noise|vote|0.06|{0, 1, 3, 8, 9, 10, 14, 15}|16|8|0.5494252873563218|12.37281584739685|[0.93103448 0.90804598 0.93103448 0.91954023 0.95402299]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.97701149 0.95402299 0.96551724 0.96551724 0.94252874]|0.9287356321839079|0.9563218390804596|0.9609195402298851
2023-05-08 02:17:53|algorithm2_1|10noise|vote|0.08|{0, 1, 3, 8, 9, 10, 14, 15}|16|8|0.5494252873563218|12.64691948890686|[0.93103448 0.90804598 0.93103448 0.91954023 0.95402299]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.97701149 0.95402299 0.96551724 0.96551724 0.95402299]|0.9287356321839079|0.9563218390804596|0.9632183908045977
2023-05-08 02:18:06|algorithm2_1|10noise|vote|0.1|{0, 1, 3, 8, 9, 10, 14, 15}|16|8|0.5494252873563218|12.55136251449585|[0.93103448 0.90804598 0.93103448 0.91954023 0.95402299]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.97701149 0.95402299 0.96551724 0.96551724 0.93103448]|0.9287356321839079|0.9563218390804596|0.9586206896551724
2023-05-08 02:18:18|algorithm2_1|10noise|vote|0.12000000000000001|{0, 1, 3, 8, 9, 10, 14, 15}|16|8|0.5494252873563218|12.192077159881592|[0.93103448 0.90804598 0.93103448 0.91954023 0.95402299]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.97701149 0.95402299 0.96551724 0.96551724 0.94252874]|0.9287356321839079|0.9563218390804596|0.9609195402298851
2023-05-08 02:18:31|algorithm2_1|10noise|vote|0.14|{0, 1, 3, 8, 9, 10, 14, 15}|16|8|0.5494252873563218|12.426445960998535|[0.93103448 0.90804598 0.93103448 0.91954023 0.95402299]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.97701149 0.95402299 0.96551724 0.96551724 0.94252874]|0.9287356321839079|0.9563218390804596|0.9609195402298851
2023-05-08 02:18:43|algorithm2_1|10noise|vote|0.16|{0, 1, 3, 8, 9, 10, 14, 15}|16|8|0.5494252873563218|12.030609130859375|[0.93103448 0.90804598 0.93103448 0.91954023 0.95402299]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.97701149 0.95402299 0.96551724 0.96551724 0.94252874]|0.9287356321839079|0.9563218390804596|0.9609195402298851
2023-05-08 02:18:55|algorithm2_1|10noise|vote|0.18|{0, 1, 3, 8, 9, 10, 14, 15}|16|8|0.5494252873563218|12.463483095169067|[0.93103448 0.90804598 0.93103448 0.91954023 0.95402299]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.97701149 0.95402299 0.96551724 0.96551724 0.94252874]|0.9287356321839079|0.9563218390804596|0.9609195402298851
2023-05-08 02:19:07|algorithm2_1|10noise|vote|0.19999999999999998|{0, 1, 3, 8, 9, 10, 14, 15}|16|8|0.5494252873563218|11.919061422348022|[0.93103448 0.90804598 0.93103448 0.91954023 0.95402299]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.97701149 0.95402299 0.96551724 0.96551724 0.93103448]|0.9287356321839079|0.9563218390804596|0.9586206896551724
2023-05-08 02:19:19|algorithm2_1|10noise|vote|0.21999999999999997|{0, 1, 3, 8, 9, 10, 14, 15}|16|8|0.5494252873563218|11.893080234527588|[0.93103448 0.90804598 0.93103448 0.91954023 0.95402299]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.97701149 0.95402299 0.96551724 0.96551724 0.93103448]|0.9287356321839079|0.9563218390804596|0.9586206896551724
2023-05-08 02:19:31|algorithm2_1|10noise|vote|0.23999999999999996|{0, 1, 3, 8, 9, 10, 14, 15}|16|8|0.5494252873563218|11.838457822799683|[0.93103448 0.90804598 0.93103448 0.91954023 0.95402299]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.97701149 0.95402299 0.96551724 0.96551724 0.95402299]|0.9287356321839079|0.9563218390804596|0.9632183908045977
2023-05-08 02:19:43|algorithm2_1|10noise|vote|0.25999999999999995|{0, 1, 3, 8, 9, 10, 14, 15}|16|8|0.5494252873563218|11.889039278030396|[0.93103448 0.90804598 0.93103448 0.91954023 0.95402299]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.97701149 0.95402299 0.96551724 0.96551724 0.95402299]|0.9287356321839079|0.9563218390804596|0.9632183908045977
2023-05-08 02:19:55|algorithm2_1|10noise|vote|0.27999999999999997|{0, 1, 3, 8, 9, 10, 14, 15}|16|8|0.5494252873563218|12.112632751464844|[0.93103448 0.90804598 0.93103448 0.91954023 0.95402299]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.97701149 0.95402299 0.96551724 0.96551724 0.95402299]|0.9287356321839079|0.9563218390804596|0.9632183908045977
2023-05-08 02:20:07|algorithm2_1|10noise|vote|0.3|{0, 1, 3, 8, 9, 10, 14, 15}|16|8|0.5494252873563218|11.840656280517578|[0.93103448 0.90804598 0.93103448 0.91954023 0.95402299]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.97701149 0.95402299 0.96551724 0.96551724 0.95402299]|0.9287356321839079|0.9563218390804596|0.9632183908045977
2023-05-08 02:20:19|algorithm2_1|10noise|vote|0.32|{0, 1, 3, 8, 9, 10, 14, 15}|16|8|0.5494252873563218|11.788346290588379|[0.93103448 0.90804598 0.93103448 0.91954023 0.95402299]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.97701149 0.95402299 0.96551724 0.96551724 0.94252874]|0.9287356321839079|0.9563218390804596|0.9609195402298851
2023-05-08 02:20:32|algorithm2_1|10noise|vote|0.34|{0, 1, 3, 8, 9, 10, 14, 15}|16|8|0.5494252873563218|12.219106197357178|[0.93103448 0.90804598 0.93103448 0.91954023 0.95402299]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.97701149 0.95402299 0.96551724 0.96551724 0.95402299]|0.9287356321839079|0.9563218390804596|0.9632183908045977
2023-05-08 02:20:44|algorithm2_1|10noise|vote|0.36000000000000004|{0, 1, 3, 8, 9, 10, 14, 15}|16|8|0.5494252873563218|11.981101989746094|[0.93103448 0.90804598 0.93103448 0.91954023 0.95402299]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.97701149 0.95402299 0.96551724 0.96551724 0.93103448]|0.9287356321839079|0.9563218390804596|0.9586206896551724
