结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 23:22:40|algorithm2_1|10noise|wine|0.02|{8, 1}|13|2|0.43258426966292135|2.0804848670959473|[0.55555556 0.63888889 0.5        0.82857143 0.71428571]|[0.58333333 0.47222222 0.41666667 0.6        0.54285714]|[0.5        0.69444444 0.44444444 0.65714286 0.65714286]|0.6474603174603175|0.523015873015873|0.5906349206349206
2023-05-07 23:22:43|algorithm2_1|10noise|wine|0.04|{2, 6}|13|2|0.6235955056179775|2.1678996086120605|[0.91666667 0.69444444 0.77777778 0.8        0.85714286]|[0.86111111 0.75       0.86111111 0.82857143 0.88571429]|[0.86111111 0.69444444 0.75       0.77142857 0.8       ]|0.8092063492063492|0.8373015873015873|0.7753968253968253
2023-05-07 23:22:45|algorithm2_1|10noise|wine|0.06|{2, 6}|13|2|0.47752808988764045|2.255349636077881|[0.91666667 0.69444444 0.77777778 0.8        0.85714286]|[0.86111111 0.75       0.86111111 0.82857143 0.88571429]|[0.86111111 0.69444444 0.75       0.8        0.8       ]|0.8092063492063492|0.8373015873015873|0.781111111111111
2023-05-07 23:22:48|algorithm2_1|10noise|wine|0.08|{2, 4, 5, 6}|13|4|0.4438202247191011|2.772423028945923|[0.77777778 0.72222222 0.86111111 0.77142857 0.94285714]|[0.75       0.77777778 0.80555556 0.71428571 0.85714286]|[0.91666667 0.83333333 0.83333333 0.8        0.85714286]|0.8150793650793651|0.780952380952381|0.8480952380952381
2023-05-07 23:22:51|algorithm2_1|10noise|wine|0.1|{10, 2, 4, 6}|13|4|0.5280898876404494|2.8125131130218506|[0.88888889 0.80555556 0.86111111 0.82857143 0.94285714]|[0.83333333 0.77777778 0.83333333 0.85714286 0.94285714]|[0.94444444 0.91666667 0.83333333 0.85714286 0.88571429]|0.8653968253968254|0.8488888888888889|0.8874603174603175
2023-05-07 23:22:53|algorithm2_1|10noise|wine|0.12000000000000001|{10, 2, 4, 6}|13|4|0.6348314606741573|2.7866435050964355|[0.88888889 0.80555556 0.86111111 0.82857143 0.94285714]|[0.83333333 0.77777778 0.83333333 0.85714286 0.94285714]|[0.94444444 0.91666667 0.83333333 0.85714286 0.91428571]|0.8653968253968254|0.8488888888888889|0.8931746031746032
2023-05-07 23:22:56|algorithm2_1|10noise|wine|0.14|{10, 2, 4, 6}|13|4|0.6853932584269663|2.6922800540924072|[0.88888889 0.80555556 0.86111111 0.82857143 0.94285714]|[0.83333333 0.77777778 0.83333333 0.85714286 0.94285714]|[0.94444444 0.94444444 0.83333333 0.85714286 0.88571429]|0.8653968253968254|0.8488888888888889|0.893015873015873
2023-05-07 23:22:59|algorithm2_1|10noise|wine|0.16|{1, 10, 4, 12}|13|4|0.6685393258426966|2.733680009841919|[0.91666667 0.80555556 0.80555556 0.82857143 0.91428571]|[0.88888889 0.83333333 0.83333333 0.88571429 0.91428571]|[0.91666667 0.94444444 0.86111111 0.8        0.82857143]|0.8541269841269841|0.8711111111111112|0.8701587301587301
2023-05-07 23:23:02|algorithm2_1|10noise|wine|0.18|{1, 10, 2, 12}|13|4|0.6460674157303371|2.7792298793792725|[0.86111111 0.75       0.83333333 0.91428571 0.85714286]|[0.88888889 0.72222222 0.80555556 0.88571429 0.88571429]|[0.88888889 0.77777778 0.80555556 0.85714286 0.82857143]|0.8431746031746032|0.8376190476190477|0.8315873015873017
2023-05-07 23:23:05|algorithm2_1|10noise|wine|0.19999999999999998|{0, 10, 11, 4}|13|4|0.6966292134831461|2.8046951293945312|[1.         1.         0.80555556 0.85714286 0.85714286]|[0.94444444 0.97222222 0.80555556 0.85714286 0.94285714]|[0.97222222 1.         0.94444444 0.82857143 0.97142857]|0.903968253968254|0.9044444444444444|0.9433333333333334
2023-05-07 23:23:08|algorithm2_1|10noise|wine|0.21999999999999997|{0, 1, 4, 7, 9, 11}|13|6|0.5786516853932584|3.152111291885376|[0.97222222 1.         0.83333333 0.85714286 0.97142857]|[0.94444444 0.97222222 0.91666667 0.85714286 0.91428571]|[0.97222222 0.94444444 0.86111111 0.8        0.88571429]|0.9268253968253969|0.9209523809523809|0.8926984126984128
2023-05-07 23:23:11|algorithm2_1|10noise|wine|0.23999999999999996|{0, 4, 7, 9, 10, 11}|13|6|0.6685393258426966|3.1114625930786133|[1.         1.         0.86111111 0.82857143 0.94285714]|[0.94444444 1.         0.88888889 0.82857143 0.91428571]|[0.91666667 0.94444444 0.94444444 0.91428571 0.88571429]|0.9265079365079366|0.9152380952380952|0.921111111111111
