结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 19:44:35|algorithm2_1|1fold|BreastCancer|0.02|{8, 0, 5, 6}|9|4|0.6636851520572451|2.876030683517456|[0.94285714 0.98571429 0.93571429 0.94285714 0.97122302]|[0.95714286 0.97857143 0.94285714 0.93571429 0.97122302]|[0.92857143 0.97142857 0.95714286 0.92857143 0.96402878]|0.9556731757451182|0.9571017471736896|0.9499486125385406
2023-05-11 19:44:38|algorithm2_1|1fold|BreastCancer|0.04|{8, 0, 5, 6}|9|4|0.6636851520572451|2.905661106109619|[0.94285714 0.98571429 0.93571429 0.94285714 0.97122302]|[0.95714286 0.97857143 0.94285714 0.93571429 0.97122302]|[0.92857143 0.97142857 0.95714286 0.92857143 0.96402878]|0.9556731757451182|0.9571017471736896|0.9499486125385406
2023-05-11 19:44:41|algorithm2_1|1fold|BreastCancer|0.06|{8, 0, 5, 6}|9|4|0.6636851520572451|2.893173933029175|[0.94285714 0.98571429 0.93571429 0.94285714 0.97122302]|[0.95714286 0.97857143 0.94285714 0.93571429 0.97122302]|[0.92857143 0.95714286 0.95714286 0.92857143 0.96402878]|0.9556731757451182|0.9571017471736896|0.9470914696813978
2023-05-11 19:44:44|algorithm2_1|1fold|BreastCancer|0.08|{8, 0, 5, 6}|9|4|0.6636851520572451|2.9252705574035645|[0.94285714 0.98571429 0.93571429 0.94285714 0.97122302]|[0.95714286 0.97857143 0.94285714 0.93571429 0.97122302]|[0.92857143 0.95714286 0.95714286 0.92857143 0.96402878]|0.9556731757451182|0.9571017471736896|0.9470914696813978
2023-05-11 19:44:46|algorithm2_1|1fold|BreastCancer|0.1|{8, 0, 5, 6}|9|4|0.6636851520572451|2.8301124572753906|[0.94285714 0.98571429 0.93571429 0.94285714 0.97122302]|[0.95714286 0.97857143 0.94285714 0.93571429 0.97122302]|[0.92857143 0.97142857 0.95714286 0.92857143 0.96402878]|0.9556731757451182|0.9571017471736896|0.9499486125385406
2023-05-11 19:44:50|algorithm2_1|1fold|BreastCancer|0.12000000000000001|{0, 8, 4, 5}|9|4|0.8193202146690519|3.075798511505127|[0.95       0.97142857 0.94285714 0.94285714 0.98561151]|[0.94285714 0.97142857 0.95       0.94285714 0.99280576]|[0.94285714 0.95714286 0.94285714 0.95       0.97841727]|0.9585508735868448|0.9599897225077081|0.9542548818088387
2023-05-11 19:44:53|algorithm2_1|1fold|BreastCancer|0.14|{0, 8, 4, 5}|9|4|0.8193202146690519|3.0625216960906982|[0.95       0.97142857 0.94285714 0.94285714 0.98561151]|[0.94285714 0.97142857 0.95       0.94285714 0.99280576]|[0.94285714 0.95714286 0.94285714 0.95       0.97841727]|0.9585508735868448|0.9599897225077081|0.9542548818088387
2023-05-11 19:44:56|algorithm2_1|1fold|BreastCancer|0.16|{0, 8, 4, 5}|9|4|0.853309481216458|3.1177518367767334|[0.95       0.97142857 0.94285714 0.94285714 0.98561151]|[0.94285714 0.97142857 0.95       0.94285714 0.99280576]|[0.94285714 0.96428571 0.94285714 0.95       0.97841727]|0.9585508735868448|0.9599897225077081|0.9556834532374101
2023-05-11 19:44:59|algorithm2_1|1fold|BreastCancer|0.18|{0, 8, 4, 5}|9|4|0.853309481216458|3.104917049407959|[0.95       0.97142857 0.94285714 0.94285714 0.98561151]|[0.94285714 0.97142857 0.95       0.94285714 0.99280576]|[0.94285714 0.95714286 0.94285714 0.95       0.97841727]|0.9585508735868448|0.9599897225077081|0.9542548818088387
2023-05-11 19:45:02|algorithm2_1|1fold|BreastCancer|0.19999999999999998|{0, 8, 4, 5}|9|4|0.8694096601073346|3.137282133102417|[0.95       0.97142857 0.94285714 0.94285714 0.98561151]|[0.94285714 0.97142857 0.95       0.94285714 0.99280576]|[0.94285714 0.95714286 0.94285714 0.95       0.97841727]|0.9585508735868448|0.9599897225077081|0.9542548818088387
2023-05-11 19:45:05|algorithm2_1|1fold|BreastCancer|0.21999999999999997|{0, 8, 4, 5}|9|4|0.8694096601073346|3.1144602298736572|[0.95       0.97142857 0.94285714 0.94285714 0.98561151]|[0.94285714 0.97142857 0.95       0.94285714 0.99280576]|[0.94285714 0.96428571 0.94285714 0.95       0.97841727]|0.9585508735868448|0.9599897225077081|0.9556834532374101
2023-05-11 19:45:09|algorithm2_1|1fold|BreastCancer|0.23999999999999996|{0, 3, 4, 5}|9|4|0.9266547406082289|3.2034401893615723|[0.95       0.97142857 0.94285714 0.95714286 0.99280576]|[0.95       0.97142857 0.95       0.95714286 0.98561151]|[0.94285714 0.95       0.94285714 0.95714286 0.99280576]|0.962846865364851|0.9628365878725591|0.9571325796505652
2023-05-11 19:45:12|algorithm2_1|1fold|BreastCancer|0.25999999999999995|{8, 0, 2, 5}|9|4|0.9230769230769231|3.234124183654785|[0.95714286 0.97857143 0.92857143 0.95       0.97841727]|[0.95714286 0.98571429 0.94285714 0.95714286 0.97841727]|[0.91428571 0.97142857 0.94285714 0.92142857 0.94964029]|0.9585405960945529|0.9642548818088388|0.9399280575539567
2023-05-11 19:45:15|algorithm2_1|1fold|BreastCancer|0.27999999999999997|{8, 0, 2, 5}|9|4|0.9194991055456172|3.2255184650421143|[0.95714286 0.97857143 0.92857143 0.95       0.97841727]|[0.95714286 0.98571429 0.94285714 0.95714286 0.97841727]|[0.91428571 0.97142857 0.94285714 0.92142857 0.94964029]|0.9585405960945529|0.9642548818088388|0.9399280575539567
2023-05-11 19:45:18|algorithm2_1|1fold|BreastCancer|0.3|{8, 0, 2, 5}|9|4|0.9123434704830053|3.2480075359344482|[0.95714286 0.97857143 0.92857143 0.95       0.97841727]|[0.95714286 0.98571429 0.94285714 0.95714286 0.97841727]|[0.91428571 0.97142857 0.94285714 0.92142857 0.94964029]|0.9585405960945529|0.9642548818088388|0.9399280575539567
2023-05-11 19:45:22|algorithm2_1|1fold|BreastCancer|0.32|{0, 3, 4, 5, 6, 8}|9|6|0.8461538461538461|3.4537556171417236|[0.96428571 0.97857143 0.94285714 0.95       0.97841727]|[0.97142857 0.97857143 0.95714286 0.95714286 0.97122302]|[0.92857143 0.92857143 0.92857143 0.95714286 0.96402878]|0.9628263103802672|0.9671017471736896|0.9413771839671121
2023-05-11 19:45:25|algorithm2_1|1fold|BreastCancer|0.34|{0, 4, 5, 6}|9|4|0.9445438282647585|3.216625213623047|[0.96428571 0.97857143 0.95       0.95       0.97122302]|[0.97142857 0.98571429 0.94285714 0.96428571 0.97122302]|[0.91428571 0.94285714 0.94285714 0.95714286 0.95683453]|0.9628160328879753|0.9671017471736898|0.9427954779033916
2023-05-11 19:45:29|algorithm2_1|1fold|BreastCancer|0.36000000000000004|{0, 4, 5, 6}|9|4|0.9463327370304114|3.2517623901367188|[0.96428571 0.97857143 0.95       0.95       0.97122302]|[0.97142857 0.98571429 0.94285714 0.96428571 0.97122302]|[0.94285714 0.94285714 0.94285714 0.95714286 0.95683453]|0.9628160328879753|0.9671017471736898|0.9485097636176774
2023-05-11 19:45:32|algorithm2_1|1fold|BreastCancer|0.38000000000000006|{0, 4, 5, 6}|9|4|0.9427549194991055|3.281106472015381|[0.96428571 0.97857143 0.95       0.95       0.97122302]|[0.97142857 0.98571429 0.94285714 0.96428571 0.97122302]|[0.92857143 0.94285714 0.94285714 0.95714286 0.95683453]|0.9628160328879753|0.9671017471736898|0.9456526207605345
2023-05-11 19:45:35|algorithm2_1|1fold|BreastCancer|0.4000000000000001|{0, 4, 5, 6}|9|4|0.9391771019677997|3.2333884239196777|[0.96428571 0.97857143 0.95       0.95       0.97122302]|[0.97142857 0.98571429 0.94285714 0.96428571 0.97122302]|[0.92857143 0.94285714 0.94285714 0.95714286 0.96402878]|0.9628160328879753|0.9671017471736898|0.9470914696813978
