结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 16:02:03|algorithm2_1|1fold|BreastTissue|0.02|{2, 5}|9|2|0.2857142857142857|0.4878525733947754|[0.5        0.42857143 0.47619048 0.28571429 0.33333333]|[0.54545455 0.38095238 0.38095238 0.38095238 0.42857143]|[0.54545455 0.47619048 0.47619048 0.61904762 0.42857143]|0.40476190476190477|0.4233766233766233|0.509090909090909
2023-05-11 16:02:03|algorithm2_1|1fold|BreastTissue|0.04|{1, 3, 5, 6}|9|4|0.34523809523809523|0.5496015548706055|[0.59090909 0.61904762 0.61904762 0.61904762 0.52380952]|[0.54545455 0.52380952 0.38095238 0.42857143 0.52380952]|[0.59090909 0.66666667 0.52380952 0.61904762 0.52380952]|0.5943722943722943|0.4805194805194805|0.5848484848484848
2023-05-11 16:02:04|algorithm2_1|1fold|BreastTissue|0.06|{2, 6}|9|2|0.32142857142857145|0.46573543548583984|[0.5        0.42857143 0.52380952 0.47619048 0.38095238]|[0.54545455 0.38095238 0.42857143 0.38095238 0.42857143]|[0.5        0.47619048 0.42857143 0.42857143 0.28571429]|0.46190476190476193|0.4329004329004329|0.4238095238095238
2023-05-11 16:02:04|algorithm2_1|1fold|BreastTissue|0.08|{1, 5}|9|2|0.30952380952380953|0.431180477142334|[0.5        0.47619048 0.47619048 0.52380952 0.47619048]|[0.45454545 0.38095238 0.38095238 0.38095238 0.42857143]|[0.59090909 0.66666667 0.52380952 0.57142857 0.52380952]|0.4904761904761905|0.40519480519480516|0.5753246753246752
2023-05-11 16:02:05|algorithm2_1|1fold|BreastTissue|0.1|{0, 5}|9|2|0.3333333333333333|0.4559967517852783|[0.77272727 0.57142857 0.42857143 0.52380952 0.52380952]|[0.45454545 0.38095238 0.38095238 0.38095238 0.42857143]|[0.54545455 0.66666667 0.57142857 0.57142857 0.47619048]|0.564069264069264|0.40519480519480516|0.5662337662337662
2023-05-11 16:02:05|algorithm2_1|1fold|BreastTissue|0.12000000000000001|{0, 5}|9|2|0.3333333333333333|0.4331789016723633|[0.77272727 0.57142857 0.42857143 0.52380952 0.52380952]|[0.45454545 0.38095238 0.38095238 0.38095238 0.42857143]|[0.5        0.66666667 0.57142857 0.57142857 0.52380952]|0.564069264069264|0.40519480519480516|0.5666666666666667
2023-05-11 16:02:06|algorithm2_1|1fold|BreastTissue|0.14|{0, 2}|9|2|0.32142857142857145|0.4317445755004883|[0.68181818 0.57142857 0.52380952 0.61904762 0.52380952]|[0.59090909 0.61904762 0.52380952 0.52380952 0.47619048]|[0.5        0.61904762 0.66666667 0.66666667 0.33333333]|0.5839826839826839|0.5467532467532468|0.5571428571428572
2023-05-11 16:02:06|algorithm2_1|1fold|BreastTissue|0.16|{0, 2}|9|2|0.3333333333333333|0.44395971298217773|[0.68181818 0.57142857 0.52380952 0.61904762 0.52380952]|[0.59090909 0.61904762 0.52380952 0.52380952 0.47619048]|[0.5        0.61904762 0.66666667 0.66666667 0.33333333]|0.5839826839826839|0.5467532467532468|0.5571428571428572
2023-05-11 16:02:07|algorithm2_1|1fold|BreastTissue|0.18|{0, 1, 2, 3}|9|4|0.36904761904761907|0.5350451469421387|[0.68181818 0.52380952 0.61904762 0.66666667 0.61904762]|[0.63636364 0.61904762 0.47619048 0.52380952 0.42857143]|[0.5        0.61904762 0.76190476 0.71428571 0.33333333]|0.6220779220779221|0.5367965367965367|0.5857142857142857
2023-05-11 16:02:07|algorithm2_1|1fold|BreastTissue|0.19999999999999998|{0, 1, 2, 5}|9|4|0.2976190476190476|0.6320528984069824|[0.77272727 0.66666667 0.66666667 0.61904762 0.52380952]|[0.59090909 0.61904762 0.47619048 0.52380952 0.42857143]|[0.68181818 0.57142857 0.61904762 0.61904762 0.42857143]|0.6497835497835498|0.5277056277056277|0.5839826839826839
2023-05-11 16:02:08|algorithm2_1|1fold|BreastTissue|0.21999999999999997|{0, 1, 2, 5}|9|4|0.30952380952380953|0.5168130397796631|[0.77272727 0.66666667 0.66666667 0.61904762 0.52380952]|[0.59090909 0.61904762 0.47619048 0.52380952 0.42857143]|[0.68181818 0.57142857 0.61904762 0.61904762 0.47619048]|0.6497835497835498|0.5277056277056277|0.5935064935064935
2023-05-11 16:02:09|algorithm2_1|1fold|BreastTissue|0.23999999999999996|{0, 1, 2, 5}|9|4|0.35714285714285715|0.6582121849060059|[0.77272727 0.66666667 0.66666667 0.61904762 0.52380952]|[0.59090909 0.61904762 0.47619048 0.52380952 0.42857143]|[0.68181818 0.57142857 0.61904762 0.61904762 0.47619048]|0.6497835497835498|0.5277056277056277|0.5935064935064935
2023-05-11 16:02:10|algorithm2_1|1fold|BreastTissue|0.25999999999999995|{0, 1, 2, 3}|9|4|0.3333333333333333|0.8408064842224121|[0.68181818 0.52380952 0.61904762 0.66666667 0.61904762]|[0.63636364 0.61904762 0.47619048 0.52380952 0.42857143]|[0.5        0.61904762 0.76190476 0.66666667 0.33333333]|0.6220779220779221|0.5367965367965367|0.5761904761904761
2023-05-11 16:02:11|algorithm2_1|1fold|BreastTissue|0.27999999999999997|{0, 2, 3, 4}|9|4|0.34523809523809523|0.9551968574523926|[0.68181818 0.57142857 0.61904762 0.61904762 0.52380952]|[0.63636364 0.61904762 0.52380952 0.52380952 0.47619048]|[0.59090909 0.52380952 0.61904762 0.71428571 0.42857143]|0.603030303030303|0.5558441558441558|0.5753246753246752
