结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 19:52:59|algorithm2_1|1fold|Vehicle|0.02|{8, 15}|18|2|0.42159763313609466|9.325741529464722|[0.54117647 0.52071006 0.47337278 0.53254438 0.43195266]|[0.31764706 0.37869822 0.33727811 0.35502959 0.34319527]|[0.54117647 0.50295858 0.50295858 0.59763314 0.47337278]|0.499951270449008|0.3463696484510964|0.5236199095022626
2023-05-11 19:53:13|algorithm2_1|1fold|Vehicle|0.04|{9, 4, 5, 6}|18|4|0.4970414201183432|14.414883613586426|[0.7        0.70414201 0.68047337 0.67455621 0.67455621]|[0.45882353 0.50295858 0.47337278 0.50887574 0.47928994]|[0.65882353 0.65088757 0.66272189 0.63313609 0.67455621]|0.6867455621301775|0.4846641141663766|0.6560250609119388
2023-05-11 19:53:34|algorithm2_1|1fold|Vehicle|0.06|{17, 4, 5, 10, 11, 13}|18|6|0.5295857988165681|20.25462555885315|[0.73529412 0.69230769 0.65088757 0.65680473 0.66863905]|[0.55294118 0.57988166 0.5443787  0.58579882 0.61538462]|[0.69411765 0.68047337 0.69230769 0.64497041 0.69230769]|0.6807866341802994|0.5756769926905674|0.6808353637312914
2023-05-11 19:53:57|algorithm2_1|1fold|Vehicle|0.08|{0, 1, 4, 5, 7, 13}|18|6|0.5902366863905325|22.515010118484497|[0.71764706 0.68047337 0.70414201 0.75147929 0.66863905]|[0.67647059 0.66272189 0.68047337 0.73372781 0.65680473]|[0.67647059 0.66863905 0.68047337 0.71597633 0.72781065]|0.7044761573268361|0.6820396797772363|0.6938739993038635
2023-05-11 19:54:20|algorithm2_1|1fold|Vehicle|0.1|{17, 4, 5, 8, 13, 15}|18|6|0.5266272189349113|23.54792070388794|[0.63529412 0.68639053 0.55621302 0.59171598 0.59171598]|[0.52352941 0.56804734 0.50887574 0.52662722 0.56804734]|[0.72941176 0.71597633 0.71005917 0.64497041 0.70414201]|0.6122659241211277|0.5390254089801602|0.7009119387399931
2023-05-11 19:54:47|algorithm2_1|1fold|Vehicle|0.12000000000000001|{0, 16, 4, 5, 6, 7, 13, 14}|18|8|0.5029585798816568|26.29265570640564|[0.68235294 0.65680473 0.65088757 0.69230769 0.66863905]|[0.62941176 0.64497041 0.5739645  0.63905325 0.63905325]|[0.68235294 0.64497041 0.67455621 0.72781065 0.71597633]|0.6701983988861817|0.6252906369648452|0.6891333101287852
2023-05-11 19:55:13|algorithm2_1|1fold|Vehicle|0.14|{0, 17, 1, 4, 5, 10, 13, 14}|18|8|0.5325443786982249|26.491647720336914|[0.68235294 0.63905325 0.66863905 0.67455621 0.65680473]|[0.66470588 0.57988166 0.62721893 0.69230769 0.62130178]|[0.72941176 0.64497041 0.62721893 0.72781065 0.71005917]|0.6642812391228681|0.6370831883049076|0.6878941872607032
2023-05-11 19:55:40|algorithm2_1|1fold|Vehicle|0.16|{0, 17, 4, 5, 9, 10, 13, 14}|18|8|0.5636094674556213|26.694830656051636|[0.74117647 0.68047337 0.69230769 0.68047337 0.66272189]|[0.63529412 0.61538462 0.63905325 0.69822485 0.63905325]|[0.71764706 0.59763314 0.63905325 0.70414201 0.72781065]|0.6914305603898365|0.645402018795684|0.6772572224155935
2023-05-11 19:56:09|algorithm2_1|1fold|Vehicle|0.18|{0, 1, 4, 5, 9, 10, 12, 13, 14, 17}|18|10|0.5325443786982249|28.26905608177185|[0.74705882 0.67455621 0.68639053 0.66272189 0.66863905]|[0.62352941 0.63905325 0.65680473 0.68639053 0.65088757]|[0.68823529 0.59171598 0.63905325 0.68047337 0.73964497]|0.6878733031674209|0.6513331012878524|0.6678245736164289
2023-05-11 19:56:37|algorithm2_1|1fold|Vehicle|0.19999999999999998|{0, 1, 4, 5, 10, 13, 14, 15, 16, 17}|18|10|0.5695266272189349|27.909133434295654|[0.73529412 0.65088757 0.67455621 0.60946746 0.62130178]|[0.71176471 0.67455621 0.67455621 0.72781065 0.64497041]|[0.67647059 0.63905325 0.62721893 0.73964497 0.67455621]|0.6583014270797076|0.6867316394013226|0.6713887922032719
