结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 20:01:20|algorithm2_1|1fold|german|0.02|{1, 18, 12, 13}|20|4|0.3975|44.13606023788452|[0.68  0.72  0.715 0.705 0.705]|[0.7 0.7 0.7 0.7 0.7]|[0.69  0.695 0.725 0.705 0.63 ]|0.705|0.7|0.689
2023-05-11 20:02:03|algorithm2_1|1fold|german|0.04|{0, 1, 19, 9, 12, 13}|20|6|0.45375|42.33115482330322|[0.73  0.75  0.74  0.725 0.65 ]|[0.705 0.7   0.7   0.7   0.7  ]|[0.69  0.66  0.735 0.715 0.635]|0.719|0.701|0.6869999999999999
2023-05-11 20:02:44|algorithm2_1|1fold|german|0.06|{0, 17, 3, 19, 4, 8, 9, 13}|20|8|0.43625|41.576075315475464|[0.66  0.705 0.69  0.715 0.69 ]|[0.7 0.7 0.7 0.7 0.7]|[0.7   0.75  0.685 0.68  0.665]|0.692|0.7|0.696
2023-05-11 20:03:25|algorithm2_1|1fold|german|0.08|{0, 1, 17, 19, 3, 8, 9, 13}|20|8|0.45125|40.73193311691284|[0.71  0.755 0.705 0.735 0.69 ]|[0.71 0.7  0.7  0.7  0.69]|[0.695 0.755 0.705 0.745 0.65 ]|0.719|0.7|0.71
2023-05-11 20:04:03|algorithm2_1|1fold|german|0.1|{0, 17, 3, 19, 6, 8, 9, 13}|20|8|0.43|37.11518716812134|[0.675 0.74  0.71  0.685 0.705]|[0.7 0.7 0.7 0.7 0.7]|[0.705 0.65  0.68  0.675 0.665]|0.7030000000000001|0.7|0.675
2023-05-11 20:04:39|algorithm2_1|1fold|german|0.12000000000000001|{0, 16, 17, 19, 3, 5, 8, 9}|20|8|0.44125|36.214675188064575|[0.655 0.7   0.705 0.705 0.675]|[0.7 0.7 0.7 0.7 0.7]|[0.68  0.705 0.675 0.67  0.67 ]|0.6880000000000001|0.7|0.6799999999999999
2023-05-11 20:05:14|algorithm2_1|1fold|german|0.14|{0, 16, 17, 19, 3, 5, 8, 9}|20|8|0.44125|35.14652442932129|[0.655 0.7   0.705 0.705 0.675]|[0.7 0.7 0.7 0.7 0.7]|[0.68  0.705 0.67  0.67  0.68 ]|0.6880000000000001|0.7|0.681
2023-05-11 20:05:56|algorithm2_1|1fold|german|0.16|{0, 16, 17, 19, 3, 5, 8, 9}|20|8|0.44125|41.5377311706543|[0.655 0.7   0.705 0.705 0.675]|[0.7 0.7 0.7 0.7 0.7]|[0.68  0.705 0.675 0.68  0.675]|0.6880000000000001|0.7|0.683
2023-05-11 20:06:39|algorithm2_1|1fold|german|0.18|{0, 18, 19, 8, 9, 10, 11, 15}|20|8|0.495|42.74652099609375|[0.7   0.7   0.725 0.735 0.685]|[0.7 0.7 0.7 0.7 0.7]|[0.735 0.75  0.685 0.725 0.645]|0.709|0.7|0.708
2023-05-11 20:07:23|algorithm2_1|1fold|german|0.19999999999999998|{0, 18, 19, 8, 9, 10, 11, 15}|20|8|0.495|44.05789518356323|[0.7   0.7   0.725 0.735 0.685]|[0.7 0.7 0.7 0.7 0.7]|[0.735 0.755 0.685 0.725 0.645]|0.709|0.7|0.709
2023-05-11 20:08:08|algorithm2_1|1fold|german|0.21999999999999997|{0, 16, 1, 19, 4, 5, 8, 9}|20|8|0.445|44.6112904548645|[0.745 0.7   0.71  0.73  0.745]|[0.7  0.7  0.7  0.7  0.69]|[0.69  0.735 0.735 0.72  0.725]|0.726|0.698|0.721
2023-05-11 20:08:53|algorithm2_1|1fold|german|0.23999999999999996|{0, 18, 19, 8, 9, 10, 11, 15}|20|8|0.495|45.54152989387512|[0.7   0.7   0.725 0.735 0.685]|[0.7 0.7 0.7 0.7 0.7]|[0.735 0.755 0.68  0.725 0.645]|0.709|0.7|0.708
2023-05-11 20:09:38|algorithm2_1|1fold|german|0.25999999999999995|{0, 1, 5, 10, 11, 12}|20|6|0.47375|44.82556080818176|[0.72  0.77  0.705 0.72  0.68 ]|[0.7 0.7 0.7 0.7 0.7]|[0.705 0.755 0.74  0.695 0.7  ]|0.7190000000000001|0.7|0.719
2023-05-11 20:10:24|algorithm2_1|1fold|german|0.27999999999999997|{0, 3, 5, 6, 7, 11}|20|6|0.475|45.52144765853882|[0.72  0.75  0.73  0.765 0.715]|[0.7 0.7 0.7 0.7 0.7]|[0.655 0.685 0.705 0.73  0.69 ]|0.736|0.7|0.693
2023-05-11 20:11:08|algorithm2_1|1fold|german|0.3|{0, 3, 5, 6, 7, 11}|20|6|0.475|43.62916159629822|[0.72  0.75  0.73  0.765 0.715]|[0.7 0.7 0.7 0.7 0.7]|[0.655 0.68  0.705 0.73  0.68 ]|0.736|0.7|0.6900000000000001
2023-05-11 20:11:52|algorithm2_1|1fold|german|0.32|{0, 3, 5, 6, 7, 11}|20|6|0.475|44.249926805496216|[0.72  0.75  0.73  0.765 0.715]|[0.7 0.7 0.7 0.7 0.7]|[0.655 0.68  0.7   0.73  0.68 ]|0.736|0.7|0.6890000000000001
2023-05-11 20:12:33|algorithm2_1|1fold|german|0.34|{0, 1, 18, 6, 10, 11, 12, 14}|20|8|0.48625|40.64104866981506|[0.67  0.69  0.745 0.695 0.705]|[0.76  0.7   0.7   0.705 0.71 ]|[0.635 0.71  0.715 0.7   0.675]|0.701|0.7150000000000001|0.6869999999999999
2023-05-11 20:13:13|algorithm2_1|1fold|german|0.36000000000000004|{0, 18, 5, 6, 10, 11, 13, 14}|20|8|0.4925|39.41611695289612|[0.675 0.735 0.745 0.695 0.69 ]|[0.7 0.7 0.7 0.7 0.7]|[0.71  0.72  0.725 0.655 0.645]|0.708|0.7|0.691
2023-05-11 20:13:51|algorithm2_1|1fold|german|0.38000000000000006|{0, 1, 18, 6, 7, 10, 11, 12}|20|8|0.5375|38.48127031326294|[0.7   0.73  0.76  0.755 0.685]|[0.75  0.71  0.7   0.7   0.725]|[0.625 0.68  0.705 0.69  0.69 ]|0.726|0.7170000000000001|0.678
2023-05-11 20:14:33|algorithm2_1|1fold|german|0.4000000000000001|{0, 1, 18, 6, 10, 11, 14, 15}|20|8|0.5075|41.78808569908142|[0.68  0.715 0.765 0.7   0.7  ]|[0.755 0.7   0.7   0.705 0.725]|[0.605 0.72  0.715 0.705 0.625]|0.7120000000000001|0.7170000000000001|0.674
