结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 16:27:28|algorithm2_1|1fold|movement|0.02|{51, 46}|90|2|0.4861111111111111|64.7268738746643|[0.19444444 0.19444444 0.27777778 0.13888889 0.20833333]|[0.16666667 0.11111111 0.18055556 0.19444444 0.16666667]|[0.23611111 0.22222222 0.26388889 0.125      0.15277778]|0.20277777777777778|0.1638888888888889|0.2
2023-05-11 16:28:35|algorithm2_1|1fold|movement|0.04|{51, 83}|90|2|0.4027777777777778|67.48173880577087|[0.26388889 0.30555556 0.29166667 0.30555556 0.33333333]|[0.19444444 0.16666667 0.23611111 0.23611111 0.20833333]|[0.26388889 0.25       0.27777778 0.19444444 0.19444444]|0.3|0.20833333333333331|0.2361111111111111
2023-05-11 16:30:05|algorithm2_1|1fold|movement|0.06|{49, 51, 20, 6}|90|4|0.5381944444444444|89.41348767280579|[0.36111111 0.30555556 0.52777778 0.27777778 0.27777778]|[0.25       0.20833333 0.30555556 0.30555556 0.19444444]|[0.375      0.34722222 0.41666667 0.20833333 0.19444444]|0.35|0.2527777777777778|0.3083333333333333
2023-05-11 16:32:28|algorithm2_1|1fold|movement|0.08|{3, 49, 51, 6}|90|4|0.625|143.37007880210876|[0.40277778 0.36111111 0.47222222 0.29166667 0.375     ]|[0.38888889 0.38888889 0.34722222 0.34722222 0.30555556]|[0.43055556 0.33333333 0.41666667 0.41666667 0.31944444]|0.3805555555555556|0.35555555555555557|0.38333333333333336
2023-05-11 16:35:09|algorithm2_1|1fold|movement|0.1|{0, 49, 51, 39, 61, 15}|90|6|0.5833333333333334|160.1566243171692|[0.41666667 0.38888889 0.51388889 0.40277778 0.375     ]|[0.38888889 0.38888889 0.375      0.43055556 0.33333333]|[0.41666667 0.40277778 0.5        0.36111111 0.30555556]|0.41944444444444445|0.3833333333333333|0.39722222222222225
2023-05-11 16:37:41|algorithm2_1|1fold|movement|0.12000000000000001|{0, 51, 68, 35, 59, 61}|90|6|0.6041666666666666|152.17093205451965|[0.38888889 0.43055556 0.55555556 0.45833333 0.38888889]|[0.44444444 0.26388889 0.44444444 0.38888889 0.34722222]|[0.47222222 0.29166667 0.43055556 0.29166667 0.33333333]|0.4444444444444445|0.37777777777777777|0.3638888888888889
2023-05-11 16:40:10|algorithm2_1|1fold|movement|0.14|{0, 49, 51, 70, 89, 59}|90|6|0.6284722222222222|148.57954168319702|[0.5        0.40277778 0.51388889 0.41666667 0.5       ]|[0.41666667 0.375      0.45833333 0.41666667 0.36111111]|[0.375      0.33333333 0.27777778 0.25       0.41666667]|0.4666666666666666|0.40555555555555556|0.3305555555555556
2023-05-11 16:42:37|algorithm2_1|1fold|movement|0.16|{48, 51, 7, 41, 10, 30}|90|6|0.6979166666666666|147.61354565620422|[0.61111111 0.52777778 0.625      0.5        0.5       ]|[0.56944444 0.44444444 0.48611111 0.51388889 0.48611111]|[0.43055556 0.36111111 0.38888889 0.30555556 0.29166667]|0.5527777777777778|0.5|0.35555555555555557
2023-05-11 16:46:03|algorithm2_1|1fold|movement|0.18|{49, 82, 65, 33, 20, 8}|90|6|0.6493055555555556|205.8469762802124|[0.52777778 0.5        0.66666667 0.44444444 0.43055556]|[0.48611111 0.29166667 0.5        0.40277778 0.5       ]|[0.43055556 0.36111111 0.40277778 0.29166667 0.25      ]|0.5138888888888887|0.43611111111111106|0.34722222222222227
2023-05-11 16:49:59|algorithm2_1|1fold|movement|0.19999999999999998|{32, 48, 82, 51, 67, 53, 11, 46}|90|8|0.6875|235.94800925254822|[0.52777778 0.55555556 0.65277778 0.52777778 0.54166667]|[0.48611111 0.375      0.43055556 0.5        0.44444444]|[0.51388889 0.36111111 0.38888889 0.375      0.40277778]|0.5611111111111111|0.44722222222222224|0.4083333333333333
2023-05-11 16:53:51|algorithm2_1|1fold|movement|0.21999999999999997|{48, 1, 81, 49, 16, 35, 20, 31}|90|8|0.7256944444444444|231.89755272865295|[0.5        0.55555556 0.5        0.55555556 0.54166667]|[0.51388889 0.44444444 0.52777778 0.54166667 0.45833333]|[0.5        0.51388889 0.47222222 0.47222222 0.40277778]|0.5305555555555556|0.49722222222222223|0.4722222222222222
2023-05-11 16:57:35|algorithm2_1|1fold|movement|0.23999999999999996|{33, 2, 3, 69, 6, 48, 53, 22, 86, 27, 30, 31}|90|12|0.6979166666666666|223.0646846294403|[0.65277778 0.59722222 0.625      0.54166667 0.63888889]|[0.61111111 0.45833333 0.625      0.63888889 0.65277778]|[0.40277778 0.27777778 0.56944444 0.40277778 0.34722222]|0.611111111111111|0.5972222222222221|0.4
2023-05-11 17:01:55|algorithm2_1|1fold|movement|0.25999999999999995|{9, 42, 75, 12, 14, 82, 54, 55, 87, 88}|90|10|0.7083333333333334|260.29107546806335|[0.56944444 0.625      0.65277778 0.51388889 0.56944444]|[0.58333333 0.41666667 0.58333333 0.54166667 0.47222222]|[0.5        0.34722222 0.54166667 0.43055556 0.45833333]|0.586111111111111|0.5194444444444445|0.45555555555555555
2023-05-11 17:04:45|algorithm2_1|1fold|movement|0.27999999999999997|{0, 64, 71, 39, 9, 46, 53, 88, 25, 28}|90|10|0.7326388888888888|169.85382723808289|[0.625      0.63888889 0.625      0.56944444 0.58333333]|[0.51388889 0.41666667 0.5        0.65277778 0.61111111]|[0.41666667 0.33333333 0.51388889 0.40277778 0.33333333]|0.6083333333333333|0.538888888888889|0.39999999999999997
