结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 17:30:11|algorithm2_1|1fold|musk|0.02|{144, 66, 165, 78}|166|4|0.5631578947368421|230.66925883293152|[0.63541667 0.6        0.68421053 0.70526316 0.71578947]|[0.5625     0.54736842 0.56842105 0.56842105 0.55789474]|[0.45833333 0.64210526 0.66315789 0.73684211 0.6       ]|0.6681359649122807|0.5609210526315789|0.6200877192982456
2023-05-11 17:36:27|algorithm2_1|1fold|musk|0.04|{144, 66, 165, 157}|166|4|0.5789473684210527|374.9775652885437|[0.55208333 0.68421053 0.66315789 0.73684211 0.73684211]|[0.5625     0.56842105 0.56842105 0.56842105 0.55789474]|[0.5625     0.68421053 0.72631579 0.74736842 0.74736842]|0.6746271929824561|0.5651315789473684|0.6935526315789474
2023-05-11 17:42:24|algorithm2_1|1fold|musk|0.06|{144, 66, 165, 75, 78, 79}|166|6|0.6131578947368421|356.99652099609375|[0.55208333 0.62105263 0.65263158 0.69473684 0.70526316]|[0.65625    0.55789474 0.57894737 0.56842105 0.55789474]|[0.44791667 0.63157895 0.63157895 0.72631579 0.6       ]|0.6451535087719298|0.5838815789473684|0.6074780701754385
2023-05-11 17:49:14|algorithm2_1|1fold|musk|0.08|{144, 50, 35, 4, 66, 56, 137, 75}|166|8|0.6052631578947368|410.79402232170105|[0.55208333 0.63157895 0.76842105 0.81052632 0.78947368]|[0.5625     0.68421053 0.67368421 0.78947368 0.81052632]|[0.57291667 0.61052632 0.75789474 0.75789474 0.78947368]|0.7104166666666666|0.7040789473684209|0.6977412280701755
2023-05-11 17:57:55|algorithm2_1|1fold|musk|0.1|{144, 65, 82, 104, 91, 75, 156, 110}|166|8|0.6684210526315789|520.6405689716339|[0.59375    0.6        0.73684211 0.81052632 0.76842105]|[0.55208333 0.52631579 0.70526316 0.72631579 0.75789474]|[0.51041667 0.64210526 0.68421053 0.75789474 0.72631579]|0.701907894736842|0.6535745614035088|0.6641885964912281
2023-05-11 18:05:48|algorithm2_1|1fold|musk|0.12000000000000001|{160, 49, 132, 165, 4, 23}|166|6|0.6394736842105263|472.96825408935547|[0.53125    0.65263158 0.73684211 0.8        0.64210526]|[0.5        0.48421053 0.57894737 0.61052632 0.64210526]|[0.57291667 0.51578947 0.74736842 0.84210526 0.72631579]|0.6725657894736841|0.5631578947368421|0.6808991228070176
2023-05-11 18:13:43|algorithm2_1|1fold|musk|0.14|{82, 132, 165, 104, 124, 15}|166|6|0.6605263157894737|474.5485978126526|[0.5625     0.63157895 0.66315789 0.70526316 0.8       ]|[0.44791667 0.53684211 0.6        0.64210526 0.74736842]|[0.5625     0.64210526 0.72631579 0.75789474 0.69473684]|0.6725|0.5948464912280702|0.6767105263157894
2023-05-11 18:22:52|algorithm2_1|1fold|musk|0.16|{144, 68, 165, 4, 136, 74, 11, 61}|166|8|0.6894736842105263|549.0233147144318|[0.60416667 0.62105263 0.72631579 0.78947368 0.73684211]|[0.40625    0.47368421 0.51578947 0.56842105 0.55789474]|[0.55208333 0.63157895 0.63157895 0.83157895 0.56842105]|0.6955701754385966|0.5044078947368421|0.6430482456140351
2023-05-11 18:28:44|algorithm2_1|1fold|musk|0.18|{115, 4, 149, 165, 101, 56, 118, 78}|166|8|0.6868421052631579|351.4244658946991|[0.64583333 0.70526316 0.73684211 0.81052632 0.82105263]|[0.58333333 0.6        0.68421053 0.70526316 0.83157895]|[0.66666667 0.66315789 0.75789474 0.85263158 0.71578947]|0.7439035087719298|0.6808771929824562|0.7312280701754386
2023-05-11 18:35:49|algorithm2_1|1fold|musk|0.19999999999999998|{64, 129, 34, 4, 165, 74, 78, 144, 115, 149}|166|10|0.6947368421052632|424.9096751213074|[0.61458333 0.66315789 0.74736842 0.76842105 0.66315789]|[0.53125    0.53684211 0.53684211 0.61052632 0.52631579]|[0.58333333 0.61052632 0.71578947 0.70526316 0.53684211]|0.6913377192982455|0.5483552631578947|0.6303508771929824
2023-05-11 18:42:46|algorithm2_1|1fold|musk|0.21999999999999997|{133, 103, 139, 79, 113, 22, 154, 155, 92, 125}|166|10|0.6763157894736842|417.4455020427704|[0.58333333 0.63157895 0.77894737 0.72631579 0.75789474]|[0.52083333 0.66315789 0.72631579 0.72631579 0.74736842]|[0.52083333 0.6        0.77894737 0.69473684 0.70526316]|0.6956140350877192|0.6767982456140351|0.6599561403508771
2023-05-11 18:48:18|algorithm2_1|1fold|musk|0.23999999999999996|{96, 34, 133, 157, 74, 154, 92, 125}|166|8|0.6710526315789473|331.89339685440063|[0.64583333 0.67368421 0.71578947 0.72631579 0.62105263]|[0.58333333 0.55789474 0.68421053 0.69473684 0.63157895]|[0.63541667 0.65263158 0.76842105 0.67368421 0.6       ]|0.6765350877192983|0.6303508771929824|0.666030701754386
2023-05-11 18:54:02|algorithm2_1|1fold|musk|0.25999999999999995|{34, 103, 73, 45, 79, 112, 52, 150, 23, 58, 91, 92}|166|12|0.6421052631578947|344.32424879074097|[0.65625    0.74736842 0.74736842 0.76842105 0.69473684]|[0.64583333 0.57894737 0.62105263 0.53684211 0.58947368]|[0.64583333 0.77894737 0.74736842 0.61052632 0.51578947]|0.7228289473684211|0.5944298245614036|0.6596929824561404
2023-05-11 18:59:47|algorithm2_1|1fold|musk|0.27999999999999997|{96, 34, 35, 163, 164, 40, 73, 92, 48, 83, 151, 124}|166|12|0.6605263157894737|344.0167338848114|[0.63541667 0.67368421 0.67368421 0.67368421 0.65263158]|[0.6875     0.6        0.65263158 0.74736842 0.67368421]|[0.57291667 0.56842105 0.71578947 0.68421053 0.55789474]|0.6618201754385964|0.6722368421052631|0.6198464912280701
2023-05-11 19:05:36|algorithm2_1|1fold|musk|0.3|{35, 36, 165, 70, 135, 59, 10, 78, 21, 88, 155, 124, 61, 31}|166|14|0.6710526315789473|349.22999024391174|[0.64583333 0.68421053 0.70526316 0.83157895 0.67368421]|[0.55208333 0.66315789 0.67368421 0.73684211 0.71578947]|[0.66666667 0.55789474 0.65263158 0.81052632 0.72631579]|0.7081140350877193|0.6683114035087719|0.6828070175438596
2023-05-11 19:11:28|algorithm2_1|1fold|musk|0.32|{161, 2, 34, 68, 90, 102, 11, 47, 114, 58, 155, 92, 61, 127}|166|14|0.6605263157894737|351.8456835746765|[0.59375    0.71578947 0.77894737 0.78947368 0.73684211]|[0.46875    0.61052632 0.69473684 0.73684211 0.77894737]|[0.5625     0.57894737 0.68421053 0.6        0.63157895]|0.7229605263157896|0.6579605263157895|0.6114473684210526
2023-05-11 19:17:23|algorithm2_1|1fold|musk|0.34|{160, 129, 34, 131, 5, 13, 79, 111, 18, 82, 155, 92, 61, 31}|166|14|0.6710526315789473|355.28781247138977|[0.63541667 0.67368421 0.77894737 0.81052632 0.69473684]|[0.5        0.61052632 0.72631579 0.73684211 0.65263158]|[0.65625    0.58947368 0.69473684 0.76842105 0.67368421]|0.7186622807017543|0.6452631578947369|0.6765131578947368
