结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 17:25:06|algorithm2_1|1fold|vote|0.02|{10, 1, 2, 3}|16|4|0.9195402298850575|3.916677474975586|[0.96551724 0.90804598 0.94252874 0.91954023 0.89655172]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.94252874 0.94252874 0.93103448 0.91954023]|0.9264367816091955|0.9563218390804596|0.9402298850574713
2023-05-11 17:25:10|algorithm2_1|1fold|vote|0.04|{10, 1, 2, 3}|16|4|0.9195402298850575|3.876152992248535|[0.96551724 0.90804598 0.94252874 0.91954023 0.89655172]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.94252874 0.93103448 0.93103448 0.91954023]|0.9264367816091955|0.9563218390804596|0.9379310344827585
2023-05-11 17:25:14|algorithm2_1|1fold|vote|0.06|{10, 1, 2, 3}|16|4|0.9195402298850575|3.866223096847534|[0.96551724 0.90804598 0.94252874 0.91954023 0.89655172]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.94252874 0.94252874 0.93103448 0.91954023]|0.9264367816091955|0.9563218390804596|0.9402298850574713
2023-05-11 17:25:18|algorithm2_1|1fold|vote|0.08|{10, 1, 2, 3}|16|4|0.9195402298850575|3.934145927429199|[0.96551724 0.90804598 0.94252874 0.91954023 0.89655172]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.94252874 0.93103448 0.93103448 0.91954023]|0.9264367816091955|0.9563218390804596|0.9379310344827585
2023-05-11 17:25:22|algorithm2_1|1fold|vote|0.1|{10, 1, 2, 3}|16|4|0.9195402298850575|3.845808267593384|[0.96551724 0.90804598 0.94252874 0.91954023 0.89655172]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.94252874 0.94252874 0.93103448 0.91954023]|0.9264367816091955|0.9563218390804596|0.9402298850574713
2023-05-11 17:25:26|algorithm2_1|1fold|vote|0.12000000000000001|{10, 1, 2, 3}|16|4|0.9195402298850575|3.883108615875244|[0.96551724 0.90804598 0.94252874 0.91954023 0.89655172]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.94252874 0.93103448 0.93103448 0.91954023]|0.9264367816091955|0.9563218390804596|0.9379310344827585
2023-05-11 17:25:30|algorithm2_1|1fold|vote|0.14|{10, 1, 2, 3}|16|4|0.9195402298850575|3.8455395698547363|[0.96551724 0.90804598 0.94252874 0.91954023 0.89655172]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.94252874 0.93103448 0.93103448 0.91954023]|0.9264367816091955|0.9563218390804596|0.9379310344827585
2023-05-11 17:25:34|algorithm2_1|1fold|vote|0.16|{10, 1, 2, 3}|16|4|0.9195402298850575|3.7968969345092773|[0.96551724 0.90804598 0.94252874 0.91954023 0.89655172]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.94252874 0.93103448 0.93103448 0.91954023]|0.9264367816091955|0.9563218390804596|0.9379310344827585
2023-05-11 17:25:38|algorithm2_1|1fold|vote|0.18|{10, 1, 2, 3}|16|4|0.9195402298850575|3.84647536277771|[0.96551724 0.90804598 0.94252874 0.91954023 0.89655172]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.94252874 0.94252874 0.93103448 0.91954023]|0.9264367816091955|0.9563218390804596|0.9402298850574713
2023-05-11 17:25:41|algorithm2_1|1fold|vote|0.19999999999999998|{10, 1, 2, 3}|16|4|0.9195402298850575|3.8642234802246094|[0.96551724 0.90804598 0.94252874 0.91954023 0.89655172]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.94252874 0.93103448 0.93103448 0.91954023]|0.9264367816091955|0.9563218390804596|0.9379310344827585
2023-05-11 17:25:45|algorithm2_1|1fold|vote|0.21999999999999997|{10, 1, 2, 3}|16|4|0.9195402298850575|3.9392220973968506|[0.96551724 0.90804598 0.94252874 0.91954023 0.89655172]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.94252874 0.94252874 0.93103448 0.91954023]|0.9264367816091955|0.9563218390804596|0.9402298850574713
2023-05-11 17:25:49|algorithm2_1|1fold|vote|0.23999999999999996|{10, 1, 2, 3}|16|4|0.9195402298850575|3.8891103267669678|[0.96551724 0.90804598 0.94252874 0.91954023 0.89655172]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.94252874 0.94252874 0.93103448 0.91954023]|0.9264367816091955|0.9563218390804596|0.9402298850574713
2023-05-11 17:25:53|algorithm2_1|1fold|vote|0.25999999999999995|{10, 1, 2, 3}|16|4|0.9195402298850575|3.8177855014801025|[0.96551724 0.90804598 0.94252874 0.91954023 0.89655172]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.94252874 0.94252874 0.93103448 0.91954023]|0.9264367816091955|0.9563218390804596|0.9402298850574713
2023-05-11 17:25:57|algorithm2_1|1fold|vote|0.27999999999999997|{10, 1, 2, 3}|16|4|0.9195402298850575|3.854842185974121|[0.96551724 0.90804598 0.94252874 0.91954023 0.89655172]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.94252874 0.94252874 0.93103448 0.91954023]|0.9264367816091955|0.9563218390804596|0.9402298850574713
2023-05-11 17:26:01|algorithm2_1|1fold|vote|0.3|{10, 1, 2, 3}|16|4|0.9195402298850575|3.991767406463623|[0.96551724 0.90804598 0.94252874 0.91954023 0.89655172]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.94252874 0.93103448 0.93103448 0.91954023]|0.9264367816091955|0.9563218390804596|0.9379310344827585
