结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 16:02:24|algorithm2_1|1fold|wine|0.02|{2, 6}|13|2|0.4295774647887324|1.6066958904266357|[0.91666667 0.69444444 0.77777778 0.8        0.85714286]|[0.86111111 0.75       0.86111111 0.82857143 0.88571429]|[0.86111111 0.69444444 0.75       0.77142857 0.8       ]|0.8092063492063492|0.8373015873015873|0.7753968253968253
2023-05-11 16:02:26|algorithm2_1|1fold|wine|0.04|{11, 4}|13|2|0.676056338028169|1.6142189502716064|[0.83333333 0.91666667 0.86111111 0.65714286 0.88571429]|[0.77777778 0.77777778 0.77777778 0.6        0.85714286]|[0.75       0.83333333 0.86111111 0.6        0.77142857]|0.8307936507936506|0.7580952380952382|0.7631746031746032
2023-05-11 16:02:27|algorithm2_1|1fold|wine|0.06|{2, 11}|13|2|0.676056338028169|1.576124668121338|[0.83333333 0.55555556 0.83333333 0.68571429 0.77142857]|[0.77777778 0.58333333 0.80555556 0.57142857 0.82857143]|[0.83333333 0.55555556 0.80555556 0.62857143 0.77142857]|0.7358730158730159|0.7133333333333334|0.7188888888888889
2023-05-11 16:02:29|algorithm2_1|1fold|wine|0.08|{4, 6}|13|2|0.7323943661971831|1.6469566822052002|[0.86111111 0.88888889 0.88888889 0.77142857 0.94285714]|[0.83333333 0.86111111 0.86111111 0.77142857 0.82857143]|[0.86111111 0.94444444 0.83333333 0.77142857 0.82857143]|0.8706349206349205|0.8311111111111111|0.8477777777777777
2023-05-11 16:02:30|algorithm2_1|1fold|wine|0.1|{4, 6}|13|2|0.704225352112676|1.3811140060424805|[0.86111111 0.88888889 0.88888889 0.77142857 0.94285714]|[0.83333333 0.86111111 0.86111111 0.77142857 0.82857143]|[0.91666667 0.94444444 0.83333333 0.74285714 0.82857143]|0.8706349206349205|0.8311111111111111|0.8531746031746031
2023-05-11 16:02:33|algorithm2_1|1fold|wine|0.12000000000000001|{1, 4, 12, 6}|13|4|0.6971830985915493|2.0358119010925293|[0.91666667 0.86111111 0.77777778 0.91428571 0.94285714]|[0.94444444 0.86111111 0.83333333 0.94285714 0.88571429]|[0.97222222 0.91666667 0.77777778 0.82857143 0.82857143]|0.8825396825396824|0.8934920634920633|0.8647619047619047
2023-05-11 16:02:35|algorithm2_1|1fold|wine|0.14|{1, 2, 12, 6}|13|4|0.7253521126760564|2.0351154804229736|[0.91666667 0.77777778 0.80555556 0.91428571 0.91428571]|[0.94444444 0.83333333 0.83333333 0.97142857 0.94285714]|[0.94444444 0.86111111 0.75       0.88571429 0.91428571]|0.8657142857142857|0.905079365079365|0.8711111111111111
2023-05-11 16:02:37|algorithm2_1|1fold|wine|0.16|{9, 2, 12, 1}|13|4|0.7816901408450704|2.0423736572265625|[0.97222222 0.86111111 0.86111111 0.85714286 0.85714286]|[0.97222222 0.80555556 0.88888889 0.85714286 0.85714286]|[1.         0.91666667 0.80555556 0.8        0.74285714]|0.8817460317460318|0.8761904761904761|0.853015873015873
2023-05-11 16:02:39|algorithm2_1|1fold|wine|0.18|{8, 9, 2, 11}|13|4|0.8380281690140845|2.052541971206665|[0.86111111 0.91666667 0.91666667 0.77142857 0.91428571]|[0.83333333 0.86111111 0.91666667 0.8        1.        ]|[0.86111111 0.83333333 0.97222222 0.74285714 0.88571429]|0.8760317460317459|0.8822222222222222|0.8590476190476192
2023-05-11 16:02:40|algorithm2_1|1fold|wine|0.19999999999999998|{11, 9, 2, 3}|13|4|0.8873239436619719|1.5514912605285645|[0.88888889 0.94444444 0.97222222 0.71428571 0.94285714]|[0.88888889 0.94444444 1.         0.74285714 0.94285714]|[0.94444444 0.91666667 1.         0.77142857 0.82857143]|0.8925396825396825|0.9038095238095238|0.8922222222222222
2023-05-11 16:02:42|algorithm2_1|1fold|wine|0.21999999999999997|{9, 12, 1, 7}|13|4|0.852112676056338|1.137598991394043|[1.         1.         0.77777778 0.82857143 0.94285714]|[1.         0.91666667 0.80555556 0.82857143 0.88571429]|[1.         0.88888889 0.80555556 0.85714286 0.74285714]|0.9098412698412698|0.8873015873015874|0.8588888888888888
2023-05-11 16:02:43|algorithm2_1|1fold|wine|0.23999999999999996|{9, 2, 5, 7}|13|4|0.8380281690140845|1.0983078479766846|[0.86111111 0.80555556 0.88888889 0.68571429 0.8       ]|[0.88888889 0.88888889 0.86111111 0.65714286 0.85714286]|[0.83333333 0.94444444 0.94444444 0.82857143 0.88571429]|0.8082539682539682|0.8306349206349205|0.8873015873015874
2023-05-11 16:02:44|algorithm2_1|1fold|wine|0.25999999999999995|{11, 1, 3, 12}|13|4|0.8943661971830986|1.1071021556854248|[0.97222222 0.97222222 0.86111111 0.94285714 0.94285714]|[1.         0.97222222 0.91666667 0.85714286 0.94285714]|[0.91666667 0.94444444 0.88888889 0.77142857 0.85714286]|0.9382539682539683|0.9377777777777778|0.8757142857142857
