结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-08 09:20:36|algorithm2_1|20noise|BreastCancer|0.02|{0, 7}|9|2|0.2088698140200286|7.790595531463623|[0.90714286 0.96428571 0.93571429 0.92857143 0.94244604]|[0.89285714 0.95714286 0.93571429 0.92857143 0.92805755]|[0.87857143 0.92857143 0.92142857 0.91428571 0.9352518 ]|0.9356320657759507|0.9284686536485097|0.9156217882836588
2023-05-08 09:20:43|algorithm2_1|20noise|BreastCancer|0.04|{0, 7}|9|2|0.2088698140200286|7.816733360290527|[0.90714286 0.96428571 0.93571429 0.92857143 0.94244604]|[0.89285714 0.95714286 0.93571429 0.92857143 0.92805755]|[0.87857143 0.92857143 0.92142857 0.91428571 0.9352518 ]|0.9356320657759507|0.9284686536485097|0.9156217882836588
2023-05-08 09:20:51|algorithm2_1|20noise|BreastCancer|0.06|{0, 7}|9|2|0.2088698140200286|7.746047258377075|[0.90714286 0.96428571 0.93571429 0.92857143 0.94244604]|[0.89285714 0.95714286 0.93571429 0.92857143 0.92805755]|[0.87857143 0.92857143 0.92142857 0.91428571 0.9352518 ]|0.9356320657759507|0.9284686536485097|0.9156217882836588
2023-05-08 09:21:00|algorithm2_1|20noise|BreastCancer|0.08|{0, 7}|9|2|0.2088698140200286|8.518528699874878|[0.90714286 0.96428571 0.93571429 0.92857143 0.94244604]|[0.89285714 0.95714286 0.93571429 0.92857143 0.92805755]|[0.87857143 0.92857143 0.92142857 0.91428571 0.9352518 ]|0.9356320657759507|0.9284686536485097|0.9156217882836588
2023-05-08 09:21:08|algorithm2_1|20noise|BreastCancer|0.1|{0, 7}|9|2|0.2088698140200286|8.306553602218628|[0.90714286 0.96428571 0.93571429 0.92857143 0.94244604]|[0.89285714 0.95714286 0.93571429 0.92857143 0.92805755]|[0.87857143 0.92857143 0.92142857 0.91428571 0.9352518 ]|0.9356320657759507|0.9284686536485097|0.9156217882836588
2023-05-08 09:21:19|algorithm2_1|20noise|BreastCancer|0.12000000000000001|{8, 0, 5, 6}|9|4|0.21745350500715308|10.225432872772217|[0.94285714 0.98571429 0.93571429 0.94285714 0.97122302]|[0.95714286 0.97857143 0.94285714 0.93571429 0.97122302]|[0.92857143 0.97142857 0.95714286 0.92857143 0.96402878]|0.9556731757451182|0.9571017471736896|0.9499486125385406
2023-05-08 09:21:28|algorithm2_1|20noise|BreastCancer|0.14|{8, 0, 5, 6}|9|4|0.21745350500715308|9.592554807662964|[0.94285714 0.98571429 0.93571429 0.94285714 0.97122302]|[0.95714286 0.97857143 0.94285714 0.93571429 0.97122302]|[0.92857143 0.97142857 0.95714286 0.92857143 0.96402878]|0.9556731757451182|0.9571017471736896|0.9499486125385406
2023-05-08 09:21:37|algorithm2_1|20noise|BreastCancer|0.16|{8, 0, 2, 6}|9|4|0.22603719599427755|8.060067415237427|[0.96428571 0.97857143 0.92857143 0.94285714 0.96402878]|[0.97142857 0.97142857 0.94285714 0.93571429 0.97122302]|[0.95       0.95       0.91428571 0.93571429 0.96402878]|0.9556628982528264|0.958530318602261|0.9428057553956835
2023-05-08 09:21:45|algorithm2_1|20noise|BreastCancer|0.18|{8, 0, 2, 6}|9|4|0.22603719599427755|8.21032977104187|[0.96428571 0.97857143 0.92857143 0.94285714 0.96402878]|[0.97142857 0.97142857 0.94285714 0.93571429 0.97122302]|[0.95       0.95714286 0.92142857 0.93571429 0.96402878]|0.9556628982528264|0.958530318602261|0.9456628982528263
2023-05-08 09:21:53|algorithm2_1|20noise|BreastCancer|0.19999999999999998|{8, 0, 6, 7}|9|4|0.22746781115879827|8.481893062591553|[0.95       0.95714286 0.92857143 0.92857143 0.9352518 ]|[0.94285714 0.95714286 0.95714286 0.92142857 0.9352518 ]|[0.88571429 0.93571429 0.92142857 0.94285714 0.94964029]|0.9399075025693729|0.9427646454265158|0.9270709146968141
