结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 23:22:10|algorithm2_1|20noise|BreastTissue|0.02|{2, 5}|9|2|0.2358490566037736|1.204944133758545|[0.5        0.42857143 0.47619048 0.28571429 0.33333333]|[0.54545455 0.38095238 0.38095238 0.38095238 0.42857143]|[0.54545455 0.47619048 0.47619048 0.57142857 0.42857143]|0.40476190476190477|0.4233766233766233|0.4995670995670996
2023-05-07 23:22:11|algorithm2_1|20noise|BreastTissue|0.04|{1, 2, 5, 7}|9|4|0.2830188679245283|1.5153069496154785|[0.72727273 0.61904762 0.66666667 0.57142857 0.57142857]|[0.59090909 0.57142857 0.47619048 0.47619048 0.42857143]|[0.68181818 0.61904762 0.66666667 0.66666667 0.57142857]|0.631168831168831|0.5086580086580087|0.6411255411255411
2023-05-07 23:22:13|algorithm2_1|20noise|BreastTissue|0.06|{2, 7}|9|2|0.25471698113207547|1.177727222442627|[0.59090909 0.57142857 0.61904762 0.47619048 0.47619048]|[0.54545455 0.52380952 0.47619048 0.42857143 0.38095238]|[0.59090909 0.52380952 0.61904762 0.66666667 0.61904762]|0.5467532467532468|0.470995670995671|0.6038961038961039
2023-05-07 23:22:14|algorithm2_1|20noise|BreastTissue|0.08|{0, 2, 5, 6}|9|4|0.3490566037735849|1.525381326675415|[0.77272727 0.66666667 0.61904762 0.57142857 0.47619048]|[0.63636364 0.61904762 0.52380952 0.57142857 0.47619048]|[0.68181818 0.61904762 0.52380952 0.71428571 0.42857143]|0.6212121212121213|0.5653679653679653|0.5935064935064934
2023-05-07 23:22:16|algorithm2_1|20noise|BreastTissue|0.1|{0, 2, 3, 7}|9|4|0.3018867924528302|1.5566504001617432|[0.68181818 0.57142857 0.61904762 0.71428571 0.52380952]|[0.59090909 0.66666667 0.52380952 0.52380952 0.47619048]|[0.63636364 0.52380952 0.76190476 0.76190476 0.57142857]|0.6220779220779221|0.5562770562770563|0.651082251082251
2023-05-07 23:22:17|algorithm2_1|20noise|BreastTissue|0.12000000000000001|{0, 2, 3, 7}|9|4|0.33962264150943394|1.562009572982788|[0.68181818 0.57142857 0.61904762 0.71428571 0.52380952]|[0.59090909 0.66666667 0.52380952 0.52380952 0.47619048]|[0.63636364 0.52380952 0.76190476 0.76190476 0.52380952]|0.6220779220779221|0.5562770562770563|0.6415584415584416
2023-05-07 23:22:19|algorithm2_1|20noise|BreastTissue|0.14|{0, 1, 2, 3}|9|4|0.4056603773584906|1.5131587982177734|[0.68181818 0.52380952 0.61904762 0.66666667 0.61904762]|[0.63636364 0.61904762 0.47619048 0.52380952 0.42857143]|[0.5        0.61904762 0.76190476 0.71428571 0.33333333]|0.6220779220779221|0.5367965367965367|0.5857142857142857
2023-05-07 23:22:21|algorithm2_1|20noise|BreastTissue|0.16|{0, 1, 2, 3, 6, 8}|9|6|0.3490566037735849|1.6892740726470947|[0.68181818 0.57142857 0.61904762 0.61904762 0.57142857]|[0.63636364 0.61904762 0.57142857 0.57142857 0.47619048]|[0.68181818 0.57142857 0.66666667 0.66666667 0.33333333]|0.6125541125541126|0.5748917748917749|0.5839826839826839
2023-05-07 23:22:22|algorithm2_1|20noise|BreastTissue|0.18|{8, 1, 2, 3}|9|4|0.3113207547169811|1.545421838760376|[0.68181818 0.52380952 0.61904762 0.61904762 0.57142857]|[0.63636364 0.57142857 0.47619048 0.52380952 0.47619048]|[0.5        0.61904762 0.66666667 0.76190476 0.38095238]|0.6030303030303029|0.5367965367965368|0.5857142857142856
2023-05-07 23:22:24|algorithm2_1|20noise|BreastTissue|0.19999999999999998|{0, 1, 2, 3, 4, 5}|9|6|0.3018867924528302|1.7058401107788086|[0.68181818 0.57142857 0.61904762 0.61904762 0.61904762]|[0.63636364 0.61904762 0.47619048 0.57142857 0.42857143]|[0.68181818 0.61904762 0.61904762 0.71428571 0.47619048]|0.6220779220779221|0.5463203463203462|0.6220779220779221
2023-05-07 23:22:26|algorithm2_1|20noise|BreastTissue|0.21999999999999997|{1, 2, 3, 4, 5, 8}|9|6|0.29245283018867924|1.7357120513916016|[0.63636364 0.52380952 0.57142857 0.66666667 0.52380952]|[0.63636364 0.57142857 0.52380952 0.52380952 0.47619048]|[0.68181818 0.57142857 0.61904762 0.61904762 0.47619048]|0.5844155844155844|0.5463203463203463|0.5935064935064935
2023-05-07 23:22:27|algorithm2_1|20noise|BreastTissue|0.23999999999999996|{0, 1, 2, 3, 6, 8}|9|6|0.3018867924528302|1.6762974262237549|[0.68181818 0.57142857 0.61904762 0.61904762 0.57142857]|[0.63636364 0.61904762 0.57142857 0.57142857 0.47619048]|[0.63636364 0.57142857 0.61904762 0.71428571 0.38095238]|0.6125541125541126|0.5748917748917749|0.5844155844155845
2023-05-07 23:22:29|algorithm2_1|20noise|BreastTissue|0.25999999999999995|{0, 1, 2, 3, 4, 8}|9|6|0.32075471698113206|1.8174335956573486|[0.68181818 0.57142857 0.61904762 0.66666667 0.57142857]|[0.63636364 0.61904762 0.57142857 0.57142857 0.47619048]|[0.59090909 0.61904762 0.61904762 0.71428571 0.42857143]|0.6220779220779221|0.5748917748917749|0.5943722943722943
