结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 23:25:07|algorithm2_1|20noise|GlaucomaM|0.02|{34, 46}|62|2|0.4336734693877551|27.02627682685852|[0.775      0.87179487 0.82051282 0.76923077 0.82051282]|[0.75       0.79487179 0.87179487 0.79487179 0.84615385]|[0.7        0.82051282 0.76923077 0.71794872 0.69230769]|0.8114102564102563|0.8115384615384615|0.74
2023-05-07 23:25:37|algorithm2_1|20noise|GlaucomaM|0.04|{33, 34, 29, 30}|62|4|0.4846938775510204|30.406772136688232|[0.625      0.53846154 0.74358974 0.64102564 0.69230769]|[0.7        0.46153846 0.66666667 0.64102564 0.71794872]|[0.65       0.58974359 0.64102564 0.64102564 0.66666667]|0.648076923076923|0.6374358974358973|0.6376923076923077
2023-05-07 23:26:09|algorithm2_1|20noise|GlaucomaM|0.06|{40, 34, 18, 55}|62|4|0.4897959183673469|31.685226678848267|[0.725      0.61538462 0.71794872 0.69230769 0.76923077]|[0.75       0.69230769 0.69230769 0.69230769 0.76923077]|[0.625      0.66666667 0.71794872 0.71794872 0.69230769]|0.703974358974359|0.7192307692307691|0.683974358974359
2023-05-07 23:26:42|algorithm2_1|20noise|GlaucomaM|0.08|{34, 52, 61, 46}|62|4|0.5255102040816326|32.72033715248108|[0.75       0.82051282 0.84615385 0.79487179 0.79487179]|[0.775      0.69230769 0.79487179 0.82051282 0.84615385]|[0.775      0.79487179 0.79487179 0.71794872 0.71794872]|0.8012820512820513|0.7857692307692308|0.7601282051282052
2023-05-07 23:27:15|algorithm2_1|20noise|GlaucomaM|0.1|{43, 36, 53, 55}|62|4|0.44387755102040816|33.46924376487732|[0.75       0.66666667 0.74358974 0.66666667 0.66666667]|[0.75       0.64102564 0.74358974 0.69230769 0.74358974]|[0.725      0.79487179 0.69230769 0.66666667 0.71794872]|0.6987179487179487|0.714102564102564|0.7193589743589743
2023-05-07 23:27:54|algorithm2_1|20noise|GlaucomaM|0.12000000000000001|{32, 34, 51, 61, 58, 60, 45, 15}|62|8|0.5306122448979592|38.63626742362976|[0.875      0.71794872 0.74358974 0.79487179 0.79487179]|[0.75       0.66666667 0.74358974 0.84615385 0.87179487]|[0.825      0.61538462 0.69230769 0.74358974 0.58974359]|0.7852564102564102|0.7756410256410257|0.6932051282051283
2023-05-07 23:28:31|algorithm2_1|20noise|GlaucomaM|0.14|{33, 18, 34, 25, 57, 41}|62|6|0.4336734693877551|36.90151333808899|[0.825      0.64102564 0.82051282 0.84615385 0.79487179]|[0.8        0.71794872 0.76923077 0.84615385 0.71794872]|[0.875      0.66666667 0.76923077 0.74358974 0.74358974]|0.7855128205128206|0.7702564102564102|0.7596153846153846
2023-05-07 23:29:08|algorithm2_1|20noise|GlaucomaM|0.16|{16, 50, 34, 53, 58, 27}|62|6|0.5153061224489796|36.95611763000488|[0.775      0.79487179 0.71794872 0.82051282 0.76923077]|[0.85       0.74358974 0.79487179 0.79487179 0.76923077]|[0.825      0.74358974 0.84615385 0.74358974 0.84615385]|0.7755128205128206|0.7905128205128205|0.8008974358974358
2023-05-07 23:29:45|algorithm2_1|20noise|GlaucomaM|0.18|{16, 17, 50, 53, 54, 61}|62|6|0.45918367346938777|37.51094341278076|[0.75       0.64102564 0.79487179 0.87179487 0.76923077]|[0.825      0.58974359 0.79487179 0.79487179 0.79487179]|[0.75       0.58974359 0.79487179 0.71794872 0.74358974]|0.7653846153846153|0.7598717948717948|0.7192307692307692
2023-05-07 23:30:24|algorithm2_1|20noise|GlaucomaM|0.19999999999999998|{17, 21, 5, 22, 59, 46}|62|6|0.4846938775510204|38.80157995223999|[0.825      0.76923077 0.87179487 0.79487179 0.82051282]|[0.85       0.74358974 0.84615385 0.84615385 0.8974359 ]|[0.775      0.76923077 0.82051282 0.74358974 0.82051282]|0.8162820512820513|0.8366666666666667|0.7857692307692308
