结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 23:55:19|algorithm2_1|20noise|PimaIndiansDiabetes|0.02|{0, 1, 19, 5}|34|4|0.4985754985754986|22.748725652694702|[0.69014085 0.78571429 0.9        0.71428571 0.75714286]|[0.64788732 0.72857143 0.8        0.8        0.77142857]|[0.73239437 0.81428571 0.85714286 0.82857143 0.81428571]|0.7694567404426559|0.7495774647887323|0.8093360160965796
2023-05-07 23:55:44|algorithm2_1|20noise|PimaIndiansDiabetes|0.04|{16, 1, 0, 31}|34|4|0.4928774928774929|24.666388273239136|[0.74647887 0.8        0.74285714 0.7        0.8       ]|[0.64788732 0.72857143 0.8        0.8        0.77142857]|[0.74647887 0.81428571 0.82857143 0.77142857 0.82857143]|0.7578672032193159|0.7495774647887323|0.7978672032193159
2023-05-07 23:56:12|algorithm2_1|20noise|PimaIndiansDiabetes|0.06|{0, 1, 17, 2, 4, 3}|34|6|0.41595441595441596|27.820075273513794|[0.81690141 0.87142857 0.95714286 0.91428571 0.84285714]|[0.8028169  0.9        0.92857143 0.91428571 0.81428571]|[0.81690141 0.97142857 0.94285714 0.95714286 0.8       ]|0.8805231388329979|0.8719919517102616|0.8976659959758552
2023-05-07 23:56:40|algorithm2_1|20noise|PimaIndiansDiabetes|0.08|{0, 1, 33, 2, 4, 14}|34|6|0.3732193732193732|28.240506649017334|[0.84507042 0.92857143 0.92857143 0.88571429 0.81428571]|[0.78873239 0.9        0.91428571 0.91428571 0.81428571]|[0.88732394 0.95714286 0.95714286 0.9        0.82857143]|0.8804426559356138|0.866317907444668|0.9060362173038229
2023-05-07 23:57:08|algorithm2_1|20noise|PimaIndiansDiabetes|0.1|{32, 1, 2, 33, 4, 0}|34|6|0.3903133903133903|27.93236541748047|[0.83098592 0.95714286 0.95714286 0.88571429 0.84285714]|[0.78873239 0.9        0.91428571 0.91428571 0.81428571]|[0.88732394 0.97142857 0.95714286 0.91428571 0.87142857]|0.8947686116700201|0.866317907444668|0.9203219315895371
2023-05-07 23:57:38|algorithm2_1|20noise|PimaIndiansDiabetes|0.12000000000000001|{0, 1, 16, 33, 4, 11}|34|6|0.36752136752136755|29.527915000915527|[0.8028169  0.85714286 0.94285714 0.88571429 0.82857143]|[0.8028169  0.9        0.95714286 0.9        0.81428571]|[0.78873239 0.95714286 0.92857143 0.88571429 0.9       ]|0.863420523138833|0.8748490945674045|0.8920321931589538
2023-05-07 23:58:07|algorithm2_1|20noise|PimaIndiansDiabetes|0.14|{0, 33, 2, 18, 1, 22}|34|6|0.4131054131054131|29.403263330459595|[0.8028169  0.84285714 0.88571429 0.84285714 0.82857143]|[0.8028169  0.85714286 0.87142857 0.88571429 0.78571429]|[0.81690141 0.81428571 0.9        0.77142857 0.85714286]|0.8405633802816901|0.8405633802816901|0.8319517102615693
2023-05-07 23:58:37|algorithm2_1|20noise|PimaIndiansDiabetes|0.16|{33, 2, 3, 17, 1, 26}|34|6|0.38461538461538464|30.034212827682495|[0.83098592 0.85714286 0.91428571 0.88571429 0.81428571]|[0.77464789 0.78571429 0.84285714 0.85714286 0.7       ]|[0.87323944 0.87142857 0.92857143 0.91428571 0.8       ]|0.8604828973843057|0.7920724346076458|0.8775050301810865
2023-05-07 23:59:08|algorithm2_1|20noise|PimaIndiansDiabetes|0.18|{0, 1, 4, 20, 23, 28}|34|6|0.3504273504273504|30.340728282928467|[0.8028169  0.9        0.9        0.84285714 0.82857143]|[0.81690141 0.88571429 0.94285714 0.9        0.82857143]|[0.78873239 0.97142857 0.91428571 0.92857143 0.87142857]|0.8548490945674045|0.8748088531187121|0.8948893360160965
2023-05-07 23:59:40|algorithm2_1|20noise|PimaIndiansDiabetes|0.19999999999999998|{0, 1, 2, 4, 22, 23, 30, 15}|34|8|0.35327635327635326|32.35660529136658|[0.81690141 0.88571429 0.94285714 0.92857143 0.77142857]|[0.81690141 0.91428571 0.92857143 0.91428571 0.78571429]|[0.88732394 0.98571429 0.92857143 0.92857143 0.84285714]|0.8690945674044265|0.8719517102615695|0.9146076458752516
2023-05-08 00:00:12|algorithm2_1|20noise|PimaIndiansDiabetes|0.21999999999999997|{33, 1, 19, 4, 23, 26}|34|6|0.41025641025641024|31.464268684387207|[0.81690141 0.84285714 0.87142857 0.88571429 0.77142857]|[0.8028169  0.82857143 0.84285714 0.84285714 0.74285714]|[0.8028169  0.95714286 0.92857143 0.9        0.85714286]|0.8376659959758552|0.8119919517102616|0.8891348088531187
2023-05-08 00:00:43|algorithm2_1|20noise|PimaIndiansDiabetes|0.23999999999999996|{33, 1, 19, 4, 23, 26}|34|6|0.3789173789173789|31.298855304718018|[0.81690141 0.84285714 0.87142857 0.88571429 0.77142857]|[0.8028169  0.82857143 0.84285714 0.84285714 0.74285714]|[0.8028169  0.95714286 0.92857143 0.88571429 0.85714286]|0.8376659959758552|0.8119919517102616|0.8862776659959758
2023-05-08 00:01:15|algorithm2_1|20noise|PimaIndiansDiabetes|0.25999999999999995|{16, 33, 3, 21, 24, 28}|34|6|0.2849002849002849|31.32816505432129|[0.78873239 0.78571429 0.8        0.78571429 0.82857143]|[0.64788732 0.7        0.58571429 0.72857143 0.74285714]|[0.77464789 0.78571429 0.77142857 0.78571429 0.81428571]|0.7977464788732395|0.6810060362173038|0.7863581488933601
2023-05-08 00:01:47|algorithm2_1|20noise|PimaIndiansDiabetes|0.27999999999999997|{33, 19, 4, 20, 5, 23, 24, 26}|34|8|0.2621082621082621|32.902485370635986|[0.85915493 0.91428571 0.91428571 0.85714286 0.75714286]|[0.83098592 0.84285714 0.87142857 0.84285714 0.74285714]|[0.81690141 0.97142857 0.91428571 0.88571429 0.87142857]|0.8604024144869215|0.8261971830985916|0.8919517102615693
