结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-08 09:23:43|algorithm2_1|20noise|diabetes|0.02|{1, 4}|8|2|0.2591145833333333|6.425456523895264|[0.77272727 0.7012987  0.73376623 0.7254902  0.68627451]|[0.80519481 0.71428571 0.75974026 0.73202614 0.69934641]|[0.77922078 0.65584416 0.72727273 0.67973856 0.67320261]|0.7239113827349122|0.7421186656480774|0.7030557677616501
2023-05-08 09:23:51|algorithm2_1|20noise|diabetes|0.04|{3, 4, 5, 6}|8|4|0.2903645833333333|7.6053173542022705|[0.68181818 0.6038961  0.71428571 0.70588235 0.69934641]|[0.64935065 0.62987013 0.64935065 0.65359477 0.65359477]|[0.66883117 0.61038961 0.66883117 0.66666667 0.66666667]|0.681045751633987|0.6471521942110178|0.6562770562770562
2023-05-08 09:23:59|algorithm2_1|20noise|diabetes|0.06|{0, 2, 4, 6}|8|4|0.3815104166666667|8.423146963119507|[0.67532468 0.64935065 0.65584416 0.69934641 0.65359477]|[0.64935065 0.64285714 0.66883117 0.65359477 0.67320261]|[0.64935065 0.62987013 0.63636364 0.69281046 0.64705882]|0.6666921313980138|0.6575672693319753|0.6510907393260335
2023-05-08 09:24:10|algorithm2_1|20noise|diabetes|0.08|{0, 1, 4, 6}|8|4|0.3528645833333333|10.14037299156189|[0.74675325 0.69480519 0.77272727 0.74509804 0.69934641]|[0.81168831 0.72077922 0.76623377 0.77777778 0.68627451]|[0.74675325 0.64285714 0.74025974 0.74509804 0.64705882]|0.7317460317460318|0.7525507172565996|0.7044053985230455
2023-05-08 09:24:21|algorithm2_1|20noise|diabetes|0.1|{0, 1, 3, 4, 5, 6}|8|6|0.3893229166666667|10.727394580841064|[0.77272727 0.68831169 0.7987013  0.76470588 0.69934641]|[0.82467532 0.72077922 0.79220779 0.77124183 0.7124183 ]|[0.7987013  0.69480519 0.74675325 0.73856209 0.66666667]|0.7447585094643918|0.7642644936762584|0.729097699685935
2023-05-08 09:24:32|algorithm2_1|20noise|diabetes|0.12000000000000001|{0, 1, 2, 3, 5, 6}|8|6|0.4361979166666667|11.264313697814941|[0.7987013  0.66883117 0.75324675 0.76470588 0.69934641]|[0.83116883 0.72077922 0.81168831 0.76470588 0.70588235]|[0.77272727 0.70779221 0.75974026 0.73202614 0.64705882]|0.7369663016721841|0.7668449197860963|0.7238689415160003
2023-05-08 09:24:46|algorithm2_1|20noise|diabetes|0.14|{0, 1, 2, 3, 5, 6}|8|6|0.43359375|13.743802785873413|[0.7987013  0.66883117 0.75324675 0.76470588 0.69934641]|[0.83116883 0.72077922 0.81168831 0.76470588 0.70588235]|[0.77272727 0.7012987  0.75974026 0.73202614 0.65359477]|0.7369663016721841|0.7668449197860963|0.7238774297597826
2023-05-08 09:24:57|algorithm2_1|20noise|diabetes|0.16|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.3997395833333333|11.270835638046265|[0.7987013  0.69480519 0.73376623 0.75816993 0.70588235]|[0.82467532 0.72077922 0.80519481 0.76470588 0.67973856]|[0.82467532 0.69480519 0.77272727 0.7124183  0.69281046]|0.7382650029708853|0.7590187590187589|0.7394873100755455
2023-05-08 09:25:08|algorithm2_1|20noise|diabetes|0.18|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.375|10.246088027954102|[0.7987013  0.69480519 0.73376623 0.75816993 0.70588235]|[0.82467532 0.72077922 0.80519481 0.76470588 0.67973856]|[0.82467532 0.69480519 0.77272727 0.7124183  0.69281046]|0.7382650029708853|0.7590187590187589|0.7394873100755455
2023-05-08 09:25:18|algorithm2_1|20noise|diabetes|0.19999999999999998|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.3763020833333333|10.040524959564209|[0.7987013  0.69480519 0.73376623 0.75816993 0.70588235]|[0.82467532 0.72077922 0.80519481 0.76470588 0.67973856]|[0.82467532 0.68831169 0.77272727 0.7124183  0.69281046]|0.7382650029708853|0.7590187590187589|0.7381886087768441
