结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-08 10:13:40|algorithm2_1|20noise|german|0.02|{1, 12, 13, 14}|20|4|0.365|130.64185070991516|[0.71  0.7   0.705 0.71  0.67 ]|[0.7 0.7 0.7 0.7 0.7]|[0.685 0.69  0.715 0.715 0.635]|0.699|0.7|0.688
2023-05-08 10:15:58|algorithm2_1|20noise|german|0.04|{1, 17, 19, 6, 12, 13}|20|6|0.389|138.3848159313202|[0.7   0.715 0.715 0.705 0.695]|[0.7 0.7 0.7 0.7 0.7]|[0.64 0.66 0.69 0.68 0.67]|0.706|0.7|0.6679999999999999
2023-05-08 10:18:24|algorithm2_1|20noise|german|0.06|{3, 19, 4, 8, 10, 13, 14, 15}|20|8|0.351|145.08446764945984|[0.675 0.7   0.69  0.7   0.67 ]|[0.7 0.7 0.7 0.7 0.7]|[0.695 0.725 0.69  0.64  0.68 ]|0.6869999999999999|0.7|0.686
2023-05-08 10:20:49|algorithm2_1|20noise|german|0.08|{3, 19, 4, 8, 10, 13, 14, 15}|20|8|0.367|144.88701748847961|[0.675 0.7   0.69  0.7   0.67 ]|[0.7 0.7 0.7 0.7 0.7]|[0.695 0.735 0.69  0.64  0.68 ]|0.6869999999999999|0.7|0.6880000000000001
2023-05-08 10:23:13|algorithm2_1|20noise|german|0.1|{0, 3, 4, 5, 19, 8, 13, 15}|20|8|0.334|144.05701684951782|[0.695 0.73  0.69  0.685 0.675]|[0.7 0.7 0.7 0.7 0.7]|[0.7   0.715 0.71  0.645 0.66 ]|0.695|0.7|0.686
2023-05-08 10:25:38|algorithm2_1|20noise|german|0.12000000000000001|{0, 1, 18, 19, 4, 6, 10, 13}|20|8|0.369|144.69617104530334|[0.685 0.715 0.755 0.75  0.71 ]|[0.71  0.7   0.7   0.695 0.7  ]|[0.7   0.665 0.72  0.69  0.71 ]|0.723|0.701|0.697
2023-05-08 10:28:32|algorithm2_1|20noise|german|0.14|{0, 19, 3, 6, 9, 10, 13, 14}|20|8|0.397|173.5178303718567|[0.725 0.705 0.705 0.75  0.65 ]|[0.7 0.7 0.7 0.7 0.7]|[0.695 0.66  0.7   0.73  0.595]|0.707|0.7|0.6759999999999999
2023-05-08 10:31:31|algorithm2_1|20noise|german|0.16|{0, 19, 3, 6, 9, 10, 13, 14}|20|8|0.397|178.70302295684814|[0.725 0.705 0.705 0.75  0.65 ]|[0.7 0.7 0.7 0.7 0.7]|[0.695 0.66  0.7   0.73  0.595]|0.707|0.7|0.6759999999999999
2023-05-08 10:34:13|algorithm2_1|20noise|german|0.18|{1, 3, 6, 10, 12, 14}|20|6|0.383|161.54099035263062|[0.685 0.735 0.725 0.705 0.68 ]|[0.7 0.7 0.7 0.7 0.7]|[0.695 0.675 0.635 0.69  0.67 ]|0.7060000000000001|0.7|0.6729999999999999
2023-05-08 10:37:10|algorithm2_1|20noise|german|0.19999999999999998|{0, 1, 18, 19, 3, 6, 10, 12}|20|8|0.396|176.7047038078308|[0.68  0.725 0.715 0.71  0.67 ]|[0.735 0.7   0.7   0.7   0.72 ]|[0.63  0.72  0.725 0.68  0.65 ]|0.7|0.711|0.681
2023-05-08 10:40:53|algorithm2_1|20noise|german|0.21999999999999997|{0, 1, 18, 19, 3, 6, 10, 14}|20|8|0.408|222.6178503036499|[0.655 0.71  0.715 0.71  0.67 ]|[0.745 0.7   0.7   0.7   0.73 ]|[0.635 0.78  0.725 0.71  0.67 ]|0.692|0.715|0.704
2023-05-08 10:44:18|algorithm2_1|20noise|german|0.23999999999999996|{0, 1, 18, 17, 6, 10, 11, 14}|20|8|0.416|204.8629550933838|[0.69  0.75  0.73  0.69  0.705]|[0.76 0.7  0.7  0.71 0.72]|[0.605 0.715 0.735 0.705 0.67 ]|0.713|0.718|0.6859999999999999
2023-05-08 10:47:27|algorithm2_1|20noise|german|0.25999999999999995|{0, 3, 4, 19, 6, 7, 8, 11}|20|8|0.411|188.56429862976074|[0.68  0.735 0.71  0.725 0.705]|[0.7   0.7   0.7   0.7   0.705]|[0.67 0.69 0.7  0.71 0.67]|0.7110000000000001|0.701|0.688
2023-05-08 10:50:41|algorithm2_1|20noise|german|0.27999999999999997|{0, 17, 18, 8, 10, 11, 14, 15}|20|8|0.412|193.72866368293762|[0.705 0.72  0.715 0.675 0.67 ]|[0.7 0.7 0.7 0.7 0.7]|[0.745 0.75  0.695 0.675 0.64 ]|0.6969999999999998|0.7|0.7010000000000001
2023-05-08 10:53:45|algorithm2_1|20noise|german|0.3|{0, 17, 18, 8, 10, 11, 14, 15}|20|8|0.412|183.2440309524536|[0.705 0.72  0.715 0.675 0.67 ]|[0.7 0.7 0.7 0.7 0.7]|[0.745 0.75  0.685 0.675 0.64 ]|0.6969999999999998|0.7|0.6990000000000001
2023-05-08 10:56:43|algorithm2_1|20noise|german|0.32|{0, 17, 18, 8, 10, 11, 14, 15}|20|8|0.412|177.26805901527405|[0.705 0.72  0.715 0.675 0.67 ]|[0.7 0.7 0.7 0.7 0.7]|[0.745 0.75  0.685 0.68  0.64 ]|0.6969999999999998|0.7|0.7000000000000001
2023-05-08 10:59:38|algorithm2_1|20noise|german|0.34|{0, 2, 6, 7, 8, 9, 10, 11, 14, 18}|20|10|0.356|175.50278878211975|[0.715 0.71  0.755 0.72  0.735]|[0.715 0.73  0.735 0.71  0.745]|[0.675 0.695 0.735 0.71  0.75 ]|0.7269999999999999|0.727|0.713
2023-05-08 11:02:23|algorithm2_1|20noise|german|0.36000000000000004|{6, 7, 8, 9, 10, 11, 13, 14, 15, 18}|20|10|0.361|164.730966091156|[0.67  0.68  0.735 0.715 0.705]|[0.7 0.7 0.7 0.7 0.7]|[0.665 0.69  0.695 0.675 0.685]|0.701|0.7|0.6819999999999999
2023-05-08 11:05:23|algorithm2_1|20noise|german|0.38000000000000006|{6, 7, 8, 9, 10, 11, 13, 14, 15, 18}|20|10|0.361|179.06214237213135|[0.67  0.68  0.735 0.715 0.705]|[0.7 0.7 0.7 0.7 0.7]|[0.665 0.69  0.695 0.68  0.685]|0.701|0.7|0.683
2023-05-08 11:08:51|algorithm2_1|20noise|german|0.4000000000000001|{6, 7, 8, 9, 10, 11, 13, 14, 15, 18}|20|10|0.361|207.73420786857605|[0.67  0.68  0.735 0.715 0.705]|[0.7 0.7 0.7 0.7 0.7]|[0.665 0.7   0.695 0.675 0.685]|0.701|0.7|0.684
