结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-08 02:42:15|algorithm2_1|20noise|musk|0.02|{66, 83, 4, 133}|166|4|0.42857142857142855|695.6641778945923|[0.64583333 0.65263158 0.69473684 0.68421053 0.66315789]|[0.54166667 0.6        0.51578947 0.56842105 0.55789474]|[0.63541667 0.58947368 0.68421053 0.49473684 0.63157895]|0.6681140350877193|0.5567543859649123|0.6070833333333333
2023-05-08 02:57:18|algorithm2_1|20noise|musk|0.04|{144, 1, 66, 161, 36, 45}|166|6|0.42016806722689076|902.7115545272827|[0.64583333 0.57894737 0.72631579 0.70526316 0.67368421]|[0.5625     0.64210526 0.75789474 0.74736842 0.74736842]|[0.625      0.62105263 0.62105263 0.68421053 0.62105263]|0.6660087719298246|0.6914473684210527|0.6344736842105264
2023-05-08 03:13:41|algorithm2_1|20noise|musk|0.06|{96, 146, 66, 150, 109, 15}|166|6|0.41596638655462187|982.612019777298|[0.55208333 0.57894737 0.66315789 0.74736842 0.56842105]|[0.55208333 0.53684211 0.56842105 0.64210526 0.48421053]|[0.61458333 0.43157895 0.68421053 0.65263158 0.42105263]|0.6219956140350877|0.5567324561403508|0.5608114035087719
2023-05-08 03:30:53|algorithm2_1|20noise|musk|0.08|{160, 144, 66, 4, 27, 90, 59, 125}|166|8|0.43907563025210083|1031.618339061737|[0.47916667 0.6        0.66315789 0.69473684 0.63157895]|[0.45833333 0.55789474 0.70526316 0.68421053 0.65263158]|[0.55208333 0.54736842 0.74736842 0.74736842 0.71578947]|0.6137280701754385|0.6116666666666667|0.6619956140350878
2023-05-08 03:49:19|algorithm2_1|20noise|musk|0.1|{66, 164, 4, 22, 23, 41, 93, 46}|166|8|0.4432773109243697|1106.217208147049|[0.51041667 0.58947368 0.76842105 0.68421053 0.67368421]|[0.54166667 0.56842105 0.73684211 0.70526316 0.83157895]|[0.58333333 0.68421053 0.77894737 0.77894737 0.66315789]|0.6452412280701754|0.6767543859649122|0.697719298245614
2023-05-08 04:09:02|algorithm2_1|20noise|musk|0.12000000000000001|{66, 3, 36, 132, 4, 43, 150, 57, 60, 31}|166|10|0.4726890756302521|1183.2328457832336|[0.55208333 0.6        0.64210526 0.71578947 0.56842105]|[0.45833333 0.63157895 0.66315789 0.8        0.65263158]|[0.58333333 0.55789474 0.68421053 0.77894737 0.68421053]|0.6156798245614035|0.6411403508771929|0.6577192982456139
2023-05-08 04:28:03|algorithm2_1|20noise|musk|0.14|{96, 50, 115, 66, 104, 154, 123, 124}|166|8|0.4810924369747899|1140.4699726104736|[0.69791667 0.73684211 0.69473684 0.74736842 0.57894737]|[0.66666667 0.70526316 0.67368421 0.78947368 0.70526316]|[0.63541667 0.62105263 0.67368421 0.66315789 0.65263158]|0.6911622807017543|0.7080701754385965|0.649188596491228
2023-05-08 04:47:12|algorithm2_1|20noise|musk|0.16|{96, 130, 103, 104, 105, 139, 124, 46}|166|8|0.47478991596638653|1148.4162726402283|[0.51041667 0.6        0.64210526 0.70526316 0.64210526]|[0.45833333 0.53684211 0.63157895 0.66315789 0.61052632]|[0.61458333 0.50526316 0.53684211 0.75789474 0.58947368]|0.6199780701754385|0.5800877192982457|0.6008114035087719
2023-05-08 05:06:47|algorithm2_1|20noise|musk|0.18|{96, 161, 18, 65, 42, 141, 142, 31}|166|8|0.5|1175.3478128910065|[0.6875     0.70526316 0.74736842 0.8        0.64210526]|[0.64583333 0.62105263 0.74736842 0.69473684 0.73684211]|[0.63541667 0.54736842 0.76842105 0.67368421 0.65263158]|0.7164473684210526|0.6891666666666667|0.6555043859649123
2023-05-08 05:26:45|algorithm2_1|20noise|musk|0.19999999999999998|{161, 103, 40, 13, 142, 79, 80, 22, 87, 123, 92, 62}|166|12|0.4831932773109244|1197.3317246437073|[0.66666667 0.54736842 0.75789474 0.84210526 0.68421053]|[0.51041667 0.63157895 0.73684211 0.67368421 0.66315789]|[0.58333333 0.63157895 0.68421053 0.75789474 0.74736842]|0.6996491228070175|0.6431359649122806|0.6808771929824562
2023-05-08 05:46:12|algorithm2_1|20noise|musk|0.21999999999999997|{96, 34, 164, 9, 107, 141, 111, 154, 123, 31}|166|10|0.5336134453781513|1166.9961252212524|[0.65625    0.61052632 0.74736842 0.70526316 0.71578947]|[0.625      0.70526316 0.66315789 0.72631579 0.74736842]|[0.65625    0.58947368 0.82105263 0.72631579 0.71578947]|0.6870394736842106|0.6934210526315789|0.7017763157894736
2023-05-08 06:05:52|algorithm2_1|20noise|musk|0.23999999999999996|{96, 157, 22, 137, 123, 60, 111, 31}|166|8|0.569327731092437|1180.6349792480469|[0.67708333 0.55789474 0.68421053 0.69473684 0.67368421]|[0.61458333 0.67368421 0.64210526 0.65263158 0.69473684]|[0.61458333 0.66315789 0.67368421 0.71578947 0.71578947]|0.6575219298245614|0.6555482456140351|0.6766008771929825
