结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-08 09:27:15|algorithm2_1|20noise|pima|0.02|{4, 5}|8|2|0.2513020833333333|5.412063837051392|[0.67532468 0.68831169 0.66233766 0.67973856 0.68627451]|[0.64935065 0.64935065 0.64935065 0.65359477 0.65359477]|[0.68181818 0.63636364 0.62987013 0.66013072 0.67320261]|0.6783974195738903|0.6510482981071216|0.6562770562770563
2023-05-08 09:27:24|algorithm2_1|20noise|pima|0.04|{0, 4, 6, 7}|8|4|0.3489583333333333|9.1921706199646|[0.66233766 0.71428571 0.68181818 0.69281046 0.67973856]|[0.66233766 0.64935065 0.64935065 0.69281046 0.63398693]|[0.65584416 0.66883117 0.67532468 0.67973856 0.69281046]|0.6861981156098803|0.6575672693319752|0.6745098039215687
2023-05-08 09:27:35|algorithm2_1|20noise|pima|0.06|{3, 4, 6, 7}|8|4|0.3450520833333333|10.272131443023682|[0.64285714 0.7012987  0.69480519 0.69281046 0.67320261]|[0.64935065 0.64935065 0.64935065 0.65359477 0.64705882]|[0.65584416 0.69480519 0.72727273 0.68627451 0.63398693]|0.6809948221712927|0.649741108564638|0.6796367031661149
2023-05-08 09:27:46|algorithm2_1|20noise|pima|0.08|{1, 3, 4, 6}|8|4|0.33984375|11.201928853988647|[0.77272727 0.73376623 0.74675325 0.7124183  0.73202614]|[0.75324675 0.75974026 0.71428571 0.69934641 0.76470588]|[0.76623377 0.68831169 0.67532468 0.59477124 0.77124183]|0.7395382395382396|0.7382650029708854|0.699176640353111
2023-05-08 09:27:59|algorithm2_1|20noise|pima|0.1|{0, 2, 4, 5, 6, 7}|8|6|0.3658854166666667|12.187057733535767|[0.66233766 0.70779221 0.69480519 0.64705882 0.7124183 ]|[0.65584416 0.71428571 0.72077922 0.67973856 0.65359477]|[0.68181818 0.68181818 0.66883117 0.64052288 0.69934641]|0.6848824378236142|0.6848484848484848|0.6744673627026568
2023-05-08 09:28:10|algorithm2_1|20noise|pima|0.12000000000000001|{0, 1, 2, 3, 5, 6}|8|6|0.3984375|11.393146753311157|[0.72727273 0.73376623 0.72727273 0.7254902  0.75816993]|[0.78571429 0.79220779 0.74675325 0.7124183  0.80392157]|[0.69480519 0.75974026 0.67532468 0.67320261 0.74509804]|0.7343943638061285|0.7682030387912742|0.7096341566929804
2023-05-08 09:28:23|algorithm2_1|20noise|pima|0.14|{0, 1, 2, 3, 5, 6}|8|6|0.43359375|12.200620174407959|[0.72727273 0.73376623 0.72727273 0.7254902  0.75816993]|[0.78571429 0.79220779 0.74675325 0.7124183  0.80392157]|[0.69480519 0.75324675 0.67532468 0.67973856 0.74509804]|0.7343943638061285|0.7682030387912742|0.7096426449367627
2023-05-08 09:28:35|algorithm2_1|20noise|pima|0.16|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.40234375|12.457489490509033|[0.74025974 0.70779221 0.72727273 0.70588235 0.73202614]|[0.78571429 0.78571429 0.75974026 0.7124183  0.80392157]|[0.73376623 0.75324675 0.68831169 0.69281046 0.74509804]|0.7226466344113402|0.7695017400899754|0.7226466344113402
2023-05-08 09:28:45|algorithm2_1|20noise|pima|0.18|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.40234375|10.11982536315918|[0.74025974 0.70779221 0.72727273 0.70588235 0.73202614]|[0.78571429 0.78571429 0.75974026 0.7124183  0.80392157]|[0.72727273 0.74675325 0.68831169 0.69281046 0.74509804]|0.7226466344113402|0.7695017400899754|0.7200492318139377
2023-05-08 09:28:57|algorithm2_1|20noise|pima|0.19999999999999998|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.3268229166666667|11.822274208068848|[0.74025974 0.70779221 0.72727273 0.70588235 0.73202614]|[0.78571429 0.78571429 0.75974026 0.7124183  0.80392157]|[0.72727273 0.75324675 0.68831169 0.69934641 0.74509804]|0.7226466344113402|0.7695017400899754|0.7226551226551227
