结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 23:23:55|algorithm2_1|20noise|plrx|0.02|{8, 9}|12|2|0.43956043956043955|1.6157653331756592|[0.7027027  0.7027027  0.72222222 0.69444444 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.67567568 0.7027027  0.63888889 0.61111111 0.72222222]|0.7088588588588589|0.7144144144144144|0.6701201201201201
2023-05-07 23:23:56|algorithm2_1|20noise|plrx|0.04|{11, 3}|12|2|0.5164835164835165|1.6467630863189697|[0.7027027  0.7027027  0.63888889 0.72222222 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.62162162 0.64864865 0.58333333 0.69444444 0.77777778]|0.6977477477477478|0.7144144144144144|0.6651651651651651
2023-05-07 23:23:58|algorithm2_1|20noise|plrx|0.06|{11, 4}|12|2|0.3241758241758242|1.5811350345611572|[0.72972973 0.7027027  0.69444444 0.66666667 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.7027027  0.64864865 0.69444444 0.58333333 0.80555556]|0.7031531531531532|0.7144144144144144|0.6869369369369369
2023-05-07 23:24:00|algorithm2_1|20noise|plrx|0.08|{3, 9, 2, 11}|12|4|0.29120879120879123|1.971839427947998|[0.67567568 0.7027027  0.69444444 0.72222222 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.62162162 0.7027027  0.5        0.66666667 0.66666667]|0.7034534534534534|0.7144144144144144|0.6315315315315315
2023-05-07 23:24:02|algorithm2_1|20noise|plrx|0.1|{11, 0, 3, 9}|12|4|0.44505494505494503|2.006906509399414|[0.67567568 0.72972973 0.66666667 0.63888889 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.48648649 0.56756757 0.66666667 0.69444444 0.69444444]|0.6866366366366365|0.7144144144144144|0.621921921921922
2023-05-07 23:24:04|algorithm2_1|20noise|plrx|0.12000000000000001|{9, 2, 11, 6}|12|4|0.45054945054945056|2.0367190837860107|[0.67567568 0.72972973 0.69444444 0.69444444 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.67567568 0.62162162 0.38888889 0.66666667 0.63888889]|0.7033033033033034|0.7144144144144144|0.5983483483483483
2023-05-07 23:24:06|algorithm2_1|20noise|plrx|0.14|{9, 2, 11, 5}|12|4|0.4175824175824176|2.044058322906494|[0.62162162 0.7027027  0.69444444 0.72222222 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.62162162 0.67567568 0.52777778 0.66666667 0.72222222]|0.6926426426426426|0.7144144144144144|0.6427927927927928
2023-05-07 23:24:08|algorithm2_1|20noise|plrx|0.16|{8, 11, 4, 7}|12|4|0.4175824175824176|2.046421527862549|[0.67567568 0.7027027  0.69444444 0.66666667 0.66666667]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.72972973 0.64864865 0.63888889 0.63888889 0.66666667]|0.6812312312312312|0.7144144144144144|0.6645645645645646
2023-05-07 23:24:11|algorithm2_1|20noise|plrx|0.18|{0, 1, 2, 3, 4, 11}|12|6|0.41208791208791207|2.344681978225708|[0.64864865 0.7027027  0.69444444 0.66666667 0.75      ]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.59459459 0.75675676 0.55555556 0.66666667 0.69444444]|0.6924924924924925|0.7144144144144144|0.6536036036036036
2023-05-07 23:24:13|algorithm2_1|20noise|plrx|0.19999999999999998|{1, 2, 3, 4, 9, 11}|12|6|0.4835164835164835|2.340843915939331|[0.7027027  0.7027027  0.66666667 0.72222222 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.67567568 0.7027027  0.55555556 0.66666667 0.75      ]|0.7033033033033034|0.7144144144144144|0.6701201201201201
2023-05-07 23:24:16|algorithm2_1|20noise|plrx|0.21999999999999997|{2, 3, 4, 7, 9, 11}|12|6|0.44505494505494503|2.3474931716918945|[0.64864865 0.7027027  0.63888889 0.69444444 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.64864865 0.7027027  0.52777778 0.66666667 0.66666667]|0.6813813813813814|0.7144144144144144|0.6424924924924924
2023-05-07 23:24:18|algorithm2_1|20noise|plrx|0.23999999999999996|{2, 3, 4, 5, 7, 9, 10, 11}|12|8|0.4340659340659341|2.5161147117614746|[0.7027027  0.7027027  0.66666667 0.75       0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.64864865 0.7027027  0.5        0.66666667 0.72222222]|0.7088588588588589|0.7144144144144144|0.648048048048048
2023-05-07 23:24:21|algorithm2_1|20noise|plrx|0.25999999999999995|{1, 3, 4, 5, 7, 9, 10, 11}|12|8|0.43956043956043955|2.513572931289673|[0.7027027  0.7027027  0.69444444 0.69444444 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.72972973 0.67567568 0.55555556 0.58333333 0.69444444]|0.7033033033033034|0.7144144144144144|0.6477477477477477
2023-05-07 23:24:23|algorithm2_1|20noise|plrx|0.27999999999999997|{0, 1, 3, 4, 5, 7, 9, 11}|12|8|0.42857142857142855|2.602177619934082|[0.72972973 0.7027027  0.72222222 0.69444444 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.64864865 0.67567568 0.47222222 0.58333333 0.69444444]|0.7142642642642644|0.7144144144144144|0.6148648648648649
2023-05-07 23:24:26|algorithm2_1|20noise|plrx|0.3|{0, 2, 3, 4, 6, 7, 8, 11}|12|8|0.4725274725274725|2.533003091812134|[0.67567568 0.7027027  0.72222222 0.66666667 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.56756757 0.62162162 0.58333333 0.66666667 0.69444444]|0.6978978978978979|0.7144144144144144|0.6267267267267267
2023-05-07 23:24:29|algorithm2_1|20noise|plrx|0.32|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}|12|10|0.4010989010989011|2.6114892959594727|[0.67567568 0.7027027  0.72222222 0.63888889 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.62162162 0.62162162 0.55555556 0.66666667 0.63888889]|0.6923423423423424|0.7144144144144144|0.6208708708708708
2023-05-07 23:24:31|algorithm2_1|20noise|plrx|0.34|{0, 1, 3, 4, 5, 6, 7, 8, 10, 11}|12|10|0.4010989010989011|2.612811326980591|[0.7027027  0.7027027  0.69444444 0.63888889 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.64864865 0.62162162 0.55555556 0.55555556 0.69444444]|0.6921921921921922|0.7144144144144144|0.6151651651651651
