结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 23:50:09|algorithm2_1|20noise|seeds|0.02|{2, 5}|7|2|0.38571428571428573|1.0885887145996094|[0.71428571 0.5952381  0.61904762 0.54761905 0.73809524]|[0.71428571 0.64285714 0.71428571 0.73809524 0.71428571]|[0.64285714 0.5952381  0.5952381  0.52380952 0.71428571]|0.6428571428571429|0.7047619047619048|0.6142857142857143
2023-05-07 23:50:10|algorithm2_1|20noise|seeds|0.04|{0, 5}|7|2|0.6238095238095238|1.1170856952667236|[0.92857143 0.76190476 0.92857143 0.92857143 0.95238095]|[0.92857143 0.66666667 0.9047619  0.97619048 0.92857143]|[0.95238095 0.71428571 0.85714286 0.92857143 0.97619048]|0.9|0.880952380952381|0.8857142857142858
2023-05-07 23:50:11|algorithm2_1|20noise|seeds|0.06|{4, 5}|7|2|0.6047619047619047|1.0767717361450195|[0.9047619  0.78571429 0.9047619  0.95238095 0.88095238]|[0.9047619  0.78571429 0.95238095 0.95238095 0.95238095]|[0.92857143 0.73809524 0.73809524 0.9047619  0.9047619 ]|0.8857142857142858|0.9095238095238095|0.8428571428571429
2023-05-07 23:50:12|algorithm2_1|20noise|seeds|0.08|{0, 1, 2, 5}|7|4|0.5238095238095238|1.3002331256866455|[0.92857143 0.76190476 0.9047619  0.97619048 0.92857143]|[0.92857143 0.71428571 0.9047619  1.         0.95238095]|[0.95238095 0.71428571 0.9047619  0.92857143 0.88095238]|0.9|0.9|0.8761904761904763
2023-05-07 23:50:14|algorithm2_1|20noise|seeds|0.1|{0, 1, 2, 5}|7|4|0.6190476190476191|1.304328441619873|[0.92857143 0.76190476 0.9047619  0.97619048 0.92857143]|[0.92857143 0.71428571 0.9047619  1.         0.95238095]|[0.95238095 0.71428571 0.9047619  0.95238095 0.92857143]|0.9|0.9|0.8904761904761905
2023-05-07 23:50:15|algorithm2_1|20noise|seeds|0.12000000000000001|{1, 2, 4, 5}|7|4|0.6523809523809524|1.3349900245666504|[0.92857143 0.78571429 0.92857143 1.         0.92857143]|[0.92857143 0.71428571 0.92857143 1.         0.95238095]|[0.88095238 0.78571429 0.88095238 0.9047619  0.80952381]|0.9142857142857144|0.9047619047619048|0.8523809523809524
2023-05-07 23:50:17|algorithm2_1|20noise|seeds|0.14|{2, 3, 4, 5}|7|4|0.6476190476190476|1.3541650772094727|[0.92857143 0.76190476 0.92857143 0.97619048 0.92857143]|[0.92857143 0.69047619 0.9047619  0.97619048 0.95238095]|[0.9047619  0.76190476 0.85714286 0.85714286 0.80952381]|0.9047619047619048|0.8904761904761905|0.8380952380952381
2023-05-07 23:50:18|algorithm2_1|20noise|seeds|0.16|{0, 2, 3, 4, 5, 6}|7|6|0.6190476190476191|1.3671278953552246|[0.97619048 0.78571429 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.95238095]|[0.9047619  0.76190476 0.92857143 0.97619048 0.85714286]|0.9190476190476191|0.9380952380952381|0.8857142857142856
2023-05-07 23:50:19|algorithm2_1|20noise|seeds|0.18|{1, 2, 3, 4, 5, 6}|7|6|0.638095238095238|1.387791633605957|[0.97619048 0.80952381 0.95238095 0.97619048 0.92857143]|[0.97619048 0.80952381 0.92857143 0.97619048 0.95238095]|[0.85714286 0.78571429 0.9047619  0.85714286 0.88095238]|0.9285714285714286|0.9285714285714286|0.8571428571428571
2023-05-07 23:50:21|algorithm2_1|20noise|seeds|0.19999999999999998|{0, 1, 2, 3, 4, 5, 6}|7|7|0.638095238095238|1.3772573471069336|[0.97619048 0.80952381 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.97619048]|[0.9047619  0.80952381 0.92857143 0.95238095 0.85714286]|0.9238095238095239|0.9428571428571428|0.8904761904761905
2023-05-07 23:50:22|algorithm2_1|20noise|seeds|0.21999999999999997|{0, 1, 2, 3, 4, 5, 6}|7|7|0.5523809523809524|1.376582384109497|[0.97619048 0.80952381 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.97619048]|[0.9047619  0.66666667 0.92857143 0.95238095 0.85714286]|0.9238095238095239|0.9428571428571428|0.8619047619047618
2023-05-07 23:50:24|algorithm2_1|20noise|seeds|0.23999999999999996|{0, 1, 2, 3, 4, 5, 6}|7|7|0.5190476190476191|1.3881468772888184|[0.97619048 0.80952381 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.97619048]|[0.88095238 0.80952381 0.92857143 0.95238095 0.83333333]|0.9238095238095239|0.9428571428571428|0.8809523809523808
2023-05-07 23:50:25|algorithm2_1|20noise|seeds|0.25999999999999995|{0, 1, 2, 3, 4, 5, 6}|7|7|0.3904761904761905|1.395510196685791|[0.97619048 0.80952381 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.97619048]|[0.9047619  0.80952381 0.92857143 0.95238095 0.85714286]|0.9238095238095239|0.9428571428571428|0.8904761904761905
2023-05-07 23:50:27|algorithm2_1|20noise|seeds|0.27999999999999997|{0, 1, 2, 3, 4, 5, 6}|7|7|0.2571428571428571|1.410491704940796|[0.97619048 0.80952381 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.97619048]|[0.9047619  0.69047619 0.92857143 0.95238095 0.83333333]|0.9238095238095239|0.9428571428571428|0.8619047619047618
2023-05-07 23:50:28|algorithm2_1|20noise|seeds|0.3|{0, 2, 4, 5}|7|4|0.21428571428571427|1.3905515670776367|[0.92857143 0.76190476 0.92857143 1.         0.92857143]|[0.92857143 0.73809524 0.92857143 1.         0.9047619 ]|[0.92857143 0.71428571 0.9047619  0.95238095 0.92857143]|0.9095238095238095|0.9|0.8857142857142858
