结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-08 08:50:06|algorithm2_1|20noise|wdbc|0.02|{16, 10, 27, 13}|30|4|0.37082601054481545|37.042619705200195|[0.92105263 0.95614035 0.92982456 0.9122807  0.9380531 ]|[0.93859649 0.93859649 0.92105263 0.92105263 0.9380531 ]|[0.92105263 0.9122807  0.94736842 0.9122807  0.94690265]|0.9314702685918336|0.9314702685918336|0.9279770222015216
2023-05-08 08:50:50|algorithm2_1|20noise|wdbc|0.04|{16, 8, 20, 13}|30|4|0.45166959578207383|43.812607288360596|[0.9122807  0.92982456 0.92982456 0.92105263 0.9380531 ]|[0.88596491 0.94736842 0.93859649 0.88596491 0.91150442]|[0.9122807  0.89473684 0.90350877 0.90350877 0.90265487]|0.9262071106970966|0.9138798323241731|0.9033379909951871
2023-05-08 08:51:43|algorithm2_1|20noise|wdbc|0.06|{19, 6, 23, 8, 13, 14}|30|6|0.39015817223198596|52.97375726699829|[0.92105263 0.94736842 0.93859649 0.9122807  0.96460177]|[0.9122807  0.95614035 0.92982456 0.90350877 0.94690265]|[0.95614035 0.94736842 0.92982456 0.92105263 0.9380531 ]|0.9367800031051079|0.9297314081664337|0.9384878124514826
2023-05-08 08:52:45|algorithm2_1|20noise|wdbc|0.08|{16, 2, 19, 22, 27, 14}|30|6|0.4428822495606327|61.051186323165894|[0.94736842 0.96491228 0.97368421 0.90350877 0.95575221]|[0.93859649 0.94736842 0.93859649 0.93859649 0.94690265]|[0.94736842 0.92105263 0.92105263 0.94736842 0.92035398]|0.9490451793199813|0.9420121099208197|0.9314392175128084
2023-05-08 08:53:49|algorithm2_1|20noise|wdbc|0.1|{16, 18, 21, 24, 27, 15}|30|6|0.46397188049209137|64.11683964729309|[0.9122807  0.89473684 0.93859649 0.93859649 0.91150442]|[0.9122807  0.9122807  0.92982456 0.92982456 0.95575221]|[0.9122807  0.87719298 0.92982456 0.93859649 0.92920354]|0.9191429902189101|0.9279925477410339|0.9174196553330228
2023-05-08 08:54:51|algorithm2_1|20noise|wdbc|0.12000000000000001|{21, 23, 24, 27, 28, 14}|30|6|0.48857644991212656|62.02880096435547|[0.94736842 0.94736842 0.95614035 0.93859649 0.99115044]|[0.93859649 0.95614035 0.95614035 0.93859649 0.98230088]|[0.93859649 0.97368421 0.94736842 0.94736842 0.94690265]|0.9561248253376805|0.9543549138332559|0.9507840397453812
2023-05-08 08:55:55|algorithm2_1|20noise|wdbc|0.14|{21, 24, 10, 27, 28, 15}|30|6|0.44815465729349735|63.81960654258728|[0.92105263 0.88596491 0.92982456 0.90350877 0.96460177]|[0.93859649 0.95614035 0.92982456 0.93859649 0.96460177]|[0.92105263 0.87719298 0.90350877 0.87719298 0.9380531 ]|0.9209905294208973|0.9455519329296693|0.903400093153237
2023-05-08 08:57:01|algorithm2_1|20noise|wdbc|0.16|{1, 2, 4, 21, 24, 9, 27, 29}|30|8|0.4938488576449912|66.30315351486206|[0.96491228 0.92982456 0.97368421 0.93859649 0.98230088]|[0.92105263 0.94736842 0.97368421 0.94736842 0.96460177]|[0.93859649 0.92105263 0.96491228 0.88596491 0.97345133]|0.9578636857630803|0.9508150908244062|0.9367955286446203
2023-05-08 08:58:09|algorithm2_1|20noise|wdbc|0.18|{0, 1, 4, 8, 9, 20, 22, 24, 27, 29}|30|10|0.4428822495606327|67.77558946609497|[0.98245614 0.95614035 0.96491228 0.94736842 0.97345133]|[0.96491228 0.96491228 0.98245614 0.95614035 0.96460177]|[0.94736842 0.89473684 0.94736842 0.94736842 0.94690265]|0.9648657040832168|0.9666045645086168|0.9367489520260829
2023-05-08 08:59:19|algorithm2_1|20noise|wdbc|0.19999999999999998|{0, 2, 4, 7, 8, 14, 15, 16, 20, 21, 27, 28}|30|12|0.4446397188049209|70.02228617668152|[0.96491228 0.97368421 0.96491228 0.94736842 0.99115044]|[0.95614035 0.97368421 0.98245614 0.95614035 0.98230088]|[0.87719298 0.9122807  0.95614035 0.94736842 0.94690265]|0.9684055270920664|0.9701443875174662|0.9279770222015215
2023-05-08 09:00:25|algorithm2_1|20noise|wdbc|0.21999999999999997|{1, 4, 6, 7, 9, 10, 14, 21, 22, 24, 26, 27}|30|12|0.4112478031634446|66.10602140426636|[0.96491228 0.96491228 0.94736842 0.94736842 0.98230088]|[0.93859649 0.96491228 0.97368421 0.97368421 0.98230088]|[0.92982456 0.90350877 0.96491228 0.92982456 0.92920354]|0.9613724576929048|0.9666356155876418|0.9314547430523211
